,total_length,total_length,total_length,total_length,total_length,total_length,total_length,total_length,number,number,number,number,number,number,number,number,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,longest,longest,longest,longest,longest,longest,longest,longest,shortest,shortest,shortest,shortest,shortest,shortest,shortest,shortest,N_count,N_count,N_count,N_count,N_count,N_count,N_count,N_count,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,N50,N50,N50,N50,N50,N50,N50,N50,N50n,N50n,N50n,N50n,N50n,N50n,N50n,N50n,N70,N70,N70,N70,N70,N70,N70,N70,N70n,N70n,N70n,N70n,N70n,N70n,N70n,N70n,N90,N90,N90,N90,N90,N90,N90,N90,N90n,N90n,N90n,N90n,N90n,N90n,N90n,N90n
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aactinomycetemcomitans,87.0,2182928.5862068967,132042.786098537,1905614.0,2082801.0,2172405.0,2254150.0,2614560.0,87.0,83.39080459770115,108.55813535461391,1.0,27.0,44.0,100.5,590.0,87.0,219503.8290804598,565566.1949564624,3229.85,22530.9,49328.05,75676.935,2367908.0,87.0,440024.0229885057,580257.8239416606,17453.0,159978.0,251095.0,423427.0,2367908.0,87.0,154277.1264367816,565661.180317166,200.0,303.0,501.0,602.5,2367908.0,87.0,3674.5172413793102,12936.613876955726,0.0,0.0,0.0,1140.0,89272.0,87.0,13.908045977011493,22.94717502191138,0.0,0.0,0.0,20.5,87.0,87.0,301552.0,609724.2326563859,5213.0,58956.5,106583.0,179221.5,2367908.0,87.0,12.459770114942529,19.653867953355487,1.0,5.0,7.0,13.0,120.0,87.0,268645.3908045977,618691.9234867269,3198.0,38117.5,71209.0,102554.0,2367908.0,87.0,21.988505747126435,35.25669794616091,1.0,8.0,12.0,23.0,212.0,87.0,237755.2643678161,627006.8196366538,1609.0,14231.0,34419.0,64156.5,2367908.0,87.0,38.89655172413793,63.590264444780985,1.0,13.0,21.0,42.0,376.0
aphagocytophilum,28.0,1519125.6785714286,77311.71158036438,1370818.0,1478818.5,1502386.5,1562345.0,1718615.0,28.0,69.92857142857143,105.33436306508928,1.0,1.0,6.5,148.75,300.0,28.0,637129.3610714286,682300.6632468292,5283.94,9372.435,268887.75,1478037.5,1564418.0,28.0,824278.0714285715,629458.7292187029,26443.0,70634.75,959868.5,1478037.5,1564418.0,28.0,563872.6428571428,716845.5211842142,530.0,1425.75,3856.0,1478037.5,1564418.0,28.0,113.25,332.1336885006353,0.0,0.0,0.0,0.0,1354.0,28.0,1.5357142857142858,5.953412609010205,0.0,0.0,0.0,0.0,30.0,28.0,769065.8571428572,674330.7180977855,6602.0,20867.5,959868.5,1478037.5,1564418.0,28.0,10.321428571428571,16.259592203506788,1.0,1.0,1.0,20.75,69.0,28.0,740109.3214285715,689815.4246880534,4168.0,10898.75,734489.0,1478037.5,1564418.0,28.0,19.785714285714285,32.053609195125944,1.0,1.0,1.5,42.25,130.0,28.0,598469.75,692580.8798209259,1968.0,4234.5,150194.5,1478037.5,1564418.0,28.0,40.75,65.41073929267895,1.0,1.0,2.5,86.5,227.0
bbacilliformis,17.0,1416608.5882352942,17762.69048124053,1390379.0,1403817.0,1413194.0,1429421.0,1445021.0,17.0,7.588235294117647,6.4134509385491105,1.0,4.0,5.0,11.0,20.0,17.0,444706.0152941176,486520.2828448822,69518.95,127783.0,280763.4,354360.75,1445021.0,17.0,802750.8823529412,384315.7785399076,243338.0,473457.0,815761.0,967152.0,1445021.0,17.0,289455.0588235294,549998.4477516131,605.0,1258.0,18090.0,195147.0,1445021.0,17.0,2137.1176470588234,2231.454287072473,0.0,1.0,1030.0,4452.0,6092.0,17.0,4.117647058823529,3.4073881665649806,0.0,1.0,4.0,7.0,10.0,17.0,743840.2941176471,442918.1390808527,154409.0,337310.0,815761.0,967152.0,1445021.0,17.0,1.588235294117647,0.8702602720890289,1.0,1.0,1.0,2.0,4.0,17.0,529580.7647058824,504162.5503208922,92276.0,222553.0,258005.0,583481.0,1445021.0,17.0,2.588235294117647,1.5434872662825796,1.0,2.0,2.0,3.0,7.0,17.0,425608.17647058825,505216.8257483904,29187.0,103517.0,207326.0,581442.0,1445021.0,17.0,3.8823529411764706,2.7586761530935555,1.0,2.0,3.0,5.0,12.0
bcepacia_complex,186.0,8442938.634408602,535298.063565222,6419376.0,8305029.5,8544148.5,8732395.0,9528706.0,186.0,120.38172043010752,118.59857111051781,1.0,68.25,101.0,145.75,1071.0,186.0,342670.62440860213,835049.3331472612,8038.08,61036.8875,84277.0,123426.83750000001,6419376.0,186.0,1018730.3010752688,985392.9997482419,80915.0,501383.5,697702.5,988749.75,6419376.0,186.0,123400.75268817204,617071.245245976,56.0,319.25,512.5,588.5,6419376.0,186.0,127.12903225806451,429.10837101074,0.0,0.0,0.0,1.75,4200.0,186.0,3.1666666666666665,7.4332464746672535,0.0,0.0,0.0,1.0,42.0,186.0,573993.1451612903,989757.6558525477,20469.0,168390.5,260136.0,336006.0,6419376.0,186.0,13.946236559139784,14.134003921077515,1.0,9.0,11.0,15.0,130.0,186.0,475210.6182795699,995963.5542479694,12116.0,116811.5,157743.0,211795.25,6419376.0,186.0,24.64516129032258,26.020426554573483,1.0,15.0,19.0,27.0,241.0,186.0,235374.61290322582,634641.8429662433,4848.0,50663.5,76800.5,117532.25,6419376.0,186.0,43.76881720430107,48.744510939197454,1.0,25.25,35.0,47.25,454.0
bcereus,1159.0,5739083.960310613,349001.55708213523,4332847.0,5513371.5,5768183.0,5954933.0,7235672.0,1159.0,137.916307161346,167.5906860991391,1.0,51.0,96.0,155.0,1743.0,1159.0,405538.30162208807,1082419.877702807,3554.94,37760.06,59548.82,111466.565,6375991.0,1159.0,1359905.0802415875,1703161.0562131298,30689.0,419934.5,660730.0,1042777.0,6375991.0,1159.0,189378.08541846418,987018.9352082717,200.0,203.0,211.0,769.5,6375991.0,1159.0,6278.893874029336,21725.519202263004,0.0,69.5,260.0,540.0,207117.0,1159.0,51.67299396031061,76.45132932371759,0.0,4.0,53.0,70.0,1378.0,1159.0,1018194.3218291631,1826788.5500170977,6186.0,129835.0,199839.0,364571.0,6375991.0,1159.0,12.295081967213115,16.298200255792178,1.0,5.0,9.0,14.0,283.0,1159.0,881408.625539258,1809752.8797134934,4095.0,73796.5,117035.0,207492.5,6375991.0,1159.0,23.330457290767903,31.70348420805828,1.0,9.0,16.0,25.0,500.0,1159.0,626683.8291630716,1637269.4881102282,1547.0,27835.5,48176.0,80540.5,6375991.0,1159.0,46.753235547886106,65.14898181800604,1.0,18.0,32.0,49.0,879.0
bhampsonii,7.0,3082949.0,102457.33554997416,2943158.0,3003176.0,3093592.0,3173951.0,3189639.0,7.0,127.71428571428571,222.968394087379,1.0,5.0,16.0,127.5,612.0,7.0,675183.4214285715,1145045.645243848,4809.08,28867.63,199164.44,637468.085,3189639.0,7.0,1358903.857142857,1379704.7164474998,34622.0,164125.5,953127.0,2503344.0,3189639.0,7.0,456679.14285714284,1205122.2401726763,248.0,753.0,1101.0,2130.0,3189639.0,7.0,15146.142857142857,32791.413268458826,0.0,0.0,2.0,9050.5,87920.0,7.0,21.285714285714285,41.772057190240965,0.0,0.0,2.0,17.5,112.0,7.0,1287485.4285714286,1429382.303017619,7864.0,59021.0,690165.0,2503344.0,3189639.0,7.0,22.571428571428573,40.35615253736471,1.0,1.0,2.0,21.0,111.0,7.0,1125570.5714285714,1424846.424140377,5128.0,37300.5,442590.0,2083518.0,3189639.0,7.0,41.285714285714285,74.07139413141505,1.0,1.5,4.0,39.0,203.0,7.0,1090930.142857143,1447964.9166725264,2321.0,16451.0,244613.0,2083518.0,3189639.0,7.0,73.71428571428571,134.49375981275645,1.0,1.5,5.0,70.0,367.0
bhenselae,29.0,1891965.448275862,51591.54407153103,1812175.0,1855275.0,1879784.0,1931047.0,2014752.0,29.0,35.86206896551724,31.822862556357,1.0,5.0,42.0,64.0,97.0,29.0,467761.3206896552,724826.8808803319,19379.22,28725.19,43376.52,384289.0,1975503.0,29.0,844414.7931034482,731376.7993999586,214553.0,278904.0,437308.0,1905383.0,1979779.0,29.0,335549.5517241379,742877.1910045133,137.0,422.0,1131.0,1647.0,1975503.0,29.0,6538.620689655172,14409.411422037912,0.0,0.0,0.0,790.0,54224.0,29.0,7.344827586206897,13.441077396412634,0.0,0.0,0.0,3.0,41.0,29.0,756776.3103448276,796895.2391352555,82402.0,102111.0,245449.0,1905383.0,1979779.0,29.0,3.6551724137931036,2.525242026151235,1.0,1.0,4.0,6.0,7.0,29.0,668338.6206896552,822208.3276733377,44203.0,54006.0,82962.0,1905383.0,1979779.0,29.0,6.344827586206897,4.966141517954828,1.0,1.0,7.0,12.0,13.0,29.0,595614.1724137932,852085.6092405635,11489.0,24659.0,43101.0,1905383.0,1979779.0,29.0,11.586206896551724,9.492543093620196,1.0,1.0,13.0,20.0,26.0
bhyodysenteriae,58.0,3051961.8620689656,42989.583587577035,2993625.0,3024195.5,3038284.5,3062318.5,3193448.0,58.0,83.79310344827586,99.39373389488927,2.0,31.25,46.0,102.25,474.0,58.0,234236.6572413793,483313.61904584285,6737.23,29624.61,66454.91500000001,97178.83499999999,1542581.0,58.0,728622.1724137932,866271.9183719765,153661.0,317061.75,465188.5,551024.5,3052634.0,58.0,4557.982758620689,10891.517759475062,200.0,204.0,541.0,1084.5,36316.0,58.0,350.48275862068965,936.7853812772233,0.0,0.0,0.0,350.0,4719.0,58.0,15.637931034482758,30.655813263920315,0.0,0.0,0.0,33.75,191.0,58.0,517143.0689655172,938635.2073118148,57007.0,112278.0,154195.5,274647.75,3052634.0,58.0,6.810344827586207,4.049937823008636,1.0,4.0,6.0,9.0,19.0,58.0,452010.5172413793,959623.3312925578,29295.0,62640.5,96833.5,147989.75,3052634.0,58.0,12.10344827586207,7.642654207759431,1.0,6.0,12.0,16.0,33.0,58.0,401245.6206896552,977287.3283377324,11017.0,25650.75,45356.5,64102.5,3052634.0,58.0,22.724137931034484,14.794253392933536,1.0,13.0,21.0,29.25,65.0
