scheme,concordance,pubmlst_typed,fastmlst_typed,kappa
aactinomycetemcomitans,1.0,67,67,1.0
aphagocytophilum,1.0,18,18,1.0
bbacilliformis,1.0,16,16,1.0
bcepacia_complex,1.0,168,168,1.0
bcereus,1.0,856,856,1.0
bhampsonii,1.0,5,5,1.0
bhenselae,1.0,29,29,1.0
bhyodysenteriae,1.0,55,55,1.0
blicheniformis,1.0,186,186,1.0
bpilosicoli,1.0,6,6,1.0
bpseudomallei,1.0,1567,1567,1.0
bsubtilis,1.0,283,283,1.0
cbotulinum,1.0,149,149,1.0
cconcisuscurvus,1.0,67,67,1.0
cdifficile,1.0,1991,1991,1.0
cdiphtheriae,1.0,270,270,1.0
cfetus,1.0,85,85,1.0
cfreundii,1.0,382,382,1.0
chelveticus,1.0,5,5,1.0
chyointestinalis,1.0,21,21,1.0
cinsulaenigrae,1.0,3,3,1.0
cjejuni,0.9994131455399061,1704,1703,0.9994042095532061
clanienae,1.0,29,29,1.0
clari,1.0,27,27,1.0
cmaltaromaticum,1.0,20,20,1.0
cperfringens,1.0,192,192,1.0
csputorum,1.0,8,8,1.0
cupsaliensis,1.0,11,11,1.0
dnodosus,1.0,4,4,1.0
ecloacae,0.9890909090909091,275,272,0.9888701517706576
efaecalis,1.0,1645,1645,1.0
efaecium,1.0,1953,1953,1.0
fpsychrophilum,1.0,139,139,1.0
gparasuis,1.0,77,77,1.0
hcinaedi,0.9705882352941176,34,33,0.9611428571428572
hinfluenzae,1.0,720,720,1.0
hpylori,1.0,657,657,1.0
hsuis,1.0,25,25,1.0
kaerogenes,1.0,242,242,1.0
koxytoca,1.0,160,160,1.0
lmonocytogenes,0.999737739312877,3813,3812,0.9997282091334134
lsolanacearum,1.0,8,8,1.0
magalactiae,1.0,2,2,1.0
manserisalpingitidis,1.0,3,3,1.0
mcanis,1.0,7,7,1.0
mcaseolyticus,1.0,40,40,1.0
mcatarrhalis,1.0,172,172,1.0
mflocculare,1.0,8,8,1.0
mgallisepticum#1,1.0,27,27,1.0
mhaemolytica,1.0,180,180,1.0
mhyopneumoniae,1.0,18,18,1.0
mhyorhinis,1.0,90,90,1.0
miowae,1.0,4,4,1.0
mplutonius,1.0,17,17,1.0
mpneumoniae,1.0,161,161,1.0
msciuri,1.0,99,99,1.0
msynoviae,1.0,9,9,1.0
orhinotracheale,1.0,4,4,1.0
otsutsugamushi,1.0,10,10,1.0
pacnes,1.0,269,269,1.0
pdamselae,1.0,11,11,1.0
pfluorescens,1.0,15,15,1.0
pgingivalis,0.9285714285714286,14,13,0.9151515151515152
plarvae,1.0,14,14,1.0
pmultocida#1,1.0,245,245,1.0
ppentosaceus,1.0,10,10,1.0
pputida,1.0,32,32,1.0
psalmonis,1.0,83,83,1.0
ranatipestifer,1.0,50,50,1.0
sagalactiae,0.7707762557077625,1095,844,0.7582811219266801
sbovisequinus_complex_sbsec,1.0,33,33,1.0
scanis,1.0,20,20,1.0
schromogenes,1.0,122,122,1.0
sdysgalactiae_equisimilis,1.0,104,104,1.0
sepidermidis,1.0,946,946,1.0
sgallolyticus,1.0,11,11,1.0
shaemolyticus,1.0,258,258,1.0
shominis,1.0,29,29,1.0
smaltophilia,1.0,342,342,1.0
soralis,1.0,4,4,1.0
spseudintermedius,1.0,378,378,1.0
ssuis,1.0,1359,1359,1.0
suberis,1.0,16,16,1.0
szooepidemicus,1.0,54,54,1.0
tpallidum,1.0,60,60,1.0
vcholerae,1.0,1239,1239,1.0
vparahaemolyticus,1.0,1254,1254,1.0
vvulnificus,1.0,176,176,1.0
wolbachia,1.0,87,87,1.0
xfastidiosa,1.0,120,120,1.0
ypseudotuberculosis,1.0,86,86,1.0
