fastmlst	pubmlst	schnum
aactinomycetemcomitans	aactinomycetemcomitans	1
aphagocytophilum	aphagocytophilum	1
bbacilliformis	bbacilliformis	1
bcepacia_complex	bcc	1
bcereus	bcereus	1
bhampsonii	brachyspira	5
bhenselae	bhenselae	1
bhyodysenteriae	brachyspira	2
blicheniformis	blicheniformis	14
bpilosicoli	brachyspira	4
bpseudomallei	bpseudomallei	1
bsubtilis	bsubtilis	1
cbotulinum	cbotulinum	1
cconcisuscurvus	campylobacter_nonjejuni	5
cdifficile	cdifficile	1
cdiphtheriae	cdiphtheriae	1
cfetus	campylobacter_nonjejuni	9
cfreundii	cfreundii	1
chelveticus	campylobacter_nonjejuni	1
chyointestinalis	campylobacter_nonjejuni	6
cinsulaenigrae	campylobacter_nonjejuni	2
cjejuni	campylobacter	1
clanienae	campylobacter_nonjejuni	7
clari	campylobacter_nonjejuni	3
cmaltaromaticum	cmaltaromaticum	1
cperfringens	cperfringens	1
csputorum	campylobacter_nonjejuni	8
cupsaliensis	campylobacter_nonjejuni	4
dnodosus	dnodosus	1
ecloacae	ecloacae	1
efaecalis	efaecalis	1
fpsychrophilum	fpsychrophilum	1
gparasuis	hparasuis	1
hcinaedi	hcinaedi	1
hinfluenzae	hinfluenzae	1
hpylori	helicobacter	1
hsuis	hsuis	1
kaerogenes	kaerogenes	1
efaecium	efaecium	1
koxytoca	koxytoca	1
lsolanacearum	liberibacter	1
magalactiae	magalactiae	1
manserisalpingitidis	manserisalpingitidis	1
lmonocytogenes	listeria	2
mcanis	mcanis	1
mcaseolyticus	mcaseolyticus	1
mcatarrhalis	mcatarrhalis_achtman	6
mflocculare	mflocculare	1
mgallisepticum#1	mgallisepticum	1
mhaemolytica	mhaemolytica	1
mhyopneumoniae	mhyopneumoniae	1
mhyorhinis	mhyorhinis	1
miowae	miowae	1
mplutonius	mplutonius	1
mpneumoniae	mpneumoniae	1
msciuri	msciuri	1
msynoviae	msynoviae	1
orhinotracheale	orhinotracheale	1
otsutsugamushi	otsutsugamushi	1
pacnes	pacnes	3
pdamselae	pdamselae	1
pfluorescens	pfluorescens	1
pgingivalis	pgingivalis	1
plarvae	plarvae	1
pmultocida#1	pmultocida	2
ppentosaceus	ppentosaceus	1
pputida	pputida	1
psalmonis	psalmonis	1
ranatipestifer	ranatipestifer	1
sagalactiae	sagalactiae	1
sbovisequinus_complex_sbsec	sbsec	1
scanis	scanis	1
schromogenes	schromogenes	1
sdysgalactiae_equisimilis	sdysgalactiae	1
sepidermidis	sepidermidis	1
sgallolyticus	sgallolyticus	1
shaemolyticus	shaemolyticus	1
shominis	shominis	1
smaltophilia	smaltophilia	1
soralis	oralstrep	1
spseudintermedius	spseudintermedius	1
ssuis	ssuis	1
suberis	suberis	1
szooepidemicus	szooepidemicus	1
tpallidum	tpallidum	1
vcholerae	vcholerae	1
vparahaemolyticus	vparahaemolyticus	1
vvulnificus	vvulnificus	1
wolbachia	wolbachia	1
xfastidiosa	xfastidiosa	1
ypseudotuberculosis	ypseudotuberculosis_achtman	3
