Genome,Scheme,ST,gapA,pgi,tonB,mdh,phoE,rpoB,infB
GCF_002919625.fna.gz,koxytoca,85,3,13,19,21,24,6,5
GCF_003991285.fna.gz,koxytoca,181,1,1,2,2,67,1,7
GCF_010365605.fna.gz,koxytoca,222,23,14,62,2,34,41,42
GCF_010598865.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_010598965.fna.gz,koxytoca,58,1,1,2,2,4,1,2
GCF_015721385.fna.gz,koxytoca,-,,17,2,2,30,1,18
GCF_017968865.fna.gz,koxytoca,48,1,24,1,13,27,10,3
GCF_003416995.fna.gz,koxytoca,172,6,11,9,19,46,7,6
GCF_008082295.fna.gz,koxytoca,-,1,14,,2,19,9,7
GCF_015721705.fna.gz,koxytoca,200,2,15,57,2,2,1,7
GCF_001970835.fna.gz,koxytoca,144,3,20,20,21,24,6,5
GCF_001065715.fna.gz,koxytoca,58,1,1,2,2,4,1,2
GCF_002906435.fna.gz,koxytoca,85,3,13,19,21,24,6,5
GCF_015721725.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_001053715.fna.gz,koxytoca,19,1,1,2,2,16,1,2
GCF_001022195.fna.gz,koxytoca,317,3,9,23,22,20,33,8
GCF_002588345.fna.gz,koxytoca,34,2,17,2,2,2,1,2
GCF_002947505.fna.gz,koxytoca,146,3,13,50,44,24,6,5
GCF_002984395.fna.gz,koxytoca,222,23,14,62,2,34,41,42
GCF_016903415.fna.gz,koxytoca,201,1,53,1,12,16,1,3
GCF_002918635.fna.gz,koxytoca,202,3,13,12,21,74,6,5
GCF_001054575.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_001022295.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_002853195.fna.gz,koxytoca,145,1,34,1,2,16,34,3
GCF_016636025.fna.gz,koxytoca,266,1,1,2,2,65,1,2
GCF_001078175.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_012395905.fna.gz,koxytoca,58,1,1,2,2,4,1,2
GCF_016636045.fna.gz,koxytoca,267,1,1,2,2,66,1,7
GCF_003417005.fna.gz,koxytoca,172,6,11,9,19,46,7,6
GCF_004005605.fna.gz,koxytoca,221,1,1,2,2,2,40,11
GCF_016636055.fna.gz,koxytoca,65,1,30,2,2,4,21,7
GCF_003073975.fna.gz,koxytoca,-,1,24,10,13,,10,3
GCF_002918655.fna.gz,koxytoca,85,3,13,19,21,24,6,5
GCF_001054935.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_010590025.fna.gz,koxytoca,223,2,55,2,2,79,1,18
GCF_016636135.fna.gz,koxytoca,266,1,1,2,2,65,1,2
GCF_001030705.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_002853215.fna.gz,koxytoca,145,1,34,1,2,16,34,3
GCF_016636165.fna.gz,koxytoca,282,2,14,52,2,29,1,19
GCF_002072655.fna.gz,koxytoca,180,3,42,23,22,20,33,8
GCF_001078195.fna.gz,koxytoca,258,2,15,1,2,2,1,7
GCF_009648375.fna.gz,koxytoca,145,1,34,1,2,16,34,3
GCF_013750595.fna.gz,koxytoca,37,1,18,15,1,4,13,7
GCF_015554545.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_016903715.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_003812925.fna.gz,koxytoca,59,2,27,2,2,2,1,2
GCF_004360035.fna.gz,koxytoca,179,1,1,2,2,66,2,36
GCF_016643945.fna.gz,koxytoca,19,1,1,2,2,16,1,2
GCF_003339485.fna.gz,koxytoca,216,4,10,31,19,46,24,6
GCF_001055635.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_002080105.fna.gz,koxytoca,236,27,11,9,14,46,5,6
GCF_002265085.fna.gz,koxytoca,145,1,34,1,2,16,34,3
GCF_001030775.fna.gz,koxytoca,323,1,14,2,2,4,1,3
GCF_001078235.fna.gz,koxytoca,53,1,14,2,2,19,9,7
GCF_002906395.fna.gz,koxytoca,202,3,13,12,21,74,6,5
GCF_002918695.fna.gz,koxytoca,85,3,13,19,21,24,6,5
GCF_010590325.fna.gz,koxytoca,282,2,14,52,2,29,1,19
GCF_015559095.fna.gz,koxytoca,-,35,18,1,12,89,1,7
GCF_016903975.fna.gz,koxytoca,302,1,1,1,2,84,1,18
GCF_001594375.fna.gz,koxytoca,145,1,34,1,2,16,34,3
GCF_009648435.fna.gz,koxytoca,145,1,34,1,2,16,34,3
GCF_013826985.fna.gz,koxytoca,145,1,34,1,2,16,34,3
GCF_015721265.fna.gz,koxytoca,223,2,55,2,2,79,1,18
GCF_016904515.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_003937225.fna.gz,koxytoca,-,1,1,2,2,89,1,2
GCF_004785705.fna.gz,koxytoca,48,1,24,1,13,27,10,3
GCF_016773035.fna.gz,koxytoca,278,1,60,76,2,91,1,2
GCF_002906415.fna.gz,koxytoca,143,3,7,23,43,20,33,8
GCF_010590585.fna.gz,koxytoca,237,1,56,1,1,4,1,13
GCF_016773175.fna.gz,koxytoca,178,1,1,2,2,4,1,11
GCF_002919605.fna.gz,koxytoca,202,3,13,12,21,74,6,5
GCF_001052235.fna.gz,koxytoca,186,21,10,9,14,62,7,6
GCF_001057405.fna.gz,koxytoca,58,1,1,2,2,4,1,2
GCF_001063775.fna.gz,koxytoca,58,1,1,2,2,4,1,2
GCF_001598695.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_001870185.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_003201885.fna.gz,koxytoca,-,,,,,,,
GCF_009707385.fna.gz,koxytoca,-,,,,,,,
GCF_015721405.fna.gz,koxytoca,240,1,14,1,2,2,1,18
GCF_017974245.fna.gz,koxytoca,-,1,14,2,2,,1,11
GCF_002111445.fna.gz,koxytoca,-,3,13,50,,24,6,5
GCF_014103895.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_016774035.fna.gz,koxytoca,278,1,60,76,2,91,1,2
GCF_008082015.fna.gz,koxytoca,-,2,15,1,2,2,,7
GCF_009832375.fna.gz,koxytoca,-,2,1,2,1,16,1,2
GCF_015265825.fna.gz,koxytoca,-,1,1,2,2,65,1,11
GCF_015265865.fna.gz,koxytoca,-,1,1,2,2,65,1,11
GCF_015551825.fna.gz,koxytoca,-,1,1,1,2,2,2,
GCF_015679305.fna.gz,koxytoca,-,1,15,2,1,91,1,17
GCF_015694225.fna.gz,koxytoca,-,1,,2,2,65,1,11
GCF_015721295.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_015721345.fna.gz,koxytoca,223,2,55,2,2,79,1,18
GCF_015721555.fna.gz,koxytoca,19,1,1,2,2,16,1,2
GCF_015721655.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_015721755.fna.gz,koxytoca,199,2,3,2,2,19,2,2
