Genome,Scheme,ST,Chy_pgm,Chy_tkt,Chy_aspA,Chy_atpA,Chy_glnA,Chy_glyA,Chy_gltA
GCF_902385735.fna.gz,chyointestinalis,5,1,5,1,2,4,4,3
GCF_002927595.fna.gz,chyointestinalis,-,4,12,6,1,,8,4
GCF_002927605.fna.gz,chyointestinalis,-,,6,5,1,,8,4
GCF_003289525.fna.gz,chyointestinalis,20,10,15,9,8,9,11,8
GCF_003289565.fna.gz,chyointestinalis,24,13,18,12,12,12,14,5
GCF_003289585.fna.gz,chyointestinalis,37,19,20,15,14,14,18,11
GCF_003289865.fna.gz,chyointestinalis,97,25,24,21,10,19,22,15
GCF_003289885.fna.gz,chyointestinalis,22,11,17,10,10,10,12,9
GCF_008000435.fna.gz,chyointestinalis,39,4,14,1,7,2,19,2
GCF_008000555.fna.gz,chyointestinalis,-,,,,,,,
GCF_008017725.fna.gz,chyointestinalis,27,15,7,1,13,4,4,3
GCF_013372145.fna.gz,chyointestinalis,27,15,7,1,13,4,4,3
GCF_013372165.fna.gz,chyointestinalis,8,6,8,3,4,6,5,5
GCF_018476765.fna.gz,chyointestinalis,114,24,29,1,17,4,26,23
GCF_900116585.fna.gz,chyointestinalis,27,15,7,1,13,4,4,3
GCF_900446365.fna.gz,chyointestinalis,7,1,7,1,2,4,4,3
GCF_900460765.fna.gz,chyointestinalis,27,15,7,1,13,4,4,3
GCF_001486805.fna.gz,chyointestinalis,-,17,14,,1,16,15,4
GCF_001486965.fna.gz,chyointestinalis,-,,26,5,1,,9,21
GCF_001643955.fna.gz,chyointestinalis,5,1,5,1,2,4,4,3
GCF_001643975.fna.gz,chyointestinalis,9,7,9,4,5,7,6,6
GCF_002927305.fna.gz,chyointestinalis,-,1,1,,,,1,19
GCF_002927335.fna.gz,chyointestinalis,-,3,11,1,2,3,3,3
GCF_002927355.fna.gz,chyointestinalis,-,4,12,6,1,,8,4
GCF_002927375.fna.gz,chyointestinalis,-,,26,,1,,9,21
GCF_002927395.fna.gz,chyointestinalis,-,1,1,,,,1,19
GCF_002927415.fna.gz,chyointestinalis,-,1,1,,,,1,19
GCF_002927435.fna.gz,chyointestinalis,-,1,1,,,,1,19
GCF_002927455.fna.gz,chyointestinalis,-,3,11,1,2,3,3,3
GCF_002927475.fna.gz,chyointestinalis,-,,10,1,1,,10,4
GCF_002927495.fna.gz,chyointestinalis,-,18,,1,20,2,1,4
GCF_002927505.fna.gz,chyointestinalis,-,,6,18,,1,10,4
GCF_002927525.fna.gz,chyointestinalis,-,3,11,1,2,3,3,3
GCF_002927555.fna.gz,chyointestinalis,-,4,12,6,1,,8,4
GCF_002927575.fna.gz,chyointestinalis,-,18,6,19,1,5,1,4
GCF_003289475.fna.gz,chyointestinalis,8,6,8,3,4,6,5,5
GCF_003289555.fna.gz,chyointestinalis,23,12,16,11,11,11,13,10
GCF_003289845.fna.gz,chyointestinalis,21,10,16,9,9,9,11,8
GCF_003289875.fna.gz,chyointestinalis,22,11,17,10,10,10,12,9
GCF_005844045.fna.gz,chyointestinalis,-,4,6,1,1,,1,4
GCF_008000635.fna.gz,chyointestinalis,-,3,19,,2,4,3,3
GCF_008802075.fna.gz,chyointestinalis,8,6,8,3,4,6,5,5
