Genome,Scheme,ST,Cco_glnA,Cco_atpA,Cco_ilvD,Cco_glyA,Cco_gltA,Cco_aspA,Cco_pgm
GCF_002913445.fna.gz,cconcisuscurvus,26,26,24,27,28,26,25,27
GCF_002913465.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913485.fna.gz,cconcisuscurvus,-,20,,,5,,100,
GCF_002913665.fna.gz,cconcisuscurvus,-,34,32,,,,,34
GCF_002914085.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_001891085.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913325.fna.gz,cconcisuscurvus,26,26,24,27,28,26,25,27
GCF_002913765.fna.gz,cconcisuscurvus,-,,54,,,,,
GCF_002912995.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912335.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912825.fna.gz,cconcisuscurvus,-,,,58,82,,,
GCF_002913785.fna.gz,cconcisuscurvus,-,,13,,,,,
GCF_002912735.fna.gz,cconcisuscurvus,-,,,58,82,,,
GCF_002912595.fna.gz,cconcisuscurvus,-,,,,,42,,
GCF_002165815.fna.gz,cconcisuscurvus,-,29,25,28,,27,26,28
GCF_002912485.fna.gz,cconcisuscurvus,-,29,,,16,,,69
GCF_002913085.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913145.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913225.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913345.fna.gz,cconcisuscurvus,26,26,24,27,28,26,25,27
GCF_002913525.fna.gz,cconcisuscurvus,-,38,35,37,37,36,,
GCF_002913745.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912745.fna.gz,cconcisuscurvus,-,,,58,82,,,
GCF_002912985.fna.gz,cconcisuscurvus,-,77,86,,,98,76,75
GCF_002913805.fna.gz,cconcisuscurvus,-,91,77,,2,81,,
GCF_002912365.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002092845.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913545.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913825.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912895.fna.gz,cconcisuscurvus,-,95,96,110,107,,98,108
GCF_002912605.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912505.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002165825.fna.gz,cconcisuscurvus,39,43,40,42,41,40,41,43
GCF_002913095.fna.gz,cconcisuscurvus,78,4,49,4,4,4,4,4
