Genome,Scheme,ST,ack,cpn60,fdh,pta,purA,sar,tuf,clonal_complex
GCF_002119805.fna.gz,mcanis,1,1,1,1,1,1,1,1,
GCF_004359605.fna.gz,mcanis,new_alleles,~30,21,~27,18,17,17,~13,
GCF_004359625.fna.gz,mcanis,77,30,21,27,18,17,17,13,
GCF_004359635.fna.gz,mcanis,new_alleles,~30,21,~27,18,17,17,13,
GCF_004359705.fna.gz,mcanis,new_alleles,30,21,~27,18,17,17,13,
GCF_004359805.fna.gz,mcanis,new_alleles,30,21,~27,18,5,17,13,
GCF_004359835.fna.gz,mcanis,new_alleles,30,21,~27,18,17,17,13,
GCF_004359875.fna.gz,mcanis,new_alleles,30,21,~27,18,17,17,~13,
GCF_005706215.fna.gz,mcanis,12,6,5,6,5,5,2,4,
GCF_011064785.fna.gz,mcanis,new_alleles,16,~21,15,5,2,3,5,
GCF_011065325.fna.gz,mcanis,2,11,12,11,9,2,2,3,
GCF_014524485.fna.gz,mcanis,5,4,3,4,3,4,2,3,
GCF_017893605.fna.gz,mcanis,71,29,7,8,5,8,2,2,
GCF_018278985.fna.gz,mcanis,75,28,7,10,13,16,4,5,
