Genome,Scheme,ST,atpA,efp,mutY,ppa,trpC,ureAB,yphC,clonal_complex
GCF_000187605.fna.gz,hsuis,new_alleles,4,2,5,1,2?,1,1,
GCF_000187625.fna.gz,hsuis,1,1,1,1,1,1,1,1,
GCF_001653055.fna.gz,hsuis,76,1,2,27,1,2,1,2,
GCF_007036205.fna.gz,hsuis,76,1,2,27,1,2,1,2,
GCF_013373995.fna.gz,hsuis,15,1,2,3,1,1,1,1,
GCF_013374155.fna.gz,hsuis,15,1,2,3,1,1,1,1,
GCF_013374175.fna.gz,hsuis,139,1,2,75,1,1,28,3,
GCF_013374195.fna.gz,hsuis,140,1,4,76,1,1,1,3,
GCF_013374215.fna.gz,hsuis,141,14,2,77,32,1,1,1,
GCF_017979375.fna.gz,hsuis,1,1,1,1,1,1,1,1,
GCF_900099065.fna.gz,hsuis,1,1,1,1,1,1,1,1,
GCF_900099075.fna.gz,hsuis,1,1,1,1,1,1,1,1,
GCF_900099085.fna.gz,hsuis,1,1,1,1,1,1,1,1,
GCF_900099095.fna.gz,hsuis,1,1,1,1,1,1,1,1,
GCF_900099105.fna.gz,hsuis,1,1,1,1,1,1,1,1,
GCF_900196795.fna.gz,hsuis,8,1,3,7,1,1,1,3,
GCF_900196825.fna.gz,hsuis,7,1,3,6,1,1,1,3,
GCF_900196835.fna.gz,hsuis,1,1,1,1,1,1,1,1,
GCF_900196865.fna.gz,hsuis,6,4,2,5,1,2,1,1,
GCF_900196915.fna.gz,hsuis,6,4,2,5,1,2,1,1,
GCF_900196935.fna.gz,hsuis,4,3,2,3,1,3,1,3,
GCF_900196945.fna.gz,hsuis,9,1,4,8,1,1,1,1,
GCF_900196975.fna.gz,hsuis,10,4,2,9,1,1,1,1,
GCF_900196985.fna.gz,hsuis,11,1,4,3,2,1,1,3,
GCF_902196095.fna.gz,hsuis,-,~36,~26,~73,-,-,8?,-,
GCF_902196105.fna.gz,hsuis,new_alleles,34,22,~68,~25,~25,23,34,
GCF_902196115.fna.gz,hsuis,-,39,27,72,-,-,8,40,
GCF_902196125.fna.gz,hsuis,-,~34,~27,71,-,-,27,38,
GCF_902196135.fna.gz,hsuis,-,33,14,-,-,~24,22,33,
GCF_902196145.fna.gz,hsuis,-,~20,~16,-,~22,~17,~22,-,
GCF_902196155.fna.gz,hsuis,-,~32,~22,~66,-,~22,~21,~31,
GCF_902312325.fna.gz,hsuis,32,1,4,7,1,1,1,1,
GCF_902312335.fna.gz,hsuis,30,4,1,22,1,1,1,1,
GCF_902312345.fna.gz,hsuis,new_alleles,4,2,~14,1,1,1,~9,
