Genome,Scheme,ST,aroA,thrA,gki,dpr,recA,mutS,cpn60
GCF_000941495.fna.gz,ssuis,881,114,8,188,58,219,25,342
GCF_000941675.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937295.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937555.fna.gz,ssuis,892,15,8,7,236,77,16,11
GCF_000938495.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000938655.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944635.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944775.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942415.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942535.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936325.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000936575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945535.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945675.fna.gz,ssuis,891,1,1,299,1,1,1,1
GCF_000947635.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947755.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940015.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940175.fna.gz,ssuis,916,254,157,298,22,21,16,88
GCF_000946555.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946675.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943255.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943835.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876715.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876815.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937315.fna.gz,ssuis,883,37,204,66,230,20,75,344
GCF_000937595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941515.fna.gz,ssuis,909,1,1,1,1,1,311,1
GCF_000941695.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944655.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944815.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938555.fna.gz,ssuis,864,23,18,4,52,33,14,39
GCF_000938675.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936385.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942435.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942555.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943275.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943855.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940055.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940195.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945555.fna.gz,ssuis,31,30,25,34,5,3,31,30
GCF_000945695.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947675.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947775.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946695.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876735.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876835.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938755.fna.gz,ssuis,144,1,1,1,1,1,1,30
GCF_000936515.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936615.fna.gz,ssuis,902,49,170,298,8,32,76,10
GCF_000937335.fna.gz,ssuis,866,23,8,4,5,107,76,68
GCF_000937635.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942455.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943295.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943875.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941555.fna.gz,ssuis,893,254,157,298,22,213,16,88
GCF_000941715.fna.gz,ssuis,861,23,11,101,52,194,220,99
GCF_000944675.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944875.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947695.fna.gz,ssuis,23,26,4,12,24,10,1,8
GCF_000947795.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946715.fna.gz,ssuis,895,21,27,14,221,21,8,25
GCF_000876755.fna.gz,ssuis,855,31,4,12,24,10,1,8
GCF_000876855.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945735.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940075.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940275.fna.gz,ssuis,904,31,8,212,222,10,9,345
GCF_000937375.fna.gz,ssuis,869,1,1,7,1,1,1,1
GCF_000937655.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_000942475.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936535.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936655.fna.gz,ssuis,46,17,8,7,21,6,14,3
GCF_000947715.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000947835.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938615.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938775.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943315.fna.gz,ssuis,899,49,56,288,30,6,84,344
GCF_000943895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946615.fna.gz,ssuis,889,257,125,298,232,26,8,344
GCF_000946795.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941595.fna.gz,ssuis,1,1,1,1,1,1,1,1
