Genome,Scheme,ST,coxA,gatB,hcpA,fbpA,ftsZ
GCF_000331595.fna.gz,wolbachia,-,11,246,101,4,209
GCF_017869155.fna.gz,wolbachia,-,321,7,7,8,3
GCF_017869285.fna.gz,wolbachia,-,,88,258,120,3
GCF_014129615.fna.gz,wolbachia,10,1,1,1,2,3
GCF_008033215.fna.gz,wolbachia,17,23,22,24,23,3
GCF_000829315.fna.gz,wolbachia,8,27,26,31,28,24
GCF_002907405.fna.gz,wolbachia,17,23,22,24,23,3
GCF_002907525.fna.gz,wolbachia,1,1,1,1,1,1
GCF_013365455.fna.gz,wolbachia,-,,,,,
GCF_013365475.fna.gz,wolbachia,-,,,,,
GCF_018690095.fna.gz,wolbachia,14,1,1,27,1,3
GCF_014129685.fna.gz,wolbachia,34,15,14,16,15,13
GCF_002907445.fna.gz,wolbachia,1,1,1,1,1,1
GCF_014129535.fna.gz,wolbachia,11,10,10,11,24,14
GCF_014354335.fna.gz,wolbachia,1,1,1,1,1,1
GCF_014107475.fna.gz,wolbachia,-,2,23,86,26,21
GCF_004795415.fna.gz,wolbachia,464,229,242,166,27,210
GCF_010820705.fna.gz,wolbachia,-,,,,,
GCF_012277315.fna.gz,wolbachia,-,,,,,
GCF_001758565.fna.gz,wolbachia,-,1,1,,1,
GCF_900097055.fna.gz,wolbachia,166,88,105,106,165,7
GCF_902713645.fna.gz,wolbachia,-,6,7,7,8,
GCF_014333535.fna.gz,wolbachia,52,2,22,51,36,32
GCF_012277295.fna.gz,wolbachia,-,,,,,
GCF_007972595.fna.gz,wolbachia,-,1,,1,1,1
GCF_014129645.fna.gz,wolbachia,-,37,,,62,3
GCF_016031645.fna.gz,wolbachia,-,321,7,7,8,3
GCF_014129565.fna.gz,wolbachia,12,10,10,11,11,14
GCF_000204545.fna.gz,wolbachia,26,8,9,9,9,7
GCF_014129515.fna.gz,wolbachia,17,23,22,24,23,3
GCF_016584325.fna.gz,wolbachia,1,1,1,1,1,1
GCF_018491735.fna.gz,wolbachia,-,274,279,302,445,240
GCF_018689955.fna.gz,wolbachia,13,1,1,1,1,3
GCF_004795975.fna.gz,wolbachia,15,4,5,5,6,4
GCF_002379145.fna.gz,wolbachia,464,229,242,166,27,210
GCF_004795955.fna.gz,wolbachia,15,4,5,5,6,4
GCF_007115015.fna.gz,wolbachia,213,11,106,13,162,105
GCF_014354315.fna.gz,wolbachia,19,6,7,7,8,3
GCF_017896345.fna.gz,wolbachia,1,1,1,1,1,1
GCF_014129525.fna.gz,wolbachia,14,1,1,27,1,3
GCF_018690035.fna.gz,wolbachia,15,4,5,5,6,4
GCF_014129655.fna.gz,wolbachia,13,1,1,1,1,3
GCF_002300525.fna.gz,wolbachia,17,23,22,24,23,3
GCF_012030695.fna.gz,wolbachia,-,,,,,
GCF_013096355.fna.gz,wolbachia,-,11,246,101,4,209
GCF_007972745.fna.gz,wolbachia,1,1,1,1,1,1
GCF_014129605.fna.gz,wolbachia,-,221,129,128,118,99
GCF_017896245.fna.gz,wolbachia,1,1,1,1,1,1
GCF_000073005.fna.gz,wolbachia,9,3,4,3,4,22
GCF_005862095.fna.gz,wolbachia,13,1,1,1,1,3
GCF_007115045.fna.gz,wolbachia,163,87,107,29,27,35
GCF_013096725.fna.gz,wolbachia,-,11,246,101,4,209
GCF_013317055.fna.gz,wolbachia,-,,,,,
GCF_017604245.fna.gz,wolbachia,13,1,1,1,1,3
GCF_017916155.fna.gz,wolbachia,1,1,1,1,1,1
GCF_001983615.fna.gz,wolbachia,"23,352",7,8,198,1,6
GCF_018454455.fna.gz,wolbachia,101,58,53,85,79,70
GCF_018454475.fna.gz,wolbachia,158,84,8,103,160,79
GCF_006542295.fna.gz,wolbachia,19,6,7,7,8,3
GCF_016584375.fna.gz,wolbachia,1,1,1,1,1,1
GCF_017896265.fna.gz,wolbachia,1,1,1,1,1,1
GCF_003671365.fna.gz,wolbachia,17,23,22,24,23,3
GCF_014354345.fna.gz,wolbachia,1,1,1,1,1,1
GCF_017896285.fna.gz,wolbachia,1,1,1,1,1,1
GCF_006334525.fna.gz,wolbachia,303,126,9,148,201,7
GCF_000022285.fna.gz,wolbachia,17,23,22,24,23,3
GCF_003671405.fna.gz,wolbachia,-,23,22,24,23,
GCF_004685025.fna.gz,wolbachia,15,4,5,5,6,4
GCF_000333775.fna.gz,wolbachia,125,14,4,40,4,73
GCF_017916175.fna.gz,wolbachia,17,23,22,24,23,3
GCF_018141665.fna.gz,wolbachia,37,9,9,6,10,8
GCF_018467115.fna.gz,wolbachia,13,1,1,1,1,3
GCF_016584405.fna.gz,wolbachia,1,1,1,1,1,1
GCF_005862115.fna.gz,wolbachia,13,1,1,1,1,3
GCF_005862135.fna.gz,wolbachia,13,1,1,1,1,3
GCF_007971685.fna.gz,wolbachia,1,1,1,1,1,1
GCF_014534705.fna.gz,wolbachia,-,,,,,
GCF_017896365.fna.gz,wolbachia,1,1,1,1,1,1
GCF_013309895.fna.gz,wolbachia,-,,,,,
GCF_004171285.fna.gz,wolbachia,464,229,242,166,27,210
