Genome,ST,adhP,pheS,atr,glnA,sdhA,glcK,tkt
GCF_001694045.fna.gz,-,1,1,3,1,41,12,134|2
GCF_009934315.fna.gz,-,116,1,4,1,3,3,2|134
GCF_009933805.fna.gz,-,9,1,4,1,3,3,2|134
GCF_014875305.fna.gz,-,9,1,4,1,3,3,134|2
GCF_000290335.fna.gz,-,1,1,2,1,1,39,2|134
GCF_900475355.fna.gz,-,9,1,2,1,3,2,134|2
GCF_001546715.fna.gz,-,1,1,3,1,41,12,134|2
GCF_001694815.fna.gz,-,1,1,3,1,41,12,134|2
GCF_003288055.fna.gz,-,9,1,4,1,3,3,134|2
GCF_001190845.fna.gz,-,10,1,2,1,3,2,134|2
GCF_000289195.fna.gz,-,10,1,2,1,3,2,2|134
GCF_002937095.fna.gz,-,9,5,7,1,3,3,134|2
GCF_011326915.fna.gz,-,1,1,3,1,41,12,134|2
GCF_000347415.fna.gz,-,9,1,2,1,3,2,134|2
GCF_001348575.fna.gz,-,9,1,2,2,3,2,134|2
GCF_000299135.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001693965.fna.gz,-,1,1,3,1,41,12,134|2
GCF_001856445.fna.gz,-,10,1,4,1,3,3,134|2
GCF_000289355.fna.gz,-,8,1,4,1,3,23,134|2
GCF_001694125.fna.gz,-,1,1,3,1,41,12,134|2
GCF_000288295.fna.gz,-,1,1,3,1,41,12,134|2
GCF_008710735.fna.gz,-,9,1,4,1,3,3,134|2
GCF_001217725.fna.gz,-,9,8,4,1,174,3,134|4
GCF_003287995.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001694435.fna.gz,-,1,1,3,1,41,12,2|134
GCF_002812465.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001856455.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001694355.fna.gz,-,1,1,3,1,1,12,134|2
GCF_001694495.fna.gz,-,1,1,3,1,41,12,134|2
GCF_001695155.fna.gz,-,1,1,3,1,1,12,134|2
GCF_014875705.fna.gz,-,9,1,4,1,3,3,134|2
GCF_003319215.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001190805.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001592425.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001693955.fna.gz,-,1,1,4,1,1,3,134|2
GCF_000311025.fna.gz,-,9,5,7,1,3,3,2|134
GCF_000289275.fna.gz,-,10,1,2,1,3,2,134|2
GCF_000826025.fna.gz,-,9,1,4,1,3,3,134|2
GCF_000311665.fna.gz,-,4,1,4,1,3,3,2|134
GCF_002176615.fna.gz,-,9,5,7,1,3,3,134|2
GCF_000310825.fna.gz,-,10,1,2,1,3,2,2|134
GCF_013000945.fna.gz,-,10,1,2,1,3,2,134|2
GCF_000714695.fna.gz,-,10,1,219,1,3,2,2|134
GCF_001348535.fna.gz,-,116,1,4,1,3,3,134|2
GCF_014875145.fna.gz,-,9,1,4,1,3,3,134|2
GCF_011319395.fna.gz,-,1,1,3,1,41,12,134|2
GCF_011379065.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001017925.fna.gz,-,9,1,4,1,3,3,2|134
GCF_001695025.fna.gz,-,361,1,3,1,1,12,2|134
GCF_000310325.fna.gz,-,10,1,2,1,49,2,2|134
GCF_001856475.fna.gz,-,10,1,4,1,3,3,134|2
GCF_006543435.fna.gz,-,9,8,4,1,5,3,4|134
GCF_000289235.fna.gz,-,10,1,2,1,3,2,2|134
GCF_000310965.fna.gz,-,10,1,4,1,3,3,2|134
GCF_009933915.fna.gz,-,9,5,4,1,3,3,134|2
GCF_000310385.fna.gz,-,10,1,4,1,53,3,2|134
GCF_001017845.fna.gz,-,4,1,4,1,3,3,2|134
GCF_008710675.fna.gz,-,9,1,4,1,3,3,2|134
GCF_001016525.fna.gz,-,10,1,4,1,3,3,2|134
GCF_009934265.fna.gz,-,10,1,4,1,3,3,2|134
GCF_009933795.fna.gz,-,10,1,4,1,3,3,2|134
GCF_003160745.fna.gz,-,10,1,2,1,3,2,134|2
GCF_008710585.fna.gz,-,117,1,4,1,3,3,2|134
