Genome,Scheme,ST,arcC,hutU,fumC,dnaJ,glpF,menF,pta
GCF_000696815.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_002901945.fna.gz,schromogenes,67,8,17,6,1,21,15,2
GCF_002994065.fna.gz,schromogenes,48,1,1,6,1,3,1,5
GCF_002994185.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_002994195.fna.gz,schromogenes,69,1,1,1,3,3,17,2
GCF_002994225.fna.gz,schromogenes,19,5,1,1,1,6,5,2
GCF_002994245.fna.gz,schromogenes,69,1,1,1,3,3,17,2
GCF_002994265.fna.gz,schromogenes,80,25,10,15,26,18,10,11
GCF_002994285.fna.gz,schromogenes,82,27,1,1,1,1,1,1
GCF_002994305.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003036025.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003036035.fna.gz,schromogenes,75,1,1,18,1,1,1,1
GCF_003036065.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003036085.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003036105.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003036125.fna.gz,schromogenes,68,1,1,1,3,2,16,2
GCF_003036135.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003036155.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003036185.fna.gz,schromogenes,48,1,1,6,1,3,1,5
GCF_003036205.fna.gz,schromogenes,48,1,1,6,1,3,1,5
GCF_003036215.fna.gz,schromogenes,25,11,7,2,9,11,2,4
GCF_003036245.fna.gz,schromogenes,25,11,7,2,9,11,2,4
GCF_003036265.fna.gz,schromogenes,48,1,1,6,1,3,1,5
GCF_003036285.fna.gz,schromogenes,25,11,7,2,9,11,2,4
GCF_003036305.fna.gz,schromogenes,79,19,11,19,17,14,2,10
GCF_003036325.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003036345.fna.gz,schromogenes,81,26,11,16,20,11,19,4
GCF_003036365.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003036375.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003036405.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003039435.fna.gz,schromogenes,48,1,1,6,1,3,1,5
GCF_003039455.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003039495.fna.gz,schromogenes,53,8,1,7,14,3,1,5
GCF_003039515.fna.gz,schromogenes,48,1,1,6,1,3,1,5
GCF_003039535.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003039555.fna.gz,schromogenes,77,1,19,1,3,2,1,2
GCF_003039575.fna.gz,schromogenes,83,28,8,7,14,3,18,2
GCF_003039595.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003039615.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003039635.fna.gz,schromogenes,77,1,19,1,3,2,1,2
GCF_003039655.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003039675.fna.gz,schromogenes,25,11,7,2,9,11,2,4
GCF_003039695.fna.gz,schromogenes,18,4,4,4,4,5,4,4
GCF_003039715.fna.gz,schromogenes,78,4,4,4,25,5,4,4
GCF_003039735.fna.gz,schromogenes,52,6,1,12,1,19,11,12
GCF_003039755.fna.gz,schromogenes,74,1,1,7,21,25,1,2
GCF_003039775.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003039795.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003039815.fna.gz,schromogenes,15,3,1,1,1,3,5,2
GCF_003039835.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003040015.fna.gz,schromogenes,77,1,19,1,3,2,1,2
GCF_003040035.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003040055.fna.gz,schromogenes,72,1,1,6,1,23,1,5
GCF_003040075.fna.gz,schromogenes,75,1,1,18,1,1,1,1
GCF_003040095.fna.gz,schromogenes,85,30,18,7,24,22,1,16
GCF_003040115.fna.gz,schromogenes,6,1,1,1,3,2,1,2
