Genome,Scheme,ST,ace,gltB,gmhD,lepA,lipA,narK,ndh,clonal_complex
GCF_000011545.fna.gz,bpseudomallei,10,1,1,13,1,1,1,1,
GCF_000012785.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_000015905.fna.gz,bpseudomallei,129,1,15,13,2,1,22,1,
GCF_000015925.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_000152325.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_000152345.fna.gz,bpseudomallei,411,1,4,4,3,1,3,1,
GCF_000152365.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_000152685.fna.gz,bpseudomallei,211,3,1,3,1,1,4,1,
GCF_000169715.fna.gz,bpseudomallei,36,1,7,14,7,1,12,11,
GCF_000170435.fna.gz,bpseudomallei,98,3,3,4,2,3,1,1,
GCF_000170455.fna.gz,bpseudomallei,830,1,1,13,1,1,4,1,
GCF_000170475.fna.gz,bpseudomallei,72,4,1,4,1,1,2,1,
GCF_000170515.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_000170535.fna.gz,bpseudomallei,11,1,1,13,1,6,1,1,
GCF_000170555.fna.gz,bpseudomallei,15,1,2,2,2,1,3,1,
GCF_000170575.fna.gz,bpseudomallei,613,1,4,43,4,1,48,11,
GCF_000170595.fna.gz,bpseudomallei,1355,1,156,2,2,5,1,1,
GCF_000182195.fna.gz,bpseudomallei,501,1,12,6,2,1,2,3,
GCF_000182445.fna.gz,bpseudomallei,72,4,1,4,1,1,2,1,
GCF_000182585.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_000193455.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_000193475.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_000195145.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_000259735.fna.gz,bpseudomallei,102,3,4,12,1,1,4,1,
GCF_000259755.fna.gz,bpseudomallei,221,1,12,2,3,5,29,1,
GCF_000259775.fna.gz,bpseudomallei,221,1,12,2,3,5,29,1,
GCF_000259795.fna.gz,bpseudomallei,78,1,2,2,1,1,1,1,
GCF_000259815.fna.gz,bpseudomallei,78,1,2,2,1,1,1,1,
GCF_000260515.fna.gz,bpseudomallei,102,3,4,12,1,1,4,1,
GCF_000294635.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_000346205.fna.gz,bpseudomallei,-,4,12,-,2,1,1,3,
GCF_000347975.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
