Genome,Scheme,ST,atpD,gltB,gyrB,recA,lepA,phaC,trpB,clonal_complex
GCF_000292915.fna.gz,bcepacia_complex,1760,594,456,1139,656,736,567,710,
GCF_000473485.fna.gz,bcepacia_complex,10,5,4,44,4,4,4,48,
GCF_000504665.fna.gz,bcepacia_complex,44,65,49,41,47,33,36,44,
GCF_000701165.fna.gz,bcepacia_complex,1331,124,577,304,149,316,410,146,
GCF_000724975.fna.gz,bcepacia_complex,1618,180,706,1052,597,657,498,643,
GCF_000755805.fna.gz,bcepacia_complex,807,16,11,271,143,11,6,147,
GCF_000756845.fna.gz,bcepacia_complex,810,323,374,560,342,389,299,377,
GCF_000757365.fna.gz,bcepacia_complex,807,16,11,271,143,11,6,147,
GCF_000974835.fna.gz,bcepacia_complex,472,30,21,18,24,291,13,20,
GCF_001038835.fna.gz,bcepacia_complex,new_alleles,1,~695,~1121,1,3,~62,21,
GCF_001039005.fna.gz,bcepacia_complex,1617,529,703,1048,596,655,495,642,
GCF_001052915.fna.gz,bcepacia_complex,-,5,4,44,4,-,4,48,
GCF_001053975.fna.gz,bcepacia_complex,10,5,4,44,4,4,4,48,
GCF_001411495.fna.gz,bcepacia_complex,10,5,4,44,4,4,4,48,
GCF_001521915.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001521975.fna.gz,bcepacia_complex,1589,1,195,1050,1,656,62,21,
GCF_001522215.fna.gz,bcepacia_complex,1597,1,697,1035,53,1,489,21,
GCF_001522295.fna.gz,bcepacia_complex,1607,1,705,1051,325,645,497,21,
GCF_001522305.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522335.fna.gz,bcepacia_complex,1597,1,697,1035,53,1,489,21,
GCF_001522525.fna.gz,bcepacia_complex,1606,1,386,1036,325,1,490,21,
GCF_001522575.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522625.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522695.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522785.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522805.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522815.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522875.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522925.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522945.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522965.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001522985.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001523085.fna.gz,bcepacia_complex,1606,1,386,1036,325,1,490,21,
