Genome,Scheme,ST,adk,ccpA,recF,rpoB,spo0A,sucC,clonal_complex
GCF_000008425.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_000011645.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_000258125.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_000260535.fna.gz,blicheniformis,41,1,9,1,1,1,1,
GCF_000260555.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_000315975.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_000477395.fna.gz,blicheniformis,46,2,1,1,1,3,1,
GCF_000603965.fna.gz,blicheniformis,25,2,9,1,1,1,1,
GCF_000603985.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_000695465.fna.gz,blicheniformis,42,2,3,1,1,3,2,
GCF_000948275.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_001507755.fna.gz,blicheniformis,4,3,2,2,3,2,3,
GCF_001507765.fna.gz,blicheniformis,18,3,10,3,3,2,3,
GCF_001507775.fna.gz,blicheniformis,29,2,1,1,1,10,9,
GCF_001587195.fna.gz,blicheniformis,7,2,1,1,2,4,2,
GCF_001587285.fna.gz,blicheniformis,new_alleles,2,1,1,~1,1,2,
GCF_001587315.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_001587355.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_001596055.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_001642595.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_001662975.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_001726125.fna.gz,blicheniformis,19,2,1,1,2,3,1,
GCF_001876545.fna.gz,blicheniformis,-,2,1,1,2,1,-,
GCF_001876555.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_001876575.fna.gz,blicheniformis,-,2,-,1,2,1,2,
GCF_001876655.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_001896285.fna.gz,blicheniformis,42,2,3,1,1,3,2,
GCF_001896295.fna.gz,blicheniformis,5,2,3,1,1,3,1,
GCF_001896305.fna.gz,blicheniformis,42,2,3,1,1,3,2,
GCF_001901555.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_001914255.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_001925025.fna.gz,blicheniformis,-,2,1,1,2,1,-,
GCF_001925055.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_001925115.fna.gz,blicheniformis,new_alleles,2,1,~1,2,1,1,
GCF_001939525.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_002074075.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_002074095.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_002074115.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_002074135.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_002173675.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_002174255.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_002236895.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_002271465.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_002271485.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_002271715.fna.gz,blicheniformis,42,2,3,1,1,3,2,
GCF_002271725.fna.gz,blicheniformis,24,2,3,1,1,1,2,
GCF_002272005.fna.gz,blicheniformis,42,2,3,1,1,3,2,
GCF_002272305.fna.gz,blicheniformis,42,2,3,1,1,3,2,
GCF_002272315.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_002272335.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_002272365.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_002272395.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_002272455.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_002276325.fna.gz,blicheniformis,-,2,1,1,-,3,1,
GCF_002287385.fna.gz,blicheniformis,-,-,1,1,1,1,1,
GCF_002504325.fna.gz,blicheniformis,7,2,1,1,2,4,2,
GCF_002860295.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_002933795.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_002953475.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_002966955.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_003024435.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_003253815.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_003339545.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_003474315.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_003583315.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_003595625.fna.gz,blicheniformis,new_alleles,1,1,1,1,1,~1,
GCF_003606405.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_003859785.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_003952865.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_004078545.fna.gz,blicheniformis,new_ST,2,8,1,1,1,1,
GCF_004101525.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_004103575.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_004119755.fna.gz,blicheniformis,19,2,1,1,2,3,1,
GCF_004119795.fna.gz,blicheniformis,new_ST,2,8,1,1,1,1,
GCF_004362235.fna.gz,blicheniformis,25,2,9,1,1,1,1,
GCF_004526275.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_006094335.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_006494795.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_006974025.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007673185.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007673855.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007676795.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007677765.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007679605.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007830775.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007830795.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007830815.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007830835.fna.gz,blicheniformis,9,2,1,1,1,1,1,
