Genome,Scheme,ST,dapE,ddlA,glpQ,ilvE,leuS,pyc,pyrE,clonal_complex
GCF_000238575.fna.gz,cmaltaromaticum,36,15,4,12,5,5,11,6,4.0
GCF_000317975.fna.gz,cmaltaromaticum,4,8,7,3,4,4,4,4,1.0
GCF_000744945.fna.gz,cmaltaromaticum,4,8,7,3,4,4,4,4,1.0
GCF_001437035.fna.gz,cmaltaromaticum,18,4,4,3,2,7,6,8,3.0
GCF_001437315.fna.gz,cmaltaromaticum,4,8,7,3,4,4,4,4,1.0
GCF_001438765.fna.gz,cmaltaromaticum,37,12,4,7,9,17,6,9,7.0
GCF_001703575.fna.gz,cmaltaromaticum,11,8,3,3,4,4,4,4,1.0
GCF_002860425.fna.gz,cmaltaromaticum,-,~21,~11,-,~11,~8,~17,8,
GCF_002860435.fna.gz,cmaltaromaticum,-,~21,~11,-,~11,~8,~17,8,
GCF_002860465.fna.gz,cmaltaromaticum,-,~21,~11,-,~11,~8,~17,8,
GCF_002860485.fna.gz,cmaltaromaticum,-,~21,~11,-,~11,~8,~17,8,
GCF_002860505.fna.gz,cmaltaromaticum,-,~21,~11,-,~11,~8,~17,8,
GCF_002860525.fna.gz,cmaltaromaticum,-,~21,~11,-,~11,~8,~17,8,
GCF_002860545.fna.gz,cmaltaromaticum,-,~21,~11,-,~11,~8,~17,8,
GCF_002860555.fna.gz,cmaltaromaticum,-,~21,~11,-,~11,~8,~17,8,
GCF_002860585.fna.gz,cmaltaromaticum,-,~21,~11,-,~11,~8,~17,8,
GCF_004564705.fna.gz,cmaltaromaticum,18,4,4,3,2,7,6,8,3.0
GCF_004564725.fna.gz,cmaltaromaticum,18,4,4,3,2,7,6,8,3.0
GCF_004564745.fna.gz,cmaltaromaticum,18,4,4,3,2,7,6,8,3.0
GCF_004564845.fna.gz,cmaltaromaticum,18,4,4,3,2,7,6,8,3.0
GCF_004564875.fna.gz,cmaltaromaticum,new_alleles,4,4,3,12,7,6,~8,
GCF_004564895.fna.gz,cmaltaromaticum,new_alleles,~12,4,~7,~21,17,2,9,
GCF_004565155.fna.gz,cmaltaromaticum,18,4,4,3,2,7,6,8,3.0
GCF_004565195.fna.gz,cmaltaromaticum,18,4,4,3,2,7,6,8,3.0
GCF_004565215.fna.gz,cmaltaromaticum,18,4,4,3,2,7,6,8,3.0
GCF_004565225.fna.gz,cmaltaromaticum,new_alleles,~12,4,~7,~21,17,2,9,
GCF_006540145.fna.gz,cmaltaromaticum,18,4,4,3,2,7,6,8,3.0
GCF_009738125.fna.gz,cmaltaromaticum,new_alleles,6,~10,~3,~9,3,~13,8,
GCF_014518385.fna.gz,cmaltaromaticum,37,12,4,7,9,17,6,9,7.0
GCF_014518405.fna.gz,cmaltaromaticum,new_alleles,3,4,2,3,3,~3,3,
GCF_019278975.fna.gz,cmaltaromaticum,11,8,3,3,4,4,4,4,1.0
GCF_900005095.fna.gz,cmaltaromaticum,39,18,4,7,9,3,6,9,8.0
GCF_900005785.fna.gz,cmaltaromaticum,37,12,4,7,9,17,6,9,7.0
GCF_904820345.fna.gz,cmaltaromaticum,new_alleles,21,~4,9,~8,~23,~9,~9,
GCF_904820355.fna.gz,cmaltaromaticum,53,21,11,9,18,23,14,13,
