Genome,Scheme,ST,Bpi_glpK,Bpi_adh,Bpi_thi,Bpi_est,Bpi_alp,Bpi_pgm,Bpi_gdh
GCF_000143725.fna.gz,bpilosicoli,138,64,5,72,39,71,93,34
GCF_000296575.fna.gz,bpilosicoli,-,,,,,,,69
GCF_000319185.fna.gz,bpilosicoli,145,44,9,51,54,56,123,16
GCF_000325665.fna.gz,bpilosicoli,-,28,53,101,121,98,99,52
GCF_002865865.fna.gz,bpilosicoli,-,,9,,,,64,
GCF_008016535.fna.gz,bpilosicoli,-,,,,,,,
GCF_009755855.fna.gz,bpilosicoli,-,90,3,114,12,110,129,25
GCF_009755865.fna.gz,bpilosicoli,-,90,3,114,12,110,129,25
GCF_009755875.fna.gz,bpilosicoli,-,91,3,115,115,3,86,69
GCF_009755915.fna.gz,bpilosicoli,-,89,55,113,114,109,82,68
GCF_009755925.fna.gz,bpilosicoli,-,88,3,112,113,108,133,22
GCF_009755955.fna.gz,bpilosicoli,134,18,5,35,105,37,49,27
GCF_009755975.fna.gz,bpilosicoli,134,18,5,35,105,37,49,27
GCF_009756005.fna.gz,bpilosicoli,134,18,5,35,105,37,49,27
GCF_009756015.fna.gz,bpilosicoli,134,18,5,35,105,37,49,27
GCF_009756025.fna.gz,bpilosicoli,-,3,4,103,102,107,102,69
GCF_009756045.fna.gz,bpilosicoli,-,87,5,111,116,111,131,12
GCF_009756085.fna.gz,bpilosicoli,-,89,55,113,114,109,82,68
GCF_900445955.fna.gz,bpilosicoli,-,,15,132,,,,
GCF_900445975.fna.gz,bpilosicoli,-,,5,141,32,,23,
