Genome,Scheme,ST,aroE,ddl,gdh,gki,hexB,recP,xpt
GCF_000148565.fna.gz,soralis,new_alleles,63,~19,8,~13,~34,10,17
GCF_000164095.fna.gz,soralis,new_alleles,63,~19,~8,~13,~34,10,17
GCF_000185265.fna.gz,soralis,new_alleles,~5,~41,~29,~31,27,~9,~21
GCF_000253155.fna.gz,soralis,-,-,~41,~28,-,36,~20,~32
GCF_000257455.fna.gz,soralis,-,~6,~27,~19,~26,-,~18,~25
GCF_000257475.fna.gz,soralis,new_alleles,5,~5,5,6,5,~10,5
GCF_000257495.fna.gz,soralis,75,50,41,39,27,27,32,35
GCF_000257845.fna.gz,soralis,-,~50,~44,~9,~39,-,~19,~35
GCF_000287715.fna.gz,soralis,-,~50,~5,~29,~24,~6,~18,-
GCF_000344255.fna.gz,soralis,-,-,~44,-,~4,7,~20,-
GCF_000382805.fna.gz,soralis,-,~43,-,~29,~2,-,~23,~28
GCF_000382825.fna.gz,soralis,new_alleles,~3,3,3,3,3,~25,5
GCF_000442155.fna.gz,soralis,-,-,~44,-,~4,7,~20,-
GCF_000442175.fna.gz,soralis,-,-,~44,-,~4,7,~20,-
GCF_000722675.fna.gz,soralis,-,50,~38,-,~2,-,~10,~22
GCF_000722845.fna.gz,soralis,new_alleles,4,~10,~7,14,~34,13,16
GCF_000959945.fna.gz,soralis,-,-,-,-,~35,-,~19,~22
GCF_000959975.fna.gz,soralis,-,50,~38,-,~2,-,~10,~22
GCF_000960035.fna.gz,soralis,-,50,~38,-,~2,-,~10,~22
GCF_000960105.fna.gz,soralis,-,~65,-,~31,~9,~9,~20,5
GCF_001069675.fna.gz,soralis,new_alleles,4,~38,~17,11,~31,5,~7
GCF_001070335.fna.gz,soralis,new_alleles,39,~7,15,30,7,~20,2
GCF_001071715.fna.gz,soralis,new_alleles,~65,~43,~31,~25,~17,~30,~10
GCF_001071755.fna.gz,soralis,new_alleles,~9,16,5,~13,7,8,10
GCF_001072035.fna.gz,soralis,new_alleles,5,5,~29,2,7,~19,~22
GCF_001074055.fna.gz,soralis,new_alleles,~33,2,2,2,7,8,14
GCF_001074085.fna.gz,soralis,new_alleles,5,2,2,~30,5,5,5
GCF_001075675.fna.gz,soralis,-,~66,~35,~42,~15,-,~18,~4
GCF_001075875.fna.gz,soralis,-,~71,-,-,-,-,-,-
GCF_001411485.fna.gz,soralis,78,53,44,42,39,41,35,38
GCF_001578705.fna.gz,soralis,-,~50,-,-,33,-,-,-
GCF_001578935.fna.gz,soralis,-,-,~41,~9,-,-,-,~32
GCF_001579025.fna.gz,soralis,new_alleles,~4,~7,~17,14,~34,22,~35
GCF_001579095.fna.gz,soralis,-,~17,~17,~20,14,-,~19,~9
GCF_001579175.fna.gz,soralis,-,~4,~10,~6,~13,-,-,~8
GCF_001579525.fna.gz,soralis,new_alleles,~8,~26,~9,~13,~17,~25,~11
GCF_001588645.fna.gz,soralis,-,~4,~38,-,~16,~22,~25,~32
GCF_001588695.fna.gz,soralis,-,-,~26,~35,~24,-,~20,~16
GCF_001588825.fna.gz,soralis,-,-,-,-,~24,-,~18,-
GCF_001639355.fna.gz,soralis,75,50,41,39,27,27,32,35
GCF_001639375.fna.gz,soralis,new_alleles,63,~19,~8,~13,~34,10,17
GCF_001639395.fna.gz,soralis,new_alleles,5,~5,5,6,5,~10,5
GCF_001885595.fna.gz,soralis,-,~50,~43,~31,~25,-,~10,~10
GCF_001983955.fna.gz,soralis,new_alleles,~50,~1,~31,~25,37,~30,~10
GCF_002014885.fna.gz,soralis,new_alleles,63,~19,~8,~13,~34,10,17
GCF_002093515.fna.gz,soralis,-,~50,~44,~28,~21,-,-,~14
GCF_002093545.fna.gz,soralis,-,~38,-,~15,10,-,~18,-
GCF_002093575.fna.gz,soralis,new_alleles,~65,~44,~34,~24,~41,~23,~16
GCF_002096175.fna.gz,soralis,new_alleles,~8,~2,5,~30,5,5,~5
GCF_002096195.fna.gz,soralis,-,~5,~12,~12,~17,-,~13,~2
GCF_002096205.fna.gz,soralis,-,~10,~39,~42,19,5,5,-
GCF_002096215.fna.gz,soralis,-,-,-,-,~24,-,-,~26
GCF_002096255.fna.gz,soralis,new_alleles,~34,~44,~2,~39,~41,~20,~16
GCF_002096275.fna.gz,soralis,-,-,-,-,~24,-,~11,~22
GCF_002096285.fna.gz,soralis,-,~32,44,~12,~24,-,~35,5
GCF_002096295.fna.gz,soralis,-,53,~44,-,~31,-,~35,~16
GCF_002096335.fna.gz,soralis,-,-,-,-,-,-,~3,~35
GCF_002096355.fna.gz,soralis,-,~4,-,-,-,-,~20,-
GCF_002096365.fna.gz,soralis,-,~38,-,-,~6,~17,~5,-
GCF_002096375.fna.gz,soralis,-,~33,-,~19,~7,36,8,10
GCF_002096415.fna.gz,soralis,new_alleles,~48,44,~12,~10,~41,35,~16
GCF_002096435.fna.gz,soralis,-,~5,~12,~12,~17,-,~13,~2
GCF_002096445.fna.gz,soralis,-,~34,10,~9,~13,-,~13,~12
GCF_002096455.fna.gz,soralis,new_alleles,~39,25,17,~16,~37,~19,~2
GCF_002096495.fna.gz,soralis,new_alleles,5,~38,10,25,5,18,24
GCF_002096515.fna.gz,soralis,-,39,~10,~31,~19,~34,~20,-
GCF_002096525.fna.gz,soralis,-,18,~10,~22,~16,~19,~30,-
GCF_002096535.fna.gz,soralis,-,4,-,~29,~25,~31,18,10
GCF_002096575.fna.gz,soralis,-,~8,5,-,2,~31,2,~12
GCF_002096595.fna.gz,soralis,new_alleles,10,~26,~29,~10,8,5,11
GCF_002096605.fna.gz,soralis,-,~5,~12,~12,~17,-,~9,~2
GCF_002096615.fna.gz,soralis,-,3,~36,~38,~34,-,~19,-
GCF_002096655.fna.gz,soralis,-,-,36,-,~6,-,31,~22
GCF_002096675.fna.gz,soralis,-,-,-,3,3,3,~28,-
GCF_002096685.fna.gz,soralis,new_alleles,~10,~44,3,~3,7,~5,~34
GCF_002096695.fna.gz,soralis,-,3,3,~3,~15,37,~25,-
GCF_002356415.fna.gz,soralis,-,~10,~26,-,~24,-,~20,-
GCF_002386345.fna.gz,soralis,new_alleles,5,~39,~5,~6,5,5,5
GCF_002860885.fna.gz,soralis,new_alleles,2,~38,5,5,5,20,5
GCF_002860905.fna.gz,soralis,-,~68,-,~11,~32,-,~11,-
GCF_002871315.fna.gz,soralis,-,~59,~42,~1,-,-,~11,~19
GCF_003942285.fna.gz,soralis,new_alleles,~8,~2,~5,~6,5,5,~9
GCF_003942565.fna.gz,soralis,new_ST,31,5,17,11,27,8,24
GCF_003942585.fna.gz,soralis,-,-,-,~29,~28,~3,~23,-
GCF_003942635.fna.gz,soralis,-,8,-,~12,9,-,~18,~12
GCF_003942675.fna.gz,soralis,new_alleles,~72,22,~9,~15,~36,~20,~22
GCF_003942785.fna.gz,soralis,-,~33,13,~31,-,27,~8,22
GCF_003942805.fna.gz,soralis,new_alleles,~4,~27,~38,~17,27,~25,~9
GCF_003942875.fna.gz,soralis,new_alleles,~3,~17,~17,~31,13,8,~11
GCF_003942985.fna.gz,soralis,new_alleles,17,~41,12,~15,~36,~5,5
GCF_003943385.fna.gz,soralis,-,-,-,-,~17,~21,~31,-
GCF_003943395.fna.gz,soralis,-,~10,~5,~9,~34,-,-,~33
GCF_003943415.fna.gz,soralis,-,-,~16,-,~21,~3,28,~14
GCF_003943805.fna.gz,soralis,new_alleles,~46,~27,~9,2,28,2,24
GCF_003943825.fna.gz,soralis,new_alleles,~27,~31,~4,~10,~4,~30,~7
GCF_003943835.fna.gz,soralis,-,~4,7,~13,17,-,10,14
GCF_003943875.fna.gz,soralis,-,39,-,~9,2,~20,~13,~22
GCF_003944205.fna.gz,soralis,new_alleles,3,~41,~36,~3,~21,28,~22
GCF_003944215.fna.gz,soralis,-,15,~28,-,~9,~21,~19,~22
GCF_003944235.fna.gz,soralis,-,~68,~42,~40,~32,-,~34,~28
GCF_003944395.fna.gz,soralis,new_alleles,2|2,2,~29,2,2,9,~22
GCF_004127215.fna.gz,soralis,-,-,~41,~42,-,-,-,~22
GCF_004127235.fna.gz,soralis,-,~3,32,~34,-,~13,~18,~35
GCF_006175905.fna.gz,soralis,new_alleles,~63,~17,~13,~26,27,~25,~22
GCF_007475365.fna.gz,soralis,-,~50,~16,~29,~3,~37,~19,-
GCF_013488045.fna.gz,soralis,-,~8,14,~9,~16,-,-,16
GCF_013488065.fna.gz,soralis,75,50,41,39,27,27,32,35
GCF_013592015.fna.gz,soralis,-,~40,~39,-,~7,5,5,-
GCF_015548965.fna.gz,soralis,-,-,~3,-,-,-,~23,~32
GCF_015553015.fna.gz,soralis,new_alleles,~50,~44,~42,~39,~14,~20,~20
GCF_015561235.fna.gz,soralis,-,-,-,~31,~26,-,~20,25
GCF_016028175.fna.gz,soralis,new_alleles,~3,3,3,3,3,~25,5
GCF_016028255.fna.gz,soralis,-,~43,-,~29,~2,-,~23,~28
GCF_016127555.fna.gz,soralis,new_alleles,63,~19,~8,~13,~34,10,17
GCF_016127735.fna.gz,soralis,-,~63,-,~29,~16,13,~4,~35
GCF_016127915.fna.gz,soralis,new_alleles,~3,~35,~12,~13,~21,~18,~11
GCF_016549395.fna.gz,soralis,-,50,~17,39,~11,-,~9,-
GCF_016617455.fna.gz,soralis,new_alleles,~47,~34,~5,5,5,~25,~31
GCF_016888845.fna.gz,soralis,-,50,~17,39,~11,-,~9,-
GCF_017154175.fna.gz,soralis,new_alleles,~50,~1,~31,~25,~17,~30,~10
GCF_017154185.fna.gz,soralis,-,~10,-,~31,~15,-,~14,~9
GCF_018195655.fna.gz,soralis,new_alleles,2,~38,5,5,5,20,~5
GCF_018310275.fna.gz,soralis,-,~34,~44,~14,~39,-,~20,~32
GCF_018448725.fna.gz,soralis,new_alleles,5,2,~35,6,5,5,~21
GCF_018448765.fna.gz,soralis,-,~65,-,~2,~17,-,-,-
GCF_018619395.fna.gz,soralis,new_alleles,5,2,2,~30,5,5,5
GCF_018791825.fna.gz,soralis,new_alleles,36,~12,7,~23,~8,5,~8
GCF_018985475.fna.gz,soralis,new_alleles,31,~38,17,2,~14,8,15
GCF_018985485.fna.gz,soralis,-,5,2,-,6,37,~5,~5
GCF_900637025.fna.gz,soralis,new_alleles,63,~19,~8,~13,~34,10,17
GCF_901543815.fna.gz,soralis,-,~4,-,~18,~10,~14,~19,~18
GCF_910575295.fna.gz,soralis,-,2,5,5,~7,~37,18,-
