Genome,Scheme,ST,gpsA,mdh,nrdB,nuoF,ppdK,sucB,sucD,clonal_complex
GCF_000010205.fna.gz,otsutsugamushi,49,24,20,14,25,21,20,7,
GCF_000063545.fna.gz,otsutsugamushi,48,23,19,19,24,20,19,20,
GCF_000964605.fna.gz,otsutsugamushi,20,7,1,6,6,7,5,7,
GCF_000964615.fna.gz,otsutsugamushi,-,21,17,-,-,18,-,18,
GCF_000964855.fna.gz,otsutsugamushi,-,~32,9,23,-,~14,~2,-,
GCF_000965195.fna.gz,otsutsugamushi,-,11,9,10,-,7,7,10,
GCF_001654775.fna.gz,otsutsugamushi,new_alleles,~16,~9,~25,27,5,2,5,
GCF_001654785.fna.gz,otsutsugamushi,45,20,16,17,21,17,4,11,
GCF_001654795.fna.gz,otsutsugamushi,new_alleles,25,1,20,18,~38,4,~21,
GCF_008693345.fna.gz,otsutsugamushi,new_alleles,34,4,7,~9,~18,2,~14,
GCF_900327215.fna.gz,otsutsugamushi,40,15,13,13,16,15,13,13,
GCF_900327225.fna.gz,otsutsugamushi,new_alleles,~16,1,16,~35,~19,2,~5,
GCF_900327235.fna.gz,otsutsugamushi,10,3,3,2,3,3,4,4,
GCF_900327245.fna.gz,otsutsugamushi,46,21,17,14,22,18,17,18,
GCF_900327255.fna.gz,otsutsugamushi,1,1,1,1,1,1,1,1,
GCF_900327265.fna.gz,otsutsugamushi,20,7,1,6,6,7,5,7,
GCF_900327275.fna.gz,otsutsugamushi,45,20,16,17,21,17,4,11,
