Genome,Scheme,ST,abcZ,bglA,cat,dapE,dat,ldh,lhkA,CC,Lineage
GCF_000008285.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_000021185.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_000022925.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_000026705.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_000093125.fna.gz,lmonocytogenes,292,57,6,2,29,5,3,1,CC8,II
GCF_000167135.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_000167155.fna.gz,lmonocytogenes,-,3,9,9,3,-,1,5,,
GCF_000168395.fna.gz,lmonocytogenes,88,12,12,12,1,3,1,4,CC88,I
GCF_000168415.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000168515.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_000168535.fna.gz,lmonocytogenes,222,21,6,15,8,6,2,14,CC90,II
GCF_000168555.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_000168575.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_000168595.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_000168615.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_000168635.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_000168655.fna.gz,lmonocytogenes,11,7,6,10,6,1,2,1,CC11,II
GCF_000168695.fna.gz,lmonocytogenes,85,5,8,5,7,6,38,1,CC7,II
GCF_000168815.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000195395.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000195435.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000196035.fna.gz,lmonocytogenes,35,6,5,6,20,1,4,1,CC9,II
GCF_000197755.fna.gz,lmonocytogenes,66,4,4,4,3,2,28,5,CC3,I
GCF_000209755.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_000210795.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_000210815.fna.gz,lmonocytogenes,122,6,5,6,4,1,62,1,CC9,II
GCF_000212455.fna.gz,lmonocytogenes,290,1,1,11,11,2,11,5,CC2,I
GCF_000218305.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_000250715.fna.gz,lmonocytogenes,569,86,75,93,101,61,232,77,ST569,IV
GCF_000258905.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_000306905.fna.gz,lmonocytogenes,617,2,9,12,14,3,247,36,CC344,I
GCF_000306985.fna.gz,lmonocytogenes,91,7,6,15,6,5,2,1,CC14,II
GCF_000307005.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_000307025.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000307045.fna.gz,lmonocytogenes,12,5,8,5,7,6,22,1,CC7,II
GCF_000307065.fna.gz,lmonocytogenes,71,18,11,21,24,17,35,13,CC131,III
GCF_000307085.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_000307615.fna.gz,lmonocytogenes,73,3,1,1,1,3,11,3,CC1,I
GCF_000318055.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_000397145.fna.gz,lmonocytogenes,101,7,15,15,8,6,14,9,CC101,II
GCF_000438585.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_000438605.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_000438625.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000438645.fna.gz,lmonocytogenes,394,5,5,17,21,39,2,6,CC415,II
GCF_000438665.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_000438685.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_000438705.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000438725.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000438745.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000465735.fna.gz,lmonocytogenes,572,52,1,4,14,4,1,3,CC373,I
GCF_000465755.fna.gz,lmonocytogenes,240,2,1,1,17,2,1,3,CC240,I
GCF_000465775.fna.gz,lmonocytogenes,240,2,1,1,17,2,1,3,CC240,I
GCF_000465795.fna.gz,lmonocytogenes,240,2,1,1,17,2,1,3,CC240,I
GCF_000465815.fna.gz,lmonocytogenes,554,2,1,9,1,3,5,5,CC554,I
GCF_000513595.fna.gz,lmonocytogenes,292,57,6,2,29,5,3,1,CC8,II
GCF_000513615.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_000513635.fna.gz,lmonocytogenes,292,57,6,2,29,5,3,1,CC8,II
GCF_000513655.fna.gz,lmonocytogenes,292,57,6,2,29,5,3,1,CC8,II
GCF_000513675.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_000513695.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_000567965.fna.gz,lmonocytogenes,292,57,6,2,29,5,3,1,CC8,II
GCF_000568475.fna.gz,lmonocytogenes,12,5,8,5,7,6,22,1,CC7,II
GCF_000568935.fna.gz,lmonocytogenes,79,3,1,1,1,3,12,3,CC1,I
GCF_000577745.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_000582845.fna.gz,lmonocytogenes,12,5,8,5,7,6,22,1,CC7,II
GCF_000585755.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_000585775.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000585795.fna.gz,lmonocytogenes,101,7,15,15,8,6,14,9,CC101,II
GCF_000585815.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000585835.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_000585855.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_000600015.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_000613085.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_000613165.fna.gz,lmonocytogenes,398,7,13,19,6,1,7,1,CC19,II
GCF_000619785.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000619865.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000620885.fna.gz,lmonocytogenes,20,17,13,3,6,5,7,1,CC20,II
GCF_000620905.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_000626575.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_000681515.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000689335.fna.gz,lmonocytogenes,403,7,7,10,4,5,24,1,CC403,II
GCF_000689475.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_000708245.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000712385.fna.gz,lmonocytogenes,292,57,6,2,29,5,3,1,CC8,II
GCF_000712425.fna.gz,lmonocytogenes,120,5,6,2,29,5,3,1,CC8,II
GCF_000725925.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000725945.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_000725955.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000725985.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000726005.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000726025.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_000726045.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726065.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726075.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726105.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726125.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726145.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726155.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000726175.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726185.fna.gz,lmonocytogenes,364,7,10,8,7,1,26,1,ST364,II
GCF_000726225.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726235.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726265.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726275.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726305.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000726325.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726335.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726355.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726385.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726395.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000726425.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000726445.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726465.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726475.fna.gz,lmonocytogenes,296,12,12,12,61,3,1,4,CC88,I
GCF_000726505.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726525.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726545.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726555.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726585.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726605.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726625.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726635.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726655.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726685.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726695.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726705.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726725.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000726765.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000726775.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726805.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726815.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000726845.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726865.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726885.fna.gz,lmonocytogenes,296,12,12,12,61,3,1,4,CC88,I
GCF_000726905.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726915.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000726925.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000726965.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000726985.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000726995.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727015.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000727045.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727065.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727085.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727095.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000727125.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
