Genome,Scheme,ST,clpC,glpF,ftsA,Natrans,glpT,sigF,rpoB
GCF_000153605.fna.gz,plarvae,18,2,5,4,2,1,1,4
GCF_000187665.fna.gz,plarvae,15,2,3,4,2,1,1,4
GCF_000511115.fna.gz,plarvae,18,2,5,4,2,1,1,4
GCF_000511405.fna.gz,plarvae,11,4,1,2,4,1,3,3
GCF_000988145.fna.gz,plarvae,15,2,3,4,2,1,1,4
GCF_002003265.fna.gz,plarvae,18,2,5,4,2,1,1,4
GCF_002007765.fna.gz,plarvae,8,1,1,1,1,2,2,2
GCF_002043025.fna.gz,plarvae,8,1,1,1,1,2,2,2
GCF_002082155.fna.gz,plarvae,-,1,,1,,4,2,2
GCF_002951875.fna.gz,plarvae,18,2,5,4,2,1,1,4
GCF_002951895.fna.gz,plarvae,11,4,1,2,4,1,3,3
GCF_002951915.fna.gz,plarvae,8,1,1,1,1,2,2,2
GCF_002951935.fna.gz,plarvae,8,1,1,1,1,2,2,2
GCF_011220525.fna.gz,plarvae,25,2,1,2,2,1,2,3
GCF_015912845.fna.gz,plarvae,8,1,1,1,1,2,2,2
