Genome,Scheme,ST,leuS,fusA,rplB,gyrB,dnaA,pyrG,rpoB
GCF_002797275.fna.gz,ecloacae,127,44,20,24,74,46,45,6
GCF_004024525.fna.gz,ecloacae,41,30,25,21,49,37,49,20
GCF_004127335.fna.gz,ecloacae,932,337,51,36,65,1,275,1
GCF_001997105.fna.gz,ecloacae,1,1,1,1,1,1,1,1
GCF_003289715.fna.gz,ecloacae,1066,366,108,14,328,151,297,197
GCF_003471865.fna.gz,ecloacae,1521,484,92,22,412,393,154,264
GCF_001052595.fna.gz,ecloacae,-,,,,,,,
GCF_000770155.fna.gz,ecloacae,432,168,44,1,158,141,145,1
GCF_004011395.fna.gz,ecloacae,513,168,1,22,190,171,1,113
GCF_004011415.fna.gz,ecloacae,113,69,22,4,68,4,37,24
GCF_003057395.fna.gz,ecloacae,182,44,20,24,19,49,90,32
GCF_002278205.fna.gz,ecloacae,-,450,240,171,170,208,199,109
GCF_003719615.fna.gz,ecloacae,813,44,20,24,20,74,99,32
GCF_004024425.fna.gz,ecloacae,1028,361,149,106,318,297,293,156
GCF_001077015.fna.gz,ecloacae,669,294,159,106,264,217,210,156
GCF_002303275.fna.gz,ecloacae,922,168,107,77,61,169,36,1
GCF_002751835.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_002885885.fna.gz,ecloacae,156,86,53,22,65,73,1,1
GCF_002919705.fna.gz,ecloacae,53,15,17,11,39,40,46,10
GCF_003938165.fna.gz,ecloacae,1522,485,92,22,349,150,105,99
GCF_004136795.fna.gz,ecloacae,557,95,20,12,9,186,45,32
GCF_002278235.fna.gz,ecloacae,412,158,97,1,151,134,36,90
GCF_001190095.fna.gz,ecloacae,721,280,92,97,195,150,154,64
GCF_000783675.fna.gz,ecloacae,252,104,15,11,102,22,101,10
GCF_004011435.fna.gz,ecloacae,113,69,22,4,68,4,37,24
GCF_004024455.fna.gz,ecloacae,984,94,57,12,49,65,49,47
GCF_003175375.fna.gz,ecloacae,-,6,4,30,160,,39,6
GCF_002411645.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_001053955.fna.gz,ecloacae,658,291,27,104,260,244,204,27
GCF_004103945.fna.gz,ecloacae,948,6,4,4,15,116,11,25
GCF_004127355.fna.gz,ecloacae,932,337,51,36,65,1,275,1
GCF_003289825.fna.gz,ecloacae,1065,367,106,138,330,305,298,18
GCF_003965015.fna.gz,ecloacae,519,1,107,36,158,1,168,1
GCF_004127365.fna.gz,ecloacae,995,346,44,22,158,188,36,1
GCF_002901365.fna.gz,ecloacae,927,6,4,4,297,9,11,39
GCF_002086975.fna.gz,ecloacae,1513,217,92,22,109,150,105,260
GCF_002278245.fna.gz,ecloacae,-,,98,68,152,153,354,217
GCF_002278375.fna.gz,ecloacae,-,455,242,,152,366,354,158
GCF_001299075.fna.gz,ecloacae,1,1,1,1,1,1,1,1
GCF_000818625.fna.gz,ecloacae,673,250,51,22,156,1,153,1
GCF_004024005.fna.gz,ecloacae,131,67,42,12,67,72,71,26
GCF_004135955.fna.gz,ecloacae,232,72,25,12,49,88,49,20
GCF_003175745.fna.gz,ecloacae,90,6,37,4,4,58,42,25
GCF_001055075.fna.gz,ecloacae,666,237,106,12,309,144,150,129
GCF_002411725.fna.gz,ecloacae,1511,145,92,22,195,296,205,64
GCF_002785915.fna.gz,ecloacae,627,168,44,1,213,1,193,1
GCF_003339705.fna.gz,ecloacae,1520,168,44,1,61,161,153,263
GCF_003965415.fna.gz,ecloacae,1,1,1,1,1,1,1,1
GCF_004011355.fna.gz,ecloacae,78,9,9,6,6,8,9,8
GCF_004136805.fna.gz,ecloacae,996,44,21,12,19,186,45,6
GCF_002278265.fna.gz,ecloacae,820,315,170,36,158,258,256,169
GCF_001317435.fna.gz,ecloacae,436,177,105,22,158,1,149,1
GCF_002197345.fna.gz,ecloacae,738,287,98,68,170,241,237,109
GCF_002208095.fna.gz,ecloacae,53,15,17,11,39,40,46,10
GCF_004024145.fna.gz,ecloacae,1523,486,260,36,65,78,36,1
GCF_004136695.fna.gz,ecloacae,557,95,20,12,9,186,45,32
GCF_000953895.fna.gz,ecloacae,413,159,98,68,152,135,139,91
GCF_002918735.fna.gz,ecloacae,93,61,4,4,14,9,37,9
GCF_002918755.fna.gz,ecloacae,515,58,38,12,35,56,169,20
GCF_003176055.fna.gz,ecloacae,93,61,4,4,14,9,37,9
GCF_003225955.fna.gz,ecloacae,54,37,3,15,54,41,3,17
GCF_001055365.fna.gz,ecloacae,373,146,48,22,61,131,1,1
GCF_002528975.fna.gz,ecloacae,1510,214,1,22,61,1,1,1
GCF_002858545.fna.gz,ecloacae,93,61,4,4,14,9,37,9
GCF_001631195.fna.gz,ecloacae,765,218,92,22,169,156,105,99
GCF_003384785.fna.gz,ecloacae,-,384,68,,,318,,177
GCF_003670085.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_003965595.fna.gz,ecloacae,519,1,107,36,158,1,168,1
GCF_004136725.fna.gz,ecloacae,994,44,20,12,20,46,45,6
GCF_002278295.fna.gz,ecloacae,1516,483,1,181,65,1,1,113
GCF_002206605.fna.gz,ecloacae,191,35,24,16,3,3,3,51
GCF_003010695.fna.gz,ecloacae,282,117,13,44,40,101,110,65
GCF_003031445.fna.gz,ecloacae,78,9,9,6,6,8,9,8
GCF_000958205.fna.gz,ecloacae,608,186,48,77,61,211,198,1
GCF_003176125.fna.gz,ecloacae,175,6,4,30,4,51,68,36
GCF_003176615.fna.gz,ecloacae,93,61,4,4,14,9,37,9
GCF_004024265.fna.gz,ecloacae,595,72,55,12,92,80,169,26
GCF_004136745.fna.gz,ecloacae,994,44,20,12,20,46,45,6
GCF_001056585.fna.gz,ecloacae,666,237,106,12,309,144,150,129
GCF_002529035.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_002885835.fna.gz,ecloacae,-,,,6,99,,97,55
GCF_003985225.fna.gz,ecloacae,1,1,1,1,1,1,1,1
GCF_004136775.fna.gz,ecloacae,544,44,21,4,9,10,45,33
GCF_001641585.fna.gz,ecloacae,-,,113,6,,308,358,55
GCF_003401145.fna.gz,ecloacae,-,,202,,,154,302,101
GCF_004136675.fna.gz,ecloacae,993,129,21,12,19,286,45,6
GCF_002266405.fna.gz,ecloacae,-,455,242,,152,366,354,158
GCF_002278305.fna.gz,ecloacae,1392,457,134,68,394,153,355,217
GCF_002918795.fna.gz,ecloacae,97,9,9,25,62,59,62,6
GCF_003176535.fna.gz,ecloacae,-,6,37,4,4,,42,25
GCF_003289275.fna.gz,ecloacae,1067,368,68,11,298,94,299,198
GCF_001006645.fna.gz,ecloacae,674,251,92,22,109,150,211,157
GCF_004126455.fna.gz,ecloacae,928,335,178,106,299,280,274,156
GCF_004136685.fna.gz,ecloacae,544,44,21,4,9,10,45,33
GCF_004024335.fna.gz,ecloacae,-,,98,68,,208,402,109
GCF_001057255.fna.gz,ecloacae,373,146,48,22,61,131,1,1
GCF_002740835.fna.gz,ecloacae,254,6,4,4,90,58,39,59
GCF_002919665.fna.gz,ecloacae,141,76,4,4,4,62,78,44
GCF_003986865.fna.gz,ecloacae,922,168,107,77,61,169,36,1
GCF_004136785.fna.gz,ecloacae,544,44,21,4,9,10,45,33
GCF_003427235.fna.gz,ecloacae,997,144,25,12,127,65,280,82
GCF_001662855.fna.gz,ecloacae,-,,113,6,,308,358,55
GCF_003031755.fna.gz,ecloacae,231,96,20,29,20,46,45,54
GCF_003046225.fna.gz,ecloacae,1615,380,34,106,459,292,289,156
GCF_002278355.fna.gz,ecloacae,1519,86,259,22,158,1,367,252
GCF_002919685.fna.gz,ecloacae,97,9,9,25,62,59,62,6
GCF_002278155.fna.gz,ecloacae,1516,483,1,181,65,1,1,113
GCF_004801515.fna.gz,ecloacae,1421,467,44,175,65,192,362,90
GCF_012062485.fna.gz,ecloacae,-,1,,36,188,1,172,1
GCF_001011715.fna.gz,ecloacae,690,264,44,22,236,192,222,1
GCF_004136855.fna.gz,ecloacae,544,44,21,4,9,10,45,33
GCF_004151605.fna.gz,ecloacae,25,52,14,18,43,24,27,21
GCF_004801595.fna.gz,ecloacae,1421,467,44,175,65,192,362,90
GCF_013376835.fna.gz,ecloacae,-,,,,,,,
GCF_001057315.fna.gz,ecloacae,373,146,48,22,61,131,1,1
GCF_004137705.fna.gz,ecloacae,418,44,35,4,154,53,45,6
GCF_004193715.fna.gz,ecloacae,-,,,,,,,
GCF_006382615.fna.gz,ecloacae,84,1,1,22,61,60,36,1
GCF_014861545.fna.gz,ecloacae,-,,92,22,109,150,205,99
GCF_002919775.fna.gz,ecloacae,191,35,24,16,3,3,3,51
GCF_003056855.fna.gz,ecloacae,1421,467,44,175,65,192,362,90
GCF_003175235.fna.gz,ecloacae,50,6,4,4,4,4,37,25
GCF_001708345.fna.gz,ecloacae,432,168,44,1,158,141,145,1
GCF_002278165.fna.gz,ecloacae,1517,1,107,1,158,1,1,262
GCF_002919725.fna.gz,ecloacae,53,15,17,11,39,40,46,10
GCF_002919765.fna.gz,ecloacae,141,76,4,4,4,62,78,44
GCF_002982195.fna.gz,ecloacae,513,168,1,22,190,171,1,113
GCF_008502045.fna.gz,ecloacae,976,1,44,1,61,1,153,1
GCF_014895615.fna.gz,ecloacae,1079,4,4,50,4,11,39,6
GCF_001052295.fna.gz,ecloacae,658,291,27,104,260,244,204,27
GCF_004146255.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_004355165.fna.gz,ecloacae,261,109,68,45,108,94,103,61
GCF_008180055.fna.gz,ecloacae,1385,86,243,22,65,1,153,1
GCF_014893445.fna.gz,ecloacae,-,375,9,,73,59,242,202
GCF_001057675.fna.gz,ecloacae,669,294,159,106,264,217,210,156
GCF_004801535.fna.gz,ecloacae,1421,467,44,175,65,192,362,90
GCF_013375935.fna.gz,ecloacae,-,,,,,,,
GCF_003071645.fna.gz,ecloacae,-,26,2,2,94,15,55,77
GCF_008502055.fna.gz,ecloacae,976,1,44,1,61,1,153,1
GCF_008502125.fna.gz,ecloacae,976,1,44,1,61,1,153,1
GCF_009660455.fna.gz,ecloacae,771,217,92,22,271,156,154,99
GCF_014895635.fna.gz,ecloacae,-,4,4,,4,11,39,6
GCF_002278195.fna.gz,ecloacae,820,315,170,36,158,258,256,169
GCF_002919745.fna.gz,ecloacae,191,35,24,16,3,3,3,51
GCF_002925805.fna.gz,ecloacae,182,44,20,24,19,49,90,32
GCF_009907505.fna.gz,ecloacae,187,1,51,22,85,60,1,43
GCF_012974405.fna.gz,ecloacae,382,9,40,6,73,59,87,6
GCF_013168925.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_014102975.fna.gz,ecloacae,1551,508,92,22,436,156,105,64
GCF_014169635.fna.gz,ecloacae,28,54,14,10,26,27,26,16
GCF_014893415.fna.gz,ecloacae,-,347,4,,4,4,39,25
GCF_014893435.fna.gz,ecloacae,-,6,37,,4,58,42,25
GCF_016427975.fna.gz,ecloacae,873,103,63,6,101,85,96,53
