Genome,Scheme,ST,galK,gbpB,argE,purR
GCF_000270185.fna.gz,mplutonius,-,1,1,1,
GCF_000283975.fna.gz,mplutonius,-,4,3,4,
GCF_000747585.fna.gz,mplutonius,3,3,2,2,4
GCF_001047395.fna.gz,mplutonius,3,3,2,2,4
GCF_001047405.fna.gz,mplutonius,7,3,5,2,4
GCF_001047435.fna.gz,mplutonius,3,3,2,2,4
GCF_001047445.fna.gz,mplutonius,13,1,1,1,4
GCF_001047455.fna.gz,mplutonius,7,3,5,2,4
GCF_001047465.fna.gz,mplutonius,3,3,2,2,4
GCF_001047515.fna.gz,mplutonius,20,1,8,1,4
GCF_001047525.fna.gz,mplutonius,7,3,5,2,4
GCF_001047545.fna.gz,mplutonius,7,3,5,2,4
GCF_001047555.fna.gz,mplutonius,7,3,5,2,4
GCF_001047595.fna.gz,mplutonius,32,9,2,1,4
GCF_003966875.fna.gz,mplutonius,12,4,3,4,5
GCF_004001205.fna.gz,mplutonius,26,1,5,1,4
GCF_004001225.fna.gz,mplutonius,3,3,2,2,4
GCF_009731445.fna.gz,mplutonius,3,3,2,2,4
GCF_014202715.fna.gz,mplutonius,1,1,1,1,1
