Genome,Scheme,ST,Ribose_ABC,SH_1200,cfxE,leuB,hemH,SH1431,arcC
GCF_000759125.fna.gz,shaemolyticus,-,13,13,6,18,,,
GCF_000763705.fna.gz,shaemolyticus,23,4,4,4,7,8,8,1
GCF_001227045.fna.gz,shaemolyticus,1,4,1,1,1,1,1,2
GCF_001230145.fna.gz,shaemolyticus,30,4,5,1,1,1,1,2
GCF_001230305.fna.gz,shaemolyticus,1,4,1,1,1,1,1,2
GCF_001225985.fna.gz,shaemolyticus,59,4,5,1,12,1,2,2
GCF_001224545.fna.gz,shaemolyticus,1,4,1,1,1,1,1,2
GCF_001233505.fna.gz,shaemolyticus,3,4,1,1,1,1,1,1
GCF_001234205.fna.gz,shaemolyticus,29,4,1,1,1,1,2,1
GCF_001227745.fna.gz,shaemolyticus,4,2,1,2,1,1,2,1
GCF_001071875.fna.gz,shaemolyticus,3,4,1,1,1,1,1,1
GCF_001231145.fna.gz,shaemolyticus,9,4,5,1,1,1,2,2
GCF_001232065.fna.gz,shaemolyticus,8,4,5,1,1,1,2,1
GCF_001232285.fna.gz,shaemolyticus,9,4,5,1,1,1,2,2
GCF_001234405.fna.gz,shaemolyticus,3,4,1,1,1,1,1,1
GCF_001235105.fna.gz,shaemolyticus,2,1,1,1,1,1,1,1
GCF_001236425.fna.gz,shaemolyticus,74,4,5,1,1,1,2,3
GCF_001229105.fna.gz,shaemolyticus,25,4,1,1,1,1,5,2
GCF_001226105.fna.gz,shaemolyticus,29,4,1,1,1,1,2,1
GCF_000763725.fna.gz,shaemolyticus,23,4,4,4,7,8,8,1
GCF_001224745.fna.gz,shaemolyticus,46,1,5,1,13,6,5,3
GCF_001225665.fna.gz,shaemolyticus,1,4,1,1,1,1,1,2
GCF_001233565.fna.gz,shaemolyticus,-,3,4,3,4,4,3,2
GCF_001235805.fna.gz,shaemolyticus,4,2,1,2,1,1,2,1
GCF_001072095.fna.gz,shaemolyticus,3,4,1,1,1,1,1,1
GCF_001228105.fna.gz,shaemolyticus,29,4,1,1,1,1,2,1
GCF_001228465.fna.gz,shaemolyticus,4,2,1,2,1,1,2,1
GCF_001227205.fna.gz,shaemolyticus,8,4,5,1,1,1,2,1
GCF_001232605.fna.gz,shaemolyticus,4,2,1,2,1,1,2,1
GCF_001233365.fna.gz,shaemolyticus,4,2,1,2,1,1,2,1
GCF_001231265.fna.gz,shaemolyticus,3,4,1,1,1,1,1,1
GCF_001231025.fna.gz,shaemolyticus,1,4,1,1,1,1,1,2
GCF_001234445.fna.gz,shaemolyticus,29,4,1,1,1,1,2,1
GCF_001235325.fna.gz,shaemolyticus,1,4,1,1,1,1,1,2
GCF_001229125.fna.gz,shaemolyticus,29,4,1,1,1,1,2,1
GCF_001226285.fna.gz,shaemolyticus,2,1,1,1,1,1,1,1
GCF_000764065.fna.gz,shaemolyticus,1,4,1,1,1,1,1,2
GCF_001225225.fna.gz,shaemolyticus,4,2,1,2,1,1,2,1
GCF_001225905.fna.gz,shaemolyticus,-,8,15,10,16,9,,14
GCF_001233845.fna.gz,shaemolyticus,4,2,1,2,1,1,2,1
GCF_001235945.fna.gz,shaemolyticus,8,4,5,1,1,1,2,1
GCF_001227225.fna.gz,shaemolyticus,4,2,1,2,1,1,2,1
GCF_001228185.fna.gz,shaemolyticus,3,4,1,1,1,1,1,1
GCF_001228845.fna.gz,shaemolyticus,-,8,13,6,18,11,,13
GCF_001223605.fna.gz,shaemolyticus,1,4,1,1,1,1,1,2
GCF_001230445.fna.gz,shaemolyticus,4,2,1,2,1,1,2,1
GCF_001231125.fna.gz,shaemolyticus,-,4,1,1,1,1,,1
