Genome,Scheme,ST,sucB,nuoF,sucD,ppdK,gpsA,mdh,nrdB
GCF_000010205.fna.gz,otsutsugamushi,49,20,25,7,21,24,20,14
GCF_000063545.fna.gz,otsutsugamushi,48,19,24,20,20,23,19,19
GCF_000964605.fna.gz,otsutsugamushi,20,5,6,7,7,7,1,6
GCF_000964615.fna.gz,otsutsugamushi,-,,,18,18,21,17,
GCF_000964855.fna.gz,otsutsugamushi,-,,,,,,9,23
GCF_000965195.fna.gz,otsutsugamushi,-,7,,10,7,11,9,10
GCF_001654775.fna.gz,otsutsugamushi,-,2,27,5,5,,,
GCF_001654785.fna.gz,otsutsugamushi,45,4,21,11,17,20,16,17
GCF_001654795.fna.gz,otsutsugamushi,-,4,18,,,25,1,20
GCF_008693345.fna.gz,otsutsugamushi,-,2,,,,34,4,7
GCF_900327215.fna.gz,otsutsugamushi,40,13,16,13,15,15,13,13
GCF_900327225.fna.gz,otsutsugamushi,-,2,,,,,1,16
GCF_900327235.fna.gz,otsutsugamushi,10,4,3,4,3,3,3,2
GCF_900327245.fna.gz,otsutsugamushi,46,17,22,18,18,21,17,14
GCF_900327255.fna.gz,otsutsugamushi,1,1,1,1,1,1,1,1
GCF_900327265.fna.gz,otsutsugamushi,20,5,6,7,7,7,1,6
GCF_900327275.fna.gz,otsutsugamushi,45,4,21,11,17,20,16,17
