Genome,Scheme,ST,ddl,gki,glnA,mutS,mutS2,pheS,proS,pyrE,thrS,tpi,clonal_complex
GCF_000146405.fna.gz,sbovisequinus_complex_sbsec,14,7,6,6,7,8,7,6,12,10,6,
GCF_000187265.fna.gz,sbovisequinus_complex_sbsec,29,14,14,10,14,16,15,16,19,3,11,
GCF_000421425.fna.gz,sbovisequinus_complex_sbsec,33,18,18,10,16,18,17,18,15,20,9,
GCF_000424045.fna.gz,sbovisequinus_complex_sbsec,19,11,11,10,12,12,11,10,15,15,9,
GCF_000702105.fna.gz,sbovisequinus_complex_sbsec,31,16,16,10,15,17,16,17,21,19,12,
GCF_000731085.fna.gz,sbovisequinus_complex_sbsec,61,26,25,10,26,31,26,25,34,30,9,
GCF_000747195.fna.gz,sbovisequinus_complex_sbsec,58,23,22,10,23,28,23,22,31,27,9,
GCF_000747205.fna.gz,sbovisequinus_complex_sbsec,59,24,23,20,24,29,24,23,32,28,9,
GCF_000964315.fna.gz,sbovisequinus_complex_sbsec,184,44,39,10,53,53,39,48,67,37,9,
GCF_001481485.fna.gz,sbovisequinus_complex_sbsec,181,12,38,13,3,14,4,47,26,11,10,
GCF_002073515.fna.gz,sbovisequinus_complex_sbsec,-,-,-,-,-,-,-,-,-,~23,-,
GCF_004525775.fna.gz,sbovisequinus_complex_sbsec,new_alleles,~52,~22,~10,~71,~56,~27,~58,~70,~40,9,
GCF_006538945.fna.gz,sbovisequinus_complex_sbsec,new_alleles,~52,46,10,~56,~28,~41,~52,~71,~15,~9,
GCF_009758075.fna.gz,sbovisequinus_complex_sbsec,new_alleles,~26,~45,10,~60,~31,11,~25,~70,~15,9,
GCF_009758095.fna.gz,sbovisequinus_complex_sbsec,new_alleles,~44,~43,10,~57,~73,26,~58,~74,~30,~9,
GCF_014041875.fna.gz,sbovisequinus_complex_sbsec,new_alleles,16,~25,10,~53,~61,43,~17,67,40,9,
GCF_016906125.fna.gz,sbovisequinus_complex_sbsec,new_alleles,~60,~44,20,~3,~66,~49,~39,~79,~52,~31,
GCF_900099885.fna.gz,sbovisequinus_complex_sbsec,192,53,43,10,61,63,11,58,77,45,9,
GCF_900100035.fna.gz,sbovisequinus_complex_sbsec,186,52,40,10,57,61,45,56,75,15,9,
GCF_900100215.fna.gz,sbovisequinus_complex_sbsec,193,51,41,10,59,59,43,54,73,42,28,
GCF_900101445.fna.gz,sbovisequinus_complex_sbsec,194,64,44,30,63,65,48,60,79,46,30,
GCF_900101715.fna.gz,sbovisequinus_complex_sbsec,187,62,23,35,70,73,55,67,84,51,31,
GCF_900102715.fna.gz,sbovisequinus_complex_sbsec,195,49,42,10,57,58,11,52,72,15,26,
GCF_900103355.fna.gz,sbovisequinus_complex_sbsec,196,63,49,10,71,56,43,68,85,41,9,
GCF_900104225.fna.gz,sbovisequinus_complex_sbsec,188,65,55,36,72,74,56,69,86,54,35,
GCF_900106895.fna.gz,sbovisequinus_complex_sbsec,189,60,53,20,24,71,53,65,80,51,33,
GCF_900109105.fna.gz,sbovisequinus_complex_sbsec,190,45,45,29,54,55,40,50,70,38,25,
GCF_900109395.fna.gz,sbovisequinus_complex_sbsec,197,48,47,10,56,57,41,17,71,40,26,
GCF_900109415.fna.gz,sbovisequinus_complex_sbsec,198,11,46,10,60,60,44,55,74,43,29,
GCF_900110365.fna.gz,sbovisequinus_complex_sbsec,192,53,43,10,61,63,11,58,77,45,9,
GCF_900110845.fna.gz,sbovisequinus_complex_sbsec,191,59,52,33,24,70,3,65,82,46,31,
GCF_900110935.fna.gz,sbovisequinus_complex_sbsec,193,51,41,10,59,59,43,54,73,42,28,
GCF_900112385.fna.gz,sbovisequinus_complex_sbsec,199,61,54,34,69,72,54,66,83,52,34,
GCF_900113235.fna.gz,sbovisequinus_complex_sbsec,200,50,48,10,58,56,42,53,15,41,27,
GCF_900114525.fna.gz,sbovisequinus_complex_sbsec,59,24,23,20,24,29,24,23,32,28,9,
GCF_900115895.fna.gz,sbovisequinus_complex_sbsec,201,47,49,10,55,56,11,51,70,39,9,
GCF_900115995.fna.gz,sbovisequinus_complex_sbsec,202,55,23,31,64,66,49,61,80,47,31,
GCF_900199575.fna.gz,sbovisequinus_complex_sbsec,new_alleles,44,~46,10,~23,~57,~27,~58,~72,~14,9,
GCF_900321175.fna.gz,sbovisequinus_complex_sbsec,-,-,~22,10,-,-,27,~58,-,40,9,
GCF_900459295.fna.gz,sbovisequinus_complex_sbsec,29,14,14,10,14,16,15,16,19,3,11,
GCF_900459945.fna.gz,sbovisequinus_complex_sbsec,new_alleles,~63,14,~10,~14,~80,~27,~16,~19,3,~11,
GCF_900636465.fna.gz,sbovisequinus_complex_sbsec,new_alleles,27,26,10,~23,~53,27,26,35,15,9,
GCF_900636565.fna.gz,sbovisequinus_complex_sbsec,new_alleles,~14,~14,10,~14,~16,15,~16,~70,~3,~31,
GCF_901543475.fna.gz,sbovisequinus_complex_sbsec,new_alleles,27,26,10,~23,~53,27,26,35,15,9,
GCF_902373735.fna.gz,sbovisequinus_complex_sbsec,1,1,1,1,1,1,1,1,1,1,1,
GCF_902374225.fna.gz,sbovisequinus_complex_sbsec,29,14,14,10,14,16,15,16,19,3,11,
