Genome,Scheme,ST,RIRDC_adk,RIRDC_est,RIRDC_pmi,RIRDC_zwf,RIRDC_mdh,RIRDC_gdh,RIRDC_pgi,clonal_complex
GCF_000006825.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_000234745.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_000255915.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_000259545.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_000296345.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_000298655.fna.gz,pmultocida#1,60,4,24,25,25,11,2,21,ST158
GCF_000298675.fna.gz,pmultocida#1,8,4,5,2,5,5,3,5,ST8
GCF_000409915.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_000412015.fna.gz,pmultocida#1,80,7,11,40,10,4,7,8,ST13
GCF_000412035.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_000412075.fna.gz,pmultocida#1,349,22,13,38,29,8,7,31,
GCF_000412105.fna.gz,pmultocida#1,339,16,7,5,6,4,5,7,
GCF_000412125.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_000413135.fna.gz,pmultocida#1,80,7,11,40,10,4,7,8,ST13
GCF_000469095.fna.gz,pmultocida#1,-,23,~37,21,17,-,2,17,
GCF_000478235.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_000512395.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_000731735.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_000731745.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_000754275.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_000973565.fna.gz,pmultocida#1,31,6,19,12,18,5,13,17,
GCF_001027665.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001027685.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001027695.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001027735.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001027755.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001027805.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001027815.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001027825.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001028205.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001028225.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001028245.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001029495.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001510775.fna.gz,pmultocida#1,128,3,4,3,38,4,2,30,ST128
GCF_001578435.fna.gz,pmultocida#1,201,21,33,26,2,17,20,35,ST129
GCF_001661585.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_001662525.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_001663095.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001670425.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_001670435.fna.gz,pmultocida#1,60,4,24,25,25,11,2,21,ST158
GCF_001670445.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_001670455.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_001670525.fna.gz,pmultocida#1,53,15,26,2,22,13,2,23,
GCF_001670535.fna.gz,pmultocida#1,159,25,4,3,44,4,2,4,
GCF_001670545.fna.gz,pmultocida#1,156,21,34,28,22,22,8,30,ST156
GCF_001670555.fna.gz,pmultocida#1,27,22,13,8,30,8,3,31,ST74
GCF_001670775.fna.gz,pmultocida#1,8,4,5,2,5,5,3,5,ST8
GCF_001721885.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001857595.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001874105.fna.gz,pmultocida#1,321,23,44,39,36,15,53,43,ST203
GCF_001874445.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_001929465.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929525.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929565.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929595.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929655.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929705.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929765.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929785.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929855.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929905.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001929985.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930065.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930115.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930285.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930305.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930385.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930405.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930445.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930465.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930525.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930605.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930705.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930765.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930875.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930895.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930925.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001930965.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001931115.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001931145.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001931155.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001931185.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001931225.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001931235.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001931265.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001931455.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_001956795.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002023805.fna.gz,pmultocida#1,298,35,11,63,67,40,43,75,
GCF_002023825.fna.gz,pmultocida#1,298,35,11,63,67,40,43,75,
GCF_002023835.fna.gz,pmultocida#1,204,2,11,5,6,4,5,7,ST9
GCF_002023845.fna.gz,pmultocida#1,204,2,11,5,6,4,5,7,ST9
GCF_002023885.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002023905.fna.gz,pmultocida#1,204,2,11,5,6,4,5,7,ST9
GCF_002023925.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_002023935.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_002023945.fna.gz,pmultocida#1,204,2,11,5,6,4,5,7,ST9
GCF_002023985.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002024005.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002024015.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002024045.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002024065.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002024085.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002059225.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002073255.fna.gz,pmultocida#1,8,4,5,2,5,5,3,5,ST8
GCF_002073295.fna.gz,pmultocida#1,60,4,24,25,25,11,2,21,ST158
GCF_002083205.fna.gz,pmultocida#1,242,1,21,33,1,1,6,11,
GCF_002083215.fna.gz,pmultocida#1,156,21,34,28,22,22,8,30,ST156
GCF_002083265.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_002393385.fna.gz,pmultocida#1,25,1,3,23,1,1,1,3,
GCF_002591295.fna.gz,pmultocida#1,25,1,3,23,1,1,1,3,
GCF_002750755.fna.gz,pmultocida#1,new_alleles,22,13,8,~29,8,3,31,
GCF_002750815.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_002750835.fna.gz,pmultocida#1,new_alleles,14,~10,20,19,~8,3,20,
GCF_002750875.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_002750885.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_002817545.fna.gz,pmultocida#1,new_alleles,14,~10,20,19,~8,3,20,
GCF_002859245.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859265.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859285.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859305.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859325.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859345.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859365.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859385.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859405.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859425.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859445.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859465.fna.gz,pmultocida#1,80,7,11,40,10,4,7,8,ST13
GCF_002859485.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859505.fna.gz,pmultocida#1,-,-,11,40,10,4,7,8,
GCF_002859525.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002859545.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002891825.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002891845.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_002893985.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_002900115.fna.gz,pmultocida#1,321,23,44,39,36,15,53,43,ST203
GCF_002930755.fna.gz,pmultocida#1,4,1,20,16,21,1,1,16,ST171
GCF_002930775.fna.gz,pmultocida#1,4,1,20,16,21,1,1,16,ST171
GCF_002948995.fna.gz,pmultocida#1,39,11,20,16,1,1,1,16,ST171
GCF_003061265.fna.gz,pmultocida#1,365,1,5,23,1,1,1,11,
GCF_003061385.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_003261335.fna.gz,pmultocida#1,206,22,13,8,29,8,7,31,ST74
GCF_003261435.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_003261515.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_003268295.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_003402875.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_003402895.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_003402915.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_003402935.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_003428945.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_004114645.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_004286935.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_004286945.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_004286955.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_004286965.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_004286975.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_004287035.fna.gz,pmultocida#1,5,3,4,3,3,4,2,4,
GCF_004287045.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_004327765.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_004336735.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_004792555.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_004792575.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_004792595.fna.gz,pmultocida#1,342,21,33,77,2,17,57,20,
GCF_004792615.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_004792635.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_006232065.fna.gz,pmultocida#1,new_alleles,27,15,~17,28,19,21,29,
GCF_006232125.fna.gz,pmultocida#1,320,21,15,17,74,21,19,29,ST131
GCF_006274235.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_006351865.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_008693845.fna.gz,pmultocida#1,new_ST,1,5,10,1,1,12,11,
GCF_009646155.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_009663815.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_009739555.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_009739575.fna.gz,pmultocida#1,7,2,6,4,4,6,4,6,
GCF_009901975.fna.gz,pmultocida#1,342,21,33,77,2,17,57,20,
GCF_010443215.fna.gz,pmultocida#1,new_alleles,4,~80,48,35,4,~2,54,
GCF_011149495.fna.gz,pmultocida#1,67,1,42,10,1,1,1,16,
GCF_011390865.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_012126375.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_012271895.fna.gz,pmultocida#1,new_alleles,23,37,~21,17,4,2,17,
GCF_012271915.fna.gz,pmultocida#1,new_alleles,23,37,~21,17,4,2,17,
GCF_012928515.fna.gz,pmultocida#1,235,4,72,28,63,11,3,68,
