Genome,Scheme,ST,pgi,atpG,adk,mdh,frdB,recA,fucK
GCF_002984525.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_002984885.fna.gz,hinfluenzae,107,2,8,33,49,16,3,16
GCF_002985005.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_002985225.fna.gz,hinfluenzae,46,1,25,1,15,1,5,14
GCF_002985375.fna.gz,hinfluenzae,85,38,2,30,22,15,3,7
GCF_002985545.fna.gz,hinfluenzae,1339,143,81,179,167,16,97,58
GCF_002985765.fna.gz,hinfluenzae,-,2,8,33,17,16,29,
GCF_002966695.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002984105.fna.gz,hinfluenzae,66,28,6,18,10,3,12,11
GCF_002984245.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_002093205.fna.gz,hinfluenzae,367,1,1,1,67,1,5,1
GCF_001679235.fna.gz,hinfluenzae,368,3,4,3,54,17,34,11
GCF_005888185.fna.gz,hinfluenzae,65,33,26,24,36,24,21,21
GCF_007896985.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_001055275.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_000833815.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_001184515.fna.gz,hinfluenzae,244,2,11,55,102,16,3,14
GCF_001184635.fna.gz,hinfluenzae,259,62,1,1,89,1,37,14
GCF_002985245.fna.gz,hinfluenzae,-,50,74,53,272,134,99,
GCF_002985405.fna.gz,hinfluenzae,1337,1,24,1,55,18,139,14
GCF_000833835.fna.gz,hinfluenzae,105,8,9,3,14,8,4,2
GCF_005888195.fna.gz,hinfluenzae,72,34,20,25,40,28,25,14
GCF_007896995.fna.gz,hinfluenzae,411,21,7,14,1,13,1,30
GCF_001184535.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_001679365.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_001909015.fna.gz,hinfluenzae,369,17,22,1,10,19,2,19
GCF_002984905.fna.gz,hinfluenzae,425,48,8,39,65,35,19,11
GCF_002985025.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_001055485.fna.gz,hinfluenzae,140,1,1,1,70,1,37,14
GCF_002985555.fna.gz,hinfluenzae,1329,145,82,121,167,109,97,14
GCF_002985665.fna.gz,hinfluenzae,2,4,7,14,16,1,1,15
GCF_002966715.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002093255.fna.gz,hinfluenzae,196,2,8,14,17,18,3,11
GCF_002984545.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
