Genome,Scheme,ST,Cla_adk,Cla_atpA,Cla_glnA,Cla_glyA,Cla_pgi,Cla_pgm,Cla_tkt,clonal_complex
GCF_000019205.fna.gz,clari,3,2,2,1,2,1,2,3,
GCF_000816225.fna.gz,clari,11,10,8,5,4,6,7,8,
GCF_000816365.fna.gz,clari,12,11,9,6,5,7,8,9,
GCF_000816385.fna.gz,clari,15,14,12,9,8,10,11,11,
GCF_000816405.fna.gz,clari,new_alleles,~40,30,~27,21,~163,~86,~125,
GCF_000816425.fna.gz,clari,new_alleles,~74,91,77,102,~118,~27,72,
GCF_001017575.fna.gz,clari,new_alleles,45,30,38,33,46,41,~137,
GCF_001761915.fna.gz,clari,21,5,2,1,1,4,1,2,
GCF_001761945.fna.gz,clari,21,5,2,1,1,4,1,2,
GCF_001762205.fna.gz,clari,21,5,2,1,1,4,1,2,
GCF_004357905.fna.gz,clari,new_alleles,109,113,94,27,~145,141,146,
GCF_008245025.fna.gz,clari,new_alleles,26,26,5,~10,25,7,16,
GCF_008802005.fna.gz,clari,new_alleles,26,26,5,~10,25,7,16,
GCF_010469945.fna.gz,clari,21,5,2,1,1,4,1,2,
GCF_013290195.fna.gz,clari,163,2,6,1,1,4,1,2,
GCF_013290495.fna.gz,clari,new_ST,7,1,1,53,3,3,5,
GCF_013290505.fna.gz,clari,new_ST,2,2,1,1,1,1,5,
GCF_013372185.fna.gz,clari,4,3,3,2,2,3,3,4,
GCF_016726265.fna.gz,clari,4,3,3,2,2,3,3,4,
GCF_018476685.fna.gz,clari,new_ST,7,1,1,1,1,1,36,
GCF_018500285.fna.gz,clari,240,74,125,72,69,158,153,134,
GCF_018500295.fna.gz,clari,232,31,122,25,36,154,149,128,
GCF_018500385.fna.gz,clari,239,10,38,5,4,39,33,133,
GCF_018500405.fna.gz,clari,235,30,84,25,72,154,148,11,
GCF_018500415.fna.gz,clari,241,29,126,105,102,159,156,135,
GCF_018500425.fna.gz,clari,242,20,127,107,103,160,154,136,
GCF_018500465.fna.gz,clari,234,44,124,105,71,157,150,130,
GCF_018500485.fna.gz,clari,236,31,83,95,104,161,155,131,
GCF_018500505.fna.gz,clari,233,21,123,106,49,14,151,129,
GCF_018500515.fna.gz,clari,231,40,47,38,101,155,152,125,
GCF_018500525.fna.gz,clari,230,29,91,105,102,156,150,126,
GCF_018500565.fna.gz,clari,237,20,39,35,49,41,35,132,
GCF_018500595.fna.gz,clari,-,-,84,25,72,154,148,11,
GCF_018500625.fna.gz,clari,236,31,83,95,104,161,155,131,
GCF_900111465.fna.gz,clari,4,3,3,2,2,3,3,4,
GCF_900446585.fna.gz,clari,new_alleles,11,~29,8,~7,16,10,9,
GCF_900446615.fna.gz,clari,4,3,3,2,2,3,3,4,
GCF_900446655.fna.gz,clari,new_alleles,69,84,69,72,~89,106,66,
GCF_900638335.fna.gz,clari,14,13,11,8,7,9,10,9,
