Genome,Scheme,ST,gdh,gyd,pstS,gki,aroE,xpt,yqiL,clonal_complex
GCF_000007785.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000147215.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000147255.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000147275.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000147295.fna.gz,efaecalis,27,3,2,7,10,10,2,7,
GCF_000147455.fna.gz,efaecalis,412,14,1,18,52,67,4,70,
GCF_000147475.fna.gz,efaecalis,new_ST,22,2,30,1,10,1,1,
GCF_000147495.fna.gz,efaecalis,933,14,2,18,10,16,2,97,
GCF_000147515.fna.gz,efaecalis,19,1,2,12,8,1,6,1,
GCF_000147535.fna.gz,efaecalis,55,3,7,23,1,9,16,7,
GCF_000147555.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000147575.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000147595.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000147905.fna.gz,efaecalis,144,3,7,11,21,9,9,7,
GCF_000147925.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000147985.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_000148005.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_000148045.fna.gz,efaecalis,4,8,7,7,5,4,4,1,
GCF_000148065.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_000148085.fna.gz,efaecalis,11,4,4,8,3,2,1,3,
GCF_000148105.fna.gz,efaecalis,59,14,2,18,10,16,2,12,
GCF_000148125.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000148165.fna.gz,efaecalis,25,2,7,11,11,3,4,2,
GCF_000148185.fna.gz,efaecalis,90,10,1,11,17,5,5,4,
GCF_000148205.fna.gz,efaecalis,10,2,3,13,4,3,2,2,
GCF_000148225.fna.gz,efaecalis,287,12,1,32,6,4,14,28,
GCF_000148245.fna.gz,efaecalis,new_alleles,~14,40,37,107,21,15,2,
GCF_000148265.fna.gz,efaecalis,110,36,13,30,5,27,20,3,
GCF_000148305.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000148445.fna.gz,efaecalis,8,10,1,11,6,5,5,4,
