Genome,Scheme,ST,trpB,atpA,dnaK,murG,fumC,tuf,gyrB
GCF_000971785.fna.gz,fpsychrophilum,-,1,2,33,17,3,61,
GCF_000754365.fna.gz,fpsychrophilum,78,2,2,2,2,2,41,8
GCF_000971605.fna.gz,fpsychrophilum,21,2,10,2,2,2,7,2
GCF_003788665.fna.gz,fpsychrophilum,10,2,2,2,2,2,2,8
GCF_013457195.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_900186785.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_002150215.fna.gz,fpsychrophilum,-,1,11,7,7,2,2,
GCF_006778185.fna.gz,fpsychrophilum,52,5,4,4,2,4,4,24
GCF_016804225.fna.gz,fpsychrophilum,125,1,2,15,2,2,7,13
GCF_003433315.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_001510875.fna.gz,fpsychrophilum,10,2,2,2,2,2,2,8
GCF_006777745.fna.gz,fpsychrophilum,52,5,4,4,2,4,4,24
GCF_900186365.fna.gz,fpsychrophilum,138,11,31,8,32,3,41,29
GCF_000831185.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_006778585.fna.gz,fpsychrophilum,52,5,4,4,2,4,4,24
GCF_015272605.fna.gz,fpsychrophilum,13,4,4,6,6,5,8,7
GCF_015272635.fna.gz,fpsychrophilum,138,11,31,8,32,3,41,29
GCF_016803515.fna.gz,fpsychrophilum,89,2,2,2,2,2,47,2
GCF_016803735.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_900609985.fna.gz,fpsychrophilum,23,9,12,11,9,7,13,13
GCF_006778345.fna.gz,fpsychrophilum,-,19,4,19,8,5,1,24
GCF_003433335.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_000831205.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_001887135.fna.gz,fpsychrophilum,-,2,11,15,,3,41,29
GCF_006777825.fna.gz,fpsychrophilum,52,5,4,4,2,4,4,24
GCF_006778065.fna.gz,fpsychrophilum,52,5,4,4,2,4,4,24
GCF_900186805.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_002150245.fna.gz,fpsychrophilum,10,2,2,2,2,2,2,8
GCF_009730675.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_900186405.fna.gz,fpsychrophilum,10,2,2,2,2,2,2,8
GCF_001485515.fna.gz,fpsychrophilum,52,5,4,4,2,4,4,24
GCF_000971645.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_016803555.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_900186485.fna.gz,fpsychrophilum,-,11,17,7,14,5,,18
GCF_000801615.fna.gz,fpsychrophilum,9,4,4,6,6,5,5,7
GCF_000831225.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_015272565.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_015272595.fna.gz,fpsychrophilum,329,1,1,1,2,1,1,1
GCF_016803535.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_016803775.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900609995.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_003433355.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_006777945.fna.gz,fpsychrophilum,45,19,8,19,8,5,1,24
GCF_900186495.fna.gz,fpsychrophilum,48,19,8,19,8,6,1,24
GCF_002150255.fna.gz,fpsychrophilum,78,2,2,2,2,2,41,8
GCF_013343175.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900186645.fna.gz,fpsychrophilum,18,4,6,9,5,3,6,6
GCF_000971685.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_001887145.fna.gz,fpsychrophilum,78,2,2,2,2,2,41,8
GCF_016803475.fna.gz,fpsychrophilum,328,8,69,12,17,3,59,87
GCF_016803675.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_900186815.fna.gz,fpsychrophilum,23,9,12,11,9,7,13,13
GCF_001510795.fna.gz,fpsychrophilum,-,11,2,2,,2,2,8
GCF_000801695.fna.gz,fpsychrophilum,9,4,4,6,6,5,5,7
GCF_016803575.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900186665.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_000971575.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_003732575.fna.gz,fpsychrophilum,78,2,2,2,2,2,41,8
GCF_006778465.fna.gz,fpsychrophilum,52,5,4,4,2,4,4,24
GCF_015272545.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_900186825.fna.gz,fpsychrophilum,70,1,1,15,1,14,7,13
GCF_000971735.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_013343195.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_016803495.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_016803695.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_900609965.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_006778265.fna.gz,fpsychrophilum,52,5,4,4,2,4,4,24
GCF_001510855.fna.gz,fpsychrophilum,10,2,2,2,2,2,2,8
GCF_002150145.fna.gz,fpsychrophilum,10,2,2,2,2,2,2,8
GCF_002150295.fna.gz,fpsychrophilum,-,2,2,,2,2,41,8
GCF_002217405.fna.gz,fpsychrophilum,13,4,4,6,6,5,8,7
GCF_900609975.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_000801715.fna.gz,fpsychrophilum,9,4,4,6,6,5,5,7
GCF_016803595.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_016803635.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_016803715.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_016803755.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_016803795.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_016804065.fna.gz,fpsychrophilum,91,2,2,2,2,2,41,2
GCF_016804145.fna.gz,fpsychrophilum,20,8,2,2,2,2,2,8
GCF_016804165.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_016878935.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
