Genome,Scheme,ST,Che_atpA,Che_tkt,Che_glnA,Che_gltA,Che_pgm,Che_glyA,Che_aspA
GCF_002080395.fna.gz,chelveticus,1,1,1,1,1,1,1,1
GCF_004345065.fna.gz,chelveticus,-,1,1,,1,,,4
GCF_006151585.fna.gz,chelveticus,-,1,1,1,1,,,4
GCF_006151595.fna.gz,chelveticus,-,1,2,,3,,2,
GCF_006151605.fna.gz,chelveticus,-,1,1,1,1,1,,4
GCF_006151615.fna.gz,chelveticus,-,1,1,,1,2,,4
GCF_006151625.fna.gz,chelveticus,-,1,1,1,1,1,2,4
GCF_006229055.fna.gz,chelveticus,-,5,1,1,4,,,7
GCF_006229075.fna.gz,chelveticus,-,1,1,1,1,1,,4
GCF_006229085.fna.gz,chelveticus,-,5,2,,4,,,7
GCF_008017695.fna.gz,chelveticus,1,1,1,1,1,1,1,1
GCF_008017775.fna.gz,chelveticus,8,5,2,5,4,5,8,7
GCF_900176295.fna.gz,chelveticus,1,1,1,1,1,1,1,1
GCF_900446405.fna.gz,chelveticus,1,1,1,1,1,1,1,1
