Genome,Scheme,ST,Moraxella_catarrhalis_MLST_trpE,Moraxella_catarrhalis_MLST_efp,Moraxella_catarrhalis_MLST_ppa,Moraxella_catarrhalis_MLST_glyBeta,Moraxella_catarrhalis_MLST_abcZ,Moraxella_catarrhalis_MLST_adk,Moraxella_catarrhalis_MLST_mutY,Moraxella_catarrhalis_MLST_fumC
GCF_003626375.fna.gz,mcatarrhalis,184,2,6,2,57,8,25,22,4
GCF_001656415.fna.gz,mcatarrhalis,393,1,8,11,11,11,10,75,12
GCF_001656505.fna.gz,mcatarrhalis,23,9,1,16,12,16,15,17,15
GCF_003626475.fna.gz,mcatarrhalis,439,2,3,3,14,8,3,36,3
GCF_001656105.fna.gz,mcatarrhalis,219,6,1,10,11,10,10,11,12
GCF_003626035.fna.gz,mcatarrhalis,445,2,6,3,29,31,22,3,7
GCF_003971285.fna.gz,mcatarrhalis,371,2,3,3,77,8,6,26,2
GCF_000766665.fna.gz,mcatarrhalis,399,2,2,17,17,8,3,9,2
GCF_001656205.fna.gz,mcatarrhalis,-,1,1,1,1,30,1,,1
GCF_003625595.fna.gz,mcatarrhalis,224,2,2,3,57,53,3,3,3
GCF_003625605.fna.gz,mcatarrhalis,64,2,12,3,3,2,17,3,2
GCF_003625615.fna.gz,mcatarrhalis,64,2,12,3,3,2,17,3,2
GCF_003626155.fna.gz,mcatarrhalis,70,2,2,21,31,28,3,31,3
GCF_009378215.fna.gz,mcatarrhalis,977,2,12,2,32,85,2,2,2
GCF_001064665.fna.gz,mcatarrhalis,372,2,6,3,14,3,8,28,3
GCF_001656295.fna.gz,mcatarrhalis,-,15,21,32,51,37,,42,26
GCF_002073215.fna.gz,mcatarrhalis,54,2,3,23,30,8,24,3,7
GCF_002080125.fna.gz,mcatarrhalis,70,2,2,21,31,28,3,31,3
GCF_003443915.fna.gz,mcatarrhalis,216,2,3,3,6,25,18,9,4
GCF_003626185.fna.gz,mcatarrhalis,70,2,2,21,31,28,3,31,3
GCF_009378225.fna.gz,mcatarrhalis,128,2,2,3,32,8,30,3,7
GCF_001656425.fna.gz,mcatarrhalis,45,10,14,19,12,20,21,23,19
GCF_003443975.fna.gz,mcatarrhalis,473,2,2,3,115,53,3,3,3
GCF_003625715.fna.gz,mcatarrhalis,435,2,6,23,57,8,25,22,4
GCF_003625735.fna.gz,mcatarrhalis,435,2,6,23,57,8,25,22,4
GCF_003625915.fna.gz,mcatarrhalis,38,2,2,2,6,3,18,18,3
GCF_003626245.fna.gz,mcatarrhalis,70,2,2,21,31,28,3,31,3
GCF_009378245.fna.gz,mcatarrhalis,977,2,12,2,32,85,2,2,2
GCF_001656115.fna.gz,mcatarrhalis,-,1,9,,64,38,41,,
GCF_001656335.fna.gz,mcatarrhalis,116,14,19,30,45,33,29,38,22
GCF_003971345.fna.gz,mcatarrhalis,371,2,3,3,77,8,6,26,2
GCF_001065625.fna.gz,mcatarrhalis,370,2,2,3,29,22,9,69,18
GCF_003443955.fna.gz,mcatarrhalis,215,2,2,17,2,2,2,18,9
GCF_003971365.fna.gz,mcatarrhalis,544,2,3,3,29,22,2,3,18
GCF_001062815.fna.gz,mcatarrhalis,374,2,2,3,29,22,22,31,18
GCF_003626045.fna.gz,mcatarrhalis,442,2,3,17,109,3,3,15,3
GCF_003985305.fna.gz,mcatarrhalis,-,2,2,2,2,2,22,2,
GCF_001656215.fna.gz,mcatarrhalis,48,12,15,4,26,23,4,25,5
GCF_001679105.fna.gz,mcatarrhalis,84,2,2,3,20,2,9,3,2
GCF_003625725.fna.gz,mcatarrhalis,435,2,6,23,57,8,25,22,4
GCF_003625775.fna.gz,mcatarrhalis,70,2,2,21,31,28,3,31,3
GCF_003625925.fna.gz,mcatarrhalis,221,2,6,8,15,3,2,15,2
GCF_003626255.fna.gz,mcatarrhalis,59,2,12,3,24,17,3,26,3
GCF_009378265.fna.gz,mcatarrhalis,3,2,2,2,2,2,2,2,3
GCF_001656455.fna.gz,mcatarrhalis,22,3,11,15,16,15,4,16,5
GCF_001656125.fna.gz,mcatarrhalis,46,11,7,20,25,21,4,24,12
GCF_003625535.fna.gz,mcatarrhalis,200,2,2,8,29,22,22,31,18
GCF_003985335.fna.gz,mcatarrhalis,-,2,2,2,2,2,22,2,
GCF_001065675.fna.gz,mcatarrhalis,205,2,2,3,29,22,9,31,18
GCF_001656355.fna.gz,mcatarrhalis,116,14,19,30,45,33,29,38,22
