Genome,Scheme,ST,ddl,gdh,atpA,gyd,adk,pstS,purK
GCF_001543765.fna.gz,efaecium,551,3,1,9,1,1,1,1
GCF_002005905.fna.gz,efaecium,792,3,1,1,1,28,1,44
GCF_002006005.fna.gz,efaecium,478,43,1,15,1,1,20,44
GCF_002140595.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_002140805.fna.gz,efaecium,-,34,6,2,,1,193,6
GCF_001547475.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_001721905.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_001858355.fna.gz,efaecium,125,3,1,7,5,1,1,1
GCF_002141125.fna.gz,efaecium,717,8,14,5,8,6,27,62
GCF_002141175.fna.gz,efaecium,-,6,14,137,3,2,,
GCF_001545795.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_001696285.fna.gz,efaecium,172,13,18,25,10,6,29,15
GCF_001696305.fna.gz,efaecium,240,13,9,25,10,6,19,33
GCF_001953395.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001953435.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001547255.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002027505.fna.gz,efaecium,478,43,1,15,1,1,20,44
GCF_002027515.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_000764985.fna.gz,efaecium,1453,4,1,40,1,5,116,6
GCF_001058945.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001059555.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_002158275.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_002158285.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_001543565.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_002948355.fna.gz,efaecium,-,2,6,9,1,,1,6
GCF_002948375.fna.gz,efaecium,196,2,6,5,1,1,36,6
GCF_002174355.fna.gz,efaecium,-,2,7,3,22,5,,88
GCF_002360225.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_002360255.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_001545605.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_003320325.fna.gz,efaecium,12,2,6,5,1,1,1,6
GCF_003320355.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_001547045.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002944305.fna.gz,efaecium,1191,8,18,13,6,6,40,15
GCF_002944355.fna.gz,efaecium,-,5,1,5,2,1,1,3
GCF_002631165.fna.gz,efaecium,80,1,1,9,12,1,1,1
