Genome,Scheme,ST,Cfe_aspA,Cfe_glnA,Cfe_gltA,Cfe_glyA,Cfe_pgm,Cfe_tkt,Cfe_uncA,clonal_complex
GCF_000015085.fna.gz,cfetus,6,1,2,2,2,1,2,4,
GCF_000414135.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_000512745.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_000744025.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_000744035.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_000759485.fna.gz,cfetus,5,1,1,1,2,1,1,3,
GCF_000759515.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_000814265.fna.gz,cfetus,new_alleles,5,~17,6,5,~6,~5,5,
GCF_000967135.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_001399955.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_001484645.fna.gz,cfetus,27,11,8,6,9,7,10,5,
GCF_001487085.fna.gz,cfetus,-,~7,-,-,-,-,-,~7,
GCF_001686885.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_001699125.fna.gz,cfetus,58,4,3,6,5,5,9,5,
GCF_001699135.fna.gz,cfetus,67,4,3,6,5,5,5,5,
GCF_001699175.fna.gz,cfetus,59,14,15,10,10,10,5,5,
GCF_001699205.fna.gz,cfetus,60,15,3,6,11,12,5,5,
GCF_001699215.fna.gz,cfetus,61,4,10,6,8,5,5,5,
GCF_001699255.fna.gz,cfetus,62,16,4,6,11,10,5,5,
GCF_001699265.fna.gz,cfetus,63,8,16,6,5,10,5,5,
GCF_001699295.fna.gz,cfetus,64,3,3,6,5,5,9,5,
GCF_001699305.fna.gz,cfetus,65,13,3,6,6,5,5,5,
GCF_001699335.fna.gz,cfetus,66,15,17,10,11,10,5,5,
GCF_001699345.fna.gz,cfetus,new_ST,3,3,6,8,4,5,5,
GCF_001699365.fna.gz,cfetus,new_ST,10,3,6,11,5,5,5,
GCF_001699385.fna.gz,cfetus,31,4,3,10,11,5,9,5,
GCF_001699415.fna.gz,cfetus,15,5,6,6,4,6,6,6,
GCF_001699425.fna.gz,cfetus,15,5,6,6,4,6,6,6,
GCF_001699455.fna.gz,cfetus,15,5,6,6,4,6,6,6,
GCF_001699465.fna.gz,cfetus,30,5,6,6,10,6,6,5,
GCF_001699485.fna.gz,cfetus,15,5,6,6,4,6,6,6,
GCF_001699565.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_001699575.fna.gz,cfetus,2,1,2,2,2,1,1,2,
GCF_001699615.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_001699645.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_001699685.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_001699735.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_001699745.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_002592335.fna.gz,cfetus,4,1,2,2,2,1,2,1,
