Genome,Scheme,ST,Bhy_adh,Bhy_alp,Bhy_est,Bhy_gdh,Bhy_glpK,Bhy_pgm,Bhy_thi,clonal_complex
GCF_000022105.fna.gz,bhyodysenteriae,36,2,11,10,15,13,2,1,
GCF_000383255.fna.gz,bhyodysenteriae,56,2,2,1,10,5,1,11,
GCF_001012915.fna.gz,bhyodysenteriae,4,2,3,3,1,4,3,16,
GCF_001012925.fna.gz,bhyodysenteriae,new_ST,2,6,7,1,4,2,7,
GCF_001012935.fna.gz,bhyodysenteriae,new_ST,2,11,3,6,13,2,29,
GCF_001012945.fna.gz,bhyodysenteriae,54,1,16,3,4,2,3,6,
GCF_001012995.fna.gz,bhyodysenteriae,26,2,16,5,4,6,3,3,
GCF_001013005.fna.gz,bhyodysenteriae,56,2,2,1,10,5,1,11,
GCF_001013035.fna.gz,bhyodysenteriae,8,2,2,3,12,11,1,3,
GCF_001013045.fna.gz,bhyodysenteriae,117,2,22,14,6,4,2,26,
GCF_001013075.fna.gz,bhyodysenteriae,15,2,8,3,11,6,2,3,
GCF_001013085.fna.gz,bhyodysenteriae,11,2,11,10,14,3,2,3,
GCF_001013115.fna.gz,bhyodysenteriae,-,2,-,5,19,19,3,3,
GCF_001013125.fna.gz,bhyodysenteriae,30,2,11,10,15,1,2,3,
GCF_001013155.fna.gz,bhyodysenteriae,24,2,12,3,4,8,2,3,
GCF_001013165.fna.gz,bhyodysenteriae,53,2,6,7,2,4,2,7,
GCF_001013195.fna.gz,bhyodysenteriae,35,2,11,10,15,13,2,15,
GCF_001013205.fna.gz,bhyodysenteriae,127,2,11,8,5,6,2,11,
GCF_001013235.fna.gz,bhyodysenteriae,114,2,11,5,10,9,2,3,
GCF_001013245.fna.gz,bhyodysenteriae,129,2,11,8,1,6,2,11,
GCF_001013275.fna.gz,bhyodysenteriae,4,2,3,3,1,4,3,16,
GCF_001676785.fna.gz,bhyodysenteriae,56,2,2,1,10,5,1,11,
GCF_002100745.fna.gz,bhyodysenteriae,132,2,6,3,4,12,2,7,
GCF_002117505.fna.gz,bhyodysenteriae,132,2,6,3,4,12,2,7,
GCF_002117515.fna.gz,bhyodysenteriae,132,2,6,3,4,12,2,7,
GCF_002850235.fna.gz,bhyodysenteriae,83,2,11,3,5,12,2,6,
GCF_007595415.fna.gz,bhyodysenteriae,92,2,6,17,5,26,3,3,
GCF_007595445.fna.gz,bhyodysenteriae,96,2,25,19,4,7,3,13,
GCF_007595465.fna.gz,bhyodysenteriae,105,2,16,20,24,26,3,13,
GCF_007595475.fna.gz,bhyodysenteriae,104,2,26,5,4,28,2,24,
GCF_007595485.fna.gz,bhyodysenteriae,106,2,2,19,4,6,2,25,
GCF_007595505.fna.gz,bhyodysenteriae,107,2,11,8,10,6,2,11,
GCF_007595545.fna.gz,bhyodysenteriae,108,2,11,8,24,6,2,11,
GCF_007595565.fna.gz,bhyodysenteriae,110,2,2,3,5,6,2,11,
GCF_007595575.fna.gz,bhyodysenteriae,54,1,16,3,4,2,3,6,
GCF_007595605.fna.gz,bhyodysenteriae,54,1,16,3,4,2,3,6,
GCF_007595615.fna.gz,bhyodysenteriae,93,2,16,14,24,26,3,13,
GCF_007595625.fna.gz,bhyodysenteriae,94,2,2,1,10,26,1,11,
GCF_007595645.fna.gz,bhyodysenteriae,94,2,2,1,10,26,1,11,
GCF_007595685.fna.gz,bhyodysenteriae,95,2,2,19,4,27,3,3,
GCF_017751165.fna.gz,bhyodysenteriae,6,2,7,3,1,12,1,3,
GCF_017751185.fna.gz,bhyodysenteriae,197,2,12,3,1,12,2,3,
GCF_017751205.fna.gz,bhyodysenteriae,66,1,11,3,10,10,2,6,
GCF_017751225.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704035.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704105.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704145.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704155.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704165.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704205.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704225.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704235.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704245.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704255.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704305.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704325.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704345.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
GCF_018704355.fna.gz,bhyodysenteriae,196,2,33,5,6,9,2,3,
