Genome,Scheme,ST,dnaB,groEL,gyrA,mdh,gluD,gpi,rpoB,clonal_complex
GCF_000183155.fna.gz,ranatipestifer,15,2,1,1,1,1,3,3,
GCF_000184135.fna.gz,ranatipestifer,38,2,1,1,1,1,2,3,
GCF_000252855.fna.gz,ranatipestifer,15,2,1,1,1,1,3,3,
GCF_000295655.fna.gz,ranatipestifer,17,24,1,2,54,2,4,6,
GCF_000321285.fna.gz,ranatipestifer,38,2,1,1,1,1,2,3,
GCF_000331695.fna.gz,ranatipestifer,2,2,1,1,1,1,2,2,
GCF_000734055.fna.gz,ranatipestifer,18,24,1,18,54,2,6,41,
GCF_001077795.fna.gz,ranatipestifer,38,2,1,1,1,1,2,3,
GCF_001263145.fna.gz,ranatipestifer,37,4,24,27,24,30,5,16,
GCF_001589345.fna.gz,ranatipestifer,23,2,1,1,1,1,24,3,
GCF_001670605.fna.gz,ranatipestifer,28,2,1,1,1,1,24,8,
GCF_001670615.fna.gz,ranatipestifer,36,3,1,11,1,1,30,20,
GCF_001670625.fna.gz,ranatipestifer,38,2,1,1,1,1,2,3,
GCF_001670645.fna.gz,ranatipestifer,34,2,1,1,1,1,2,31,
GCF_001670685.fna.gz,ranatipestifer,33,2,4,1,1,1,21,19,
GCF_001670695.fna.gz,ranatipestifer,24,2,1,1,1,1,2,27,
GCF_001670725.fna.gz,ranatipestifer,25,2,1,1,1,1,11,8,
GCF_001670735.fna.gz,ranatipestifer,21,24,1,16,54,2,24,8,
GCF_001670765.fna.gz,ranatipestifer,29,3,29,28,26,29,30,8,
GCF_001670785.fna.gz,ranatipestifer,35,2,1,1,1,1,2,20,
GCF_001670805.fna.gz,ranatipestifer,new_ST,2,1,5,1,1,2,25,
GCF_001670855.fna.gz,ranatipestifer,38,2,1,1,1,1,2,3,
GCF_001670865.fna.gz,ranatipestifer,28,2,1,1,1,1,24,8,
GCF_001670875.fna.gz,ranatipestifer,new_ST,1,1,1,1,1,2,37,
GCF_001671145.fna.gz,ranatipestifer,22,24,1,19,54,2,6,15,
GCF_002025185.fna.gz,ranatipestifer,new_alleles,~2,~6,2,26,~2,30,18,
GCF_002896355.fna.gz,ranatipestifer,38,2,1,1,1,1,2,3,
GCF_003024905.fna.gz,ranatipestifer,new_alleles,2,1,1,~24,1,10,~22,
GCF_003122675.fna.gz,ranatipestifer,new_alleles,~3,29,8,5,29,30,~7,
GCF_006385095.fna.gz,ranatipestifer,new_alleles,24,1,~10,54,2,6,41,
GCF_009496935.fna.gz,ranatipestifer,16,2,1,1,1,1,2,5,
GCF_009663455.fna.gz,ranatipestifer,new_alleles,2,29,2,25,54,~11,~5,
GCF_009663465.fna.gz,ranatipestifer,new_alleles,~4,~1,~13,~5,~2,~5,~16,
GCF_009663475.fna.gz,ranatipestifer,new_alleles,~3,29,2,25,54,~11,~5,
GCF_009663485.fna.gz,ranatipestifer,new_alleles,~3,29,~8,5,29,30,~7,
GCF_009663555.fna.gz,ranatipestifer,15,2,1,1,1,1,3,3,
