Genome,Scheme,ST,adk,atpG,efp,gmk,nagC,ppa,recA,clonal_complex
GCF_000008245.fna.gz,msynoviae,1,1,1,1,1,1,1,1,
GCF_000385095.fna.gz,msynoviae,44,2,3,2,3,3,2,3,
GCF_000969765.fna.gz,msynoviae,44,2,3,2,3,3,2,3,
GCF_002009055.fna.gz,msynoviae,43,4,2,2,2,2,1,2,
GCF_003147565.fna.gz,msynoviae,43,4,2,2,2,2,1,2,
GCF_003586085.fna.gz,msynoviae,43,4,2,2,2,2,1,2,
GCF_009671165.fna.gz,msynoviae,93,28,38,19,1,46,19,17,
GCF_013393745.fna.gz,msynoviae,43,4,2,2,2,2,1,2,
GCF_014805575.fna.gz,msynoviae,new_alleles,34,~38,4,~23,~46,~1,~27,
GCF_900475235.fna.gz,msynoviae,44,2,3,2,3,3,2,3,
