Genome,Scheme,ST,pgm,pyc,pgI,gyrB,leuS,glnA,dalR
GCF_004353295.fna.gz,ppentosaceus,-,2,4,6,,,,
GCF_007992275.fna.gz,ppentosaceus,2,2,2,1,1,1,1,2
GCF_001748065.fna.gz,ppentosaceus,-,8,,8,1,,2,10
GCF_002982155.fna.gz,ppentosaceus,-,2,6,8,1,8,2,3
GCF_009808085.fna.gz,ppentosaceus,-,2,4,3,,8,2,
GCF_009808655.fna.gz,ppentosaceus,-,2,6,4,3,5,4,5
GCF_009809595.fna.gz,ppentosaceus,-,2,9,6,1,,2,4
GCF_015613035.fna.gz,ppentosaceus,-,7,4,3,1,3,2,4
GCF_002724015.fna.gz,ppentosaceus,-,3,6,2,2,2,2,3
GCF_004354495.fna.gz,ppentosaceus,2,2,2,1,1,1,1,2
GCF_009808845.fna.gz,ppentosaceus,-,7,4,3,,3,2,
GCF_009809425.fna.gz,ppentosaceus,-,2,,8,,,2,
GCF_009809665.fna.gz,ppentosaceus,-,7,4,3,,3,2,
GCF_004115445.fna.gz,ppentosaceus,-,,4,6,,,2,
GCF_007923185.fna.gz,ppentosaceus,-,2,4,,1,,2,4
GCF_009791435.fna.gz,ppentosaceus,-,3,,8,,8,,
GCF_009808815.fna.gz,ppentosaceus,-,2,,,,,,
GCF_006770865.fna.gz,ppentosaceus,-,7,4,3,1,3,2,4
GCF_003429405.fna.gz,ppentosaceus,-,2,6,4,3,5,4,5
GCF_005864405.fna.gz,ppentosaceus,-,2,9,6,1,,2,4
GCF_002202155.fna.gz,ppentosaceus,-,5,2,8,1,8,2,3
GCF_009808645.fna.gz,ppentosaceus,-,2,4,6,,,,
GCF_009809195.fna.gz,ppentosaceus,-,2,7,5,4,6,2,
GCF_009809485.fna.gz,ppentosaceus,-,2,,8,,,2,
GCF_009809875.fna.gz,ppentosaceus,-,2,,8,,,2,
GCF_009913955.fna.gz,ppentosaceus,-,7,4,3,1,3,2,4
GCF_009913995.fna.gz,ppentosaceus,1,1,1,1,1,1,1,1
GCF_009914015.fna.gz,ppentosaceus,1,1,1,1,1,1,1,1
GCF_009914035.fna.gz,ppentosaceus,1,1,1,1,1,1,1,1
GCF_009930955.fna.gz,ppentosaceus,-,2,,1,6,,1,2
GCF_011009615.fna.gz,ppentosaceus,5,4,4,3,1,3,2,4
GCF_015613005.fna.gz,ppentosaceus,-,2,4,3,,8,2,
GCF_015613115.fna.gz,ppentosaceus,-,2,6,4,3,5,4,5
GCF_015613155.fna.gz,ppentosaceus,-,2,6,4,3,5,4,5
GCF_015613065.fna.gz,ppentosaceus,-,7,4,3,,3,,
GCF_015613225.fna.gz,ppentosaceus,-,2,,5,,6,2,
GCF_015613235.fna.gz,ppentosaceus,-,,,,1,,,
GCF_015613205.fna.gz,ppentosaceus,-,2,6,4,3,5,4,5
GCF_016028695.fna.gz,ppentosaceus,-,2,6,8,1,8,2,3
GCF_013385165.fna.gz,ppentosaceus,-,7,4,,1,3,2,4
GCF_015612965.fna.gz,ppentosaceus,-,2,7,5,4,6,3,
GCF_015612975.fna.gz,ppentosaceus,-,2,,8,,,2,
GCF_015613015.fna.gz,ppentosaceus,-,2,4,5,4,,2,
GCF_015613105.fna.gz,ppentosaceus,-,2,9,6,1,,2,4
GCF_015613145.fna.gz,ppentosaceus,-,,,,,,,
GCF_015613165.fna.gz,ppentosaceus,-,5,,8,1,8,,3
GCF_015613055.fna.gz,ppentosaceus,-,2,,,,,2,
GCF_015613245.fna.gz,ppentosaceus,-,2,6,8,1,8,2,3
GCF_015613265.fna.gz,ppentosaceus,-,2,,5,,6,2,
GCF_015613305.fna.gz,ppentosaceus,-,7,4,3,1,3,2,4
GCF_015613315.fna.gz,ppentosaceus,-,,,,1,,,
GCF_015613745.fna.gz,ppentosaceus,-,2,,,,,,
GCF_015613765.fna.gz,ppentosaceus,-,2,9,6,1,,2,4
GCF_015613785.fna.gz,ppentosaceus,-,2,4,5,4,,,
GCF_000708635.fna.gz,ppentosaceus,-,2,,1,,,1,2
GCF_016127775.fna.gz,ppentosaceus,2,2,2,1,1,1,1,2
GCF_016128215.fna.gz,ppentosaceus,-,,,,1,,,
GCF_016652195.fna.gz,ppentosaceus,-,5,2,8,,8,,3
GCF_016921135.fna.gz,ppentosaceus,-,2,,6,6,,,
GCF_019008315.fna.gz,ppentosaceus,-,7,4,3,1,3,2,
GCF_900454755.fna.gz,ppentosaceus,-,2,6,4,3,5,4,5
GCF_001411765.fna.gz,ppentosaceus,-,5,,8,1,8,,3
GCF_001437285.fna.gz,ppentosaceus,2,2,2,1,1,1,1,2
GCF_016726885.fna.gz,ppentosaceus,-,2,4,6,,,,
GCF_016126975.fna.gz,ppentosaceus,-,7,4,3,1,3,2,4
GCF_902386405.fna.gz,ppentosaceus,-,2,,1,,,1,2
GCF_000014505.fna.gz,ppentosaceus,1,1,1,1,1,1,1,1
GCF_000285875.fna.gz,ppentosaceus,2,2,2,1,1,1,1,2
GCF_000496265.fna.gz,ppentosaceus,-,,4,6,,,,
