Genome,Scheme,ST,Cfe_glnA,Cfe_glyA,Cfe_aspA,Cfe_tkt,Cfe_gltA,Cfe_pgm,Cfe_uncA
GCF_011600945.fna.gz,cfetus,6,2,2,1,2,2,1,4
GCF_001484645.fna.gz,cfetus,27,8,9,11,10,6,7,5
GCF_005255865.fna.gz,cfetus,-,3,5,11,5,6,10,5
GCF_010120585.fna.gz,cfetus,2,2,2,1,1,2,1,2
GCF_005250865.fna.gz,cfetus,3,2,3,1,2,2,1,1
GCF_003994875.fna.gz,cfetus,69,18,14,17,13,11,4,14
GCF_010120605.fna.gz,cfetus,48,12,5,13,5,10,10,5
GCF_010120665.fna.gz,cfetus,-,3,5,11,5,6,10,5
GCF_005133705.fna.gz,cfetus,5,1,2,1,1,1,1,3
GCF_016406645.fna.gz,cfetus,-,,14,,,11,9,
GCF_011600995.fna.gz,cfetus,6,2,2,1,2,2,1,4
GCF_011601375.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_013184585.fna.gz,cfetus,17,4,5,4,5,6,5,5
GCF_005014375.fna.gz,cfetus,3,2,3,1,2,2,1,1
GCF_010883105.fna.gz,cfetus,45,13,11,13,5,10,11,5
GCF_010883135.fna.gz,cfetus,17,4,5,4,5,6,5,5
GCF_011600955.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_010120615.fna.gz,cfetus,47,11,9,4,5,6,10,5
GCF_001686885.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_012274465.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_013406925.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_011600855.fna.gz,cfetus,2,2,2,1,1,2,1,2
GCF_005250905.fna.gz,cfetus,6,2,2,1,2,2,1,4
GCF_007723545.fna.gz,cfetus,1,1,1,1,1,1,1,1
GCF_010120695.fna.gz,cfetus,20,5,2,1,7,4,1,9
GCF_005014935.fna.gz,cfetus,-,3,5,11,5,6,10,5
GCF_003994885.fna.gz,cfetus,69,18,14,17,13,11,4,14
GCF_005137355.fna.gz,cfetus,6,2,2,1,2,2,1,4
GCF_010883155.fna.gz,cfetus,-,3,5,11,5,6,10,5
GCF_011601005.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_003426015.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_008014295.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_010883185.fna.gz,cfetus,48,12,5,13,5,10,10,5
GCF_902386455.fna.gz,cfetus,31,3,11,4,9,10,5,5
GCF_010120575.fna.gz,cfetus,46,8,10,11,5,10,10,5
GCF_008526355.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_002973655.fna.gz,cfetus,17,4,5,4,5,6,5,5
GCF_002592335.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_008527615.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_010883215.fna.gz,cfetus,46,8,10,11,5,10,10,5
GCF_014764615.fna.gz,cfetus,25,5,2,1,8,2,1,1
GCF_016612925.fna.gz,cfetus,71,2,2,1,2,7,1,1
GCF_016612955.fna.gz,cfetus,72,2,2,1,14,12,1,1
GCF_017896405.fna.gz,cfetus,3,2,3,1,2,2,1,1
GCF_003626705.fna.gz,cfetus,3,2,3,1,2,2,1,1
GCF_001699125.fna.gz,cfetus,58,3,5,4,9,6,5,5
GCF_008271385.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_013406955.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_008693125.fna.gz,cfetus,3,2,3,1,2,2,1,1
GCF_003426005.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_002592365.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_013184565.fna.gz,cfetus,46,8,10,11,5,10,10,5
GCF_016612875.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_016612945.fna.gz,cfetus,73,2,2,1,14,2,1,1
GCF_016612985.fna.gz,cfetus,71,2,2,1,2,7,1,1
GCF_017896385.fna.gz,cfetus,3,2,3,1,2,2,1,1
GCF_900475935.fna.gz,cfetus,3,2,3,1,2,2,1,1
GCF_001699365.fna.gz,cfetus,-,3,11,10,5,6,5,5
GCF_000814265.fna.gz,cfetus,-,,5,5,,6,,5
GCF_001487085.fna.gz,cfetus,-,,,,,,,
GCF_000744035.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_001699415.fna.gz,cfetus,15,6,4,5,6,6,6,6
GCF_000744025.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_001699575.fna.gz,cfetus,2,2,2,1,1,2,1,2
GCF_001699685.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_001699735.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_000967135.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_001699175.fna.gz,cfetus,59,15,10,14,5,10,10,5
GCF_001699215.fna.gz,cfetus,61,10,8,4,5,6,5,5
GCF_001699265.fna.gz,cfetus,63,16,5,8,5,6,10,5
GCF_001699305.fna.gz,cfetus,65,3,6,13,5,6,5,5
GCF_001699345.fna.gz,cfetus,-,3,8,3,5,6,4,5
GCF_001699425.fna.gz,cfetus,15,6,4,5,6,6,6,6
GCF_008526335.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_000759485.fna.gz,cfetus,5,1,2,1,1,1,1,3
GCF_000414135.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_000759515.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_001399955.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_001699745.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_001699615.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_001699645.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_011600845.fna.gz,cfetus,4,2,2,1,2,2,1,1
