Genome,Scheme,ST,RIRDC_est,RIRDC_mdh,RIRDC_pmi,RIRDC_zwf,RIRDC_pgi,RIRDC_gdh,RIRDC_adk
GCF_001874105.fna.gz,pmultocida#1,321,44,15,39,36,43,53,23
GCF_002591295.fna.gz,pmultocida#1,25,3,1,23,1,3,1,1
GCF_002859345.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002859445.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_004286945.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001930445.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001956795.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_002023845.fna.gz,pmultocida#1,204,11,4,5,6,7,5,2
GCF_001930875.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001930065.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002859465.fna.gz,pmultocida#1,80,11,4,40,10,8,7,7
GCF_003261335.fna.gz,pmultocida#1,206,13,8,8,29,31,7,22
GCF_001929705.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_000731745.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001931155.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002023885.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_002817545.fna.gz,pmultocida#1,-,,,20,19,20,3,14
GCF_002859365.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002948995.fna.gz,pmultocida#1,39,20,1,16,1,16,1,11
GCF_004287035.fna.gz,pmultocida#1,5,4,4,3,3,4,2,3
GCF_001929465.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001930115.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001930405.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002859485.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_004286955.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001930465.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002073295.fna.gz,pmultocida#1,60,24,11,25,25,21,2,4
GCF_003261435.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001930895.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002750755.fna.gz,pmultocida#1,-,13,8,8,,31,3,22
GCF_003261515.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_000754275.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_001929765.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001931185.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
