Genome,Scheme,ST,ack,aroE,ftsZ,glpK,gmk,pta1,tpiA
GCF_000612145.fna.gz,msciuri,45,2,21,16,21,12,20,8
GCF_001046995.fna.gz,msciuri,30,9,10,8,10,6,5,10
GCF_001051265.fna.gz,msciuri,69,13,24,17,23,14,22,17
GCF_001476555.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_001476575.fna.gz,msciuri,33,8,9,13,14,6,10,10
GCF_001476585.fna.gz,msciuri,33,8,9,13,14,6,10,10
GCF_001476955.fna.gz,msciuri,33,8,9,13,14,6,10,10
GCF_001477335.fna.gz,msciuri,33,8,9,13,14,6,10,10
GCF_001477395.fna.gz,msciuri,33,8,9,13,14,6,10,10
GCF_001477405.fna.gz,msciuri,33,8,9,13,14,6,10,10
GCF_001684285.fna.gz,msciuri,51,7,15,12,19,11,9,10
GCF_001766775.fna.gz,msciuri,49,7,8,12,19,11,9,18
GCF_001766785.fna.gz,msciuri,52,7,16,12,19,11,9,10
GCF_002091355.fna.gz,msciuri,66,11,9,13,14,6,17,10
GCF_002209165.fna.gz,msciuri,56,8,9,14,14,6,16,10
GCF_002407445.fna.gz,msciuri,67,12,22,7,22,11,21,10
GCF_002901825.fna.gz,msciuri,30,9,10,8,10,6,5,10
GCF_002902225.fna.gz,msciuri,40,2,1,10,5,9,2,12
GCF_003006205.fna.gz,msciuri,59,8,12,13,14,6,13,10
GCF_003041855.fna.gz,msciuri,31,1,1,1,5,2,2,1
GCF_003041875.fna.gz,msciuri,42,2,2,5,11,2,3,1
GCF_003041895.fna.gz,msciuri,57,8,11,13,14,6,11,10
GCF_003041915.fna.gz,msciuri,36,1,2,5,1,4,1,7
GCF_003041935.fna.gz,msciuri,30,9,10,8,10,6,5,10
GCF_003041945.fna.gz,msciuri,32,1,1,5,1,2,7,7
GCF_003041975.fna.gz,msciuri,30,9,10,8,10,6,5,10
GCF_003042135.fna.gz,msciuri,65,10,9,13,14,6,12,10
GCF_003042145.fna.gz,msciuri,43,2,17,6,5,4,2,1
GCF_003042195.fna.gz,msciuri,30,9,10,8,10,6,5,10
GCF_003042855.fna.gz,msciuri,70,14,25,18,24,15,23,12
GCF_003043075.fna.gz,msciuri,58,8,11,13,16,6,15,10
GCF_003043615.fna.gz,msciuri,34,2,2,1,5,8,2,1
GCF_003579375.fna.gz,msciuri,35,1,2,2,5,2,3,1
GCF_003579395.fna.gz,msciuri,-,1,1,1,-,17,25,20
GCF_003579425.fna.gz,msciuri,73,1,2,1,1,8,1,7
GCF_003579445.fna.gz,msciuri,39,2,1,9,5,4,3,1
