Genome,Scheme,ST,aspA,glnA,gltA,glyA,pgm,tkt,uncA,clonal_complex
GCF_000009085.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_000011865.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_000015525.fna.gz,cjejuni,604,1,2,3,27,5,9,3,ST-42 complex
GCF_000017905.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_000025425.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_000148705.fna.gz,cjejuni,137,4,7,10,4,42,7,1,ST-45 complex
GCF_000163975.fna.gz,cjejuni,841,64,99,78,104,139,108,16,
GCF_000168115.fna.gz,cjejuni,883,2,17,2,3,2,1,5,ST-21 complex
GCF_000168135.fna.gz,cjejuni,362,1,2,49,4,11,66,8,ST-362 complex
GCF_000168175.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_000168195.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000171795.fna.gz,cjejuni,1919,9,2,2,10,10,3,5,ST-52 complex
GCF_000184205.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_000234525.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_000234545.fna.gz,cjejuni,429,7,4,5,2,11,1,5,ST-48 complex
GCF_000242375.fna.gz,cjejuni,474,2,4,1,2,2,1,5,ST-48 complex
GCF_000242395.fna.gz,cjejuni,474,2,4,1,2,2,1,5,ST-48 complex
GCF_000254255.fna.gz,cjejuni,459,1,2,3,3,5,9,3,ST-42 complex
GCF_000254275.fna.gz,cjejuni,4834,103,2,5,2,156,3,6,ST-353 complex
GCF_000254295.fna.gz,cjejuni,4835,64,89,319,100,94,103,16,
GCF_000254315.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_000254335.fna.gz,cjejuni,791,7,97,5,2,135,68,26,
GCF_000254355.fna.gz,cjejuni,3504,7,55,5,10,11,68,6,ST-446 complex
GCF_000254375.fna.gz,cjejuni,4836,2,378,27,2,11,3,5,
GCF_000254395.fna.gz,cjejuni,46,2,21,5,3,2,1,5,ST-206 complex
GCF_000254415.fna.gz,cjejuni,4837,8,17,5,3,10,59,6,ST-353 complex
GCF_000254435.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_000254455.fna.gz,cjejuni,47,2,1,1,5,2,1,5,ST-21 complex
GCF_000254475.fna.gz,cjejuni,4840,2,4,27,122,11,1,5,ST-48 complex
GCF_000254495.fna.gz,cjejuni,4883,27,33,22,49,101,9,31,ST-1275 complex
GCF_000254515.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_000254535.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_000254555.fna.gz,cjejuni,4838,7,17,5,68,11,3,6,ST-353 complex
GCF_000254575.fna.gz,cjejuni,443,24,17,2,15,23,3,12,ST-443 complex
GCF_000254595.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000254615.fna.gz,cjejuni,1962,55,172,21,49,125,83,51,
GCF_000254635.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_000254655.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_000254675.fna.gz,cjejuni,658,2,4,2,4,19,3,6,ST-658 complex
GCF_000254695.fna.gz,cjejuni,2274,9,17,5,10,350,3,3,
GCF_000254715.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000254735.fna.gz,cjejuni,475,2,4,1,4,19,62,5,ST-48 complex
GCF_000254755.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_000254775.fna.gz,cjejuni,4839,9,17,2,2,86,3,309,
GCF_000254795.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_000254815.fna.gz,cjejuni,5159,7,17,5,2,167,457,6,ST-353 complex
GCF_000254835.fna.gz,cjejuni,939,7,2,5,2,156,3,6,ST-353 complex
GCF_000254855.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_000254875.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000254895.fna.gz,cjejuni,452,7,17,12,2,10,3,6,ST-353 complex
GCF_000254915.fna.gz,cjejuni,5161,1,4,2,2,225,1,17,ST-61 complex
GCF_000254935.fna.gz,cjejuni,132,1,6,22,24,12,28,1,ST-508 complex
GCF_000254955.fna.gz,cjejuni,122,6,4,5,2,2,1,5,ST-206 complex
GCF_000254975.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_000254995.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_000255015.fna.gz,cjejuni,38,2,4,2,2,6,1,5,ST-48 complex
GCF_000255035.fna.gz,cjejuni,806,2,1,1,3,140,3,5,ST-21 complex
GCF_000255055.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_000255075.fna.gz,cjejuni,380,7,2,6,10,78,37,1,
GCF_000255095.fna.gz,cjejuni,220,1,6,29,2,40,32,3,ST-179 complex
GCF_000283215.fna.gz,cjejuni,573,7,28,4,28,17,34,12,ST-573 complex
GCF_000285675.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000285695.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000285715.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000285735.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000285755.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000302555.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000304375.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_000314085.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_000314265.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_000314285.fna.gz,cjejuni,2381,175,251,216,282,359,293,102,
GCF_000314445.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_000314525.fna.gz,cjejuni,-,2,10,2,4,-,3,6,
GCF_000355825.fna.gz,cjejuni,2993,1,2,42,4,11,9,8,ST-362 complex
GCF_000355845.fna.gz,cjejuni,2993,1,2,42,4,11,9,8,ST-362 complex
