Genome,Scheme,ST,Cln_aspA,Cln_atpA,Cln_glnA,Cln_gltA,Cln_glyA,Cln_pgm,Cln_tkt,clonal_complex
GCF_002138435.fna.gz,clanienae,77,15,25,36,24,31,36,32,
GCF_002138445.fna.gz,clanienae,154,37,24,79,23,12,35,10,
GCF_002138455.fna.gz,clanienae,156,15,25,36,27,35,39,36,
GCF_002138485.fna.gz,clanienae,77,15,25,36,24,31,36,32,
GCF_002138515.fna.gz,clanienae,118,61,47,58,36,13,69,52,
GCF_002138525.fna.gz,clanienae,110,55,12,45,24,50,50,57,
GCF_002138535.fna.gz,clanienae,110,55,12,45,24,50,50,57,
GCF_002138565.fna.gz,clanienae,100,48,36,5,32,43,44,50,
GCF_002138595.fna.gz,clanienae,5,5,5,5,2,5,5,5,
GCF_002138605.fna.gz,clanienae,9,7,5,8,7,5,7,5,
GCF_002138615.fna.gz,clanienae,10,7,7,6,7,5,6,5,
GCF_002138635.fna.gz,clanienae,12,7,7,5,7,5,8,5,
GCF_002138675.fna.gz,clanienae,171,7,7,12,68,21,12,10,
GCF_002139215.fna.gz,clanienae,154,37,24,79,23,12,35,10,
GCF_002139235.fna.gz,clanienae,63,3,3,3,3,3,3,37,
GCF_002139255.fna.gz,clanienae,83,16,32,19,32,39,41,43,
GCF_002139265.fna.gz,clanienae,99,47,32,40,32,39,43,48,
GCF_002139275.fna.gz,clanienae,67,3,3,3,3,3,3,49,
GCF_002139315.fna.gz,clanienae,78,15,25,36,27,35,45,36,
GCF_002139335.fna.gz,clanienae,102,50,3,5,39,51,51,59,
GCF_002139345.fna.gz,clanienae,103,50,12,2,36,45,47,52,
GCF_002139375.fna.gz,clanienae,110,55,12,45,24,50,50,57,
GCF_002139385.fna.gz,clanienae,122,64,47,2,36,8,66,52,
GCF_002139415.fna.gz,clanienae,18,5,6,1,7,11,11,8,
GCF_002139425.fna.gz,clanienae,27,17,5,5,2,14,17,5,
GCF_002139915.fna.gz,clanienae,170,1,1,80,1,1,1,1,
GCF_002139935.fna.gz,clanienae,2,2,2,2,2,2,2,2,
GCF_008000475.fna.gz,clanienae,new_alleles,21,7,9,~19,29,~2,10,
GCF_008000595.fna.gz,clanienae,new_alleles,13,7,9,2,12,~31,22,
GCF_900446565.fna.gz,clanienae,170,1,1,80,1,1,1,1,
GCF_902385725.fna.gz,clanienae,2,2,2,2,2,2,2,2,
