Genome,Scheme,ST,lepA,trpB,gltB,recA,phaC,gyrB,atpD
GCF_001522625.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001411495.fna.gz,bcepacia_complex,10,4,48,4,4,4,44,5
GCF_001522305.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001526205.fna.gz,bcepacia_complex,1616,57,637,702,595,494,1047,528
GCF_001530055.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
GCF_003858065.fna.gz,bcepacia_complex,1397,1,21,55,103,1,913,1
GCF_001522815.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001524835.fna.gz,bcepacia_complex,1584,585,639,699,1,1,1043,1
GCF_001718835.fna.gz,bcepacia_complex,1615,57,637,700,595,492,1044,77
GCF_001038835.fna.gz,bcepacia_complex,-,3,21,,1,,,1
GCF_001523985.fna.gz,bcepacia_complex,962,5,3,52,113,5,3,6
GCF_003853765.fna.gz,bcepacia_complex,1434,523,21,563,325,1,944,479
GCF_001522965.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001525895.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_003853915.fna.gz,bcepacia_complex,1435,591,586,628,37,5,945,6
GCF_000755805.fna.gz,bcepacia_complex,807,11,147,11,143,6,271,16
GCF_001526755.fna.gz,bcepacia_complex,1619,3,21,708,598,3,1057,235
GCF_001526785.fna.gz,bcepacia_complex,795,400,388,386,103,1,572,4
GCF_001526905.fna.gz,bcepacia_complex,1590,658,21,455,1,500,1058,533
GCF_001528685.fna.gz,bcepacia_complex,1601,595,21,55,103,1,1041,1
GCF_001530135.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
GCF_003858205.fna.gz,bcepacia_complex,1423,585,21,386,103,1,935,472
GCF_000756845.fna.gz,bcepacia_complex,810,389,377,374,342,299,560,323
GCF_001522335.fna.gz,bcepacia_complex,1597,1,21,697,53,489,1035,1
GCF_003853955.fna.gz,bcepacia_complex,1405,573,567,386,103,1,919,1
GCF_001521975.fna.gz,bcepacia_complex,1589,656,21,195,1,62,1050,1
GCF_001522985.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001525925.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001526255.fna.gz,bcepacia_complex,1620,660,637,702,599,52,1059,528
GCF_003858175.fna.gz,bcepacia_complex,1444,595,21,55,103,1,952,1
GCF_001039005.fna.gz,bcepacia_complex,1617,655,642,703,596,495,1048,529
GCF_001522875.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001524125.fna.gz,bcepacia_complex,1583,573,21,195,1,279,1034,1
GCF_001525765.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001525785.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001530185.fna.gz,bcepacia_complex,1609,648,634,696,373,101,1032,525
GCF_004374695.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_001522695.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001528845.fna.gz,bcepacia_complex,10,4,48,4,4,4,44,5
GCF_003853975.fna.gz,bcepacia_complex,1397,1,21,55,103,1,913,1
GCF_000757365.fna.gz,bcepacia_complex,807,11,147,11,143,6,271,16
GCF_001526345.fna.gz,bcepacia_complex,795,400,388,386,103,1,572,4
GCF_001528485.fna.gz,bcepacia_complex,1594,3,21,195,37,3,48,75
GCF_001530665.fna.gz,bcepacia_complex,698,369,190,121,322,101,518,6
GCF_004375605.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_001522525.fna.gz,bcepacia_complex,1606,1,21,386,325,490,1036,1
GCF_001522215.fna.gz,bcepacia_complex,1597,1,21,697,53,489,1035,1
GCF_001052915.fna.gz,bcepacia_complex,-,,48,4,4,4,44,5
GCF_001524665.fna.gz,bcepacia_complex,1614,650,637,79,594,52,1039,77
GCF_003853995.fna.gz,bcepacia_complex,1397,1,21,55,103,1,913,1
GCF_001522925.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001523085.fna.gz,bcepacia_complex,1606,1,21,386,325,490,1036,1
GCF_001525775.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001525945.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_003858185.fna.gz,bcepacia_complex,1444,595,21,55,103,1,952,1
GCF_001522785.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_000974835.fna.gz,bcepacia_complex,472,291,20,21,24,13,18,30
GCF_001530085.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
GCF_003858195.fna.gz,bcepacia_complex,1443,365,592,635,550,4,951,482
GCF_001526445.fna.gz,bcepacia_complex,1598,57,637,79,92,492,1056,532
GCF_001529145.fna.gz,bcepacia_complex,1610,653,640,95,381,488,1028,6
GCF_003854415.fna.gz,bcepacia_complex,1427,41,48,623,544,226,937,473
GCF_001522945.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001523685.fna.gz,bcepacia_complex,1592,647,635,386,3,1,1033,4
GCF_003854425.fna.gz,bcepacia_complex,1439,44,589,631,114,286,50,6
GCF_001522295.fna.gz,bcepacia_complex,1607,645,21,705,325,497,1051,1
GCF_001053975.fna.gz,bcepacia_complex,10,4,48,4,4,4,44,5
GCF_001524765.fna.gz,bcepacia_complex,1593,1,48,704,37,496,1049,2
GCF_003854435.fna.gz,bcepacia_complex,1431,1,21,386,3,1,941,477
GCF_001522805.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001522575.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001525965.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
GCF_001528675.fna.gz,bcepacia_complex,1591,651,48,386,2,62,1040,2
GCF_001529525.fna.gz,bcepacia_complex,1582,3,21,695,1,1,1030,75
GCF_001529755.fna.gz,bcepacia_complex,1601,595,21,55,103,1,1041,1
GCF_001529885.fna.gz,bcepacia_complex,1588,654,21,58,1,493,1046,527
GCF_001530045.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
GCF_001530205.fna.gz,bcepacia_complex,1587,652,638,386,1,3,1042,526
GCF_001530415.fna.gz,bcepacia_complex,1609,648,634,696,373,101,1032,525
GCF_001530805.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
GCF_001531875.fna.gz,bcepacia_complex,1593,1,48,704,37,496,1049,2
GCF_001531915.fna.gz,bcepacia_complex,1608,5,3,52,373,5,3,6
GCF_001533295.fna.gz,bcepacia_complex,1611,591,641,701,551,95,1045,6
GCF_004376135.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_001530785.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
GCF_001532235.fna.gz,bcepacia_complex,1585,645,633,692,1,486,1026,1
GCF_001532885.fna.gz,bcepacia_complex,1581,3,21,336,1,1,1025,91
GCF_001532955.fna.gz,bcepacia_complex,1612,591,50,693,551,488,1028,6
GCF_001534085.fna.gz,bcepacia_complex,1603,647,21,694,103,1,1029,524
GCF_001536795.fna.gz,bcepacia_complex,795,400,388,386,103,1,572,4
GCF_002209085.fna.gz,bcepacia_complex,10,4,48,4,4,4,44,5
GCF_002942785.fna.gz,bcepacia_complex,-,595,21,195,1,,,181
GCF_003268125.fna.gz,bcepacia_complex,1400,427,48,612,37,93,912,2
GCF_003857475.fna.gz,bcepacia_complex,1461,41,51,642,114,38,955,6
GCF_001529685.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
GCF_001529825.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
GCF_001530005.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
