Genome,Scheme,ST,tpi,ilv,gmk,pta,pur,pyc,glp
GCF_000520915.fna.gz,bcereus,-,17,8,8,10,8,17,
GCF_001584005.fna.gz,bcereus,32,16,3,4,4,15,6,5
GCF_001619335.fna.gz,bcereus,1975,11,174,10,36,17,70,18
GCF_002196815.fna.gz,bcereus,2089,105,150,82,326,141,123,137
GCF_002199285.fna.gz,bcereus,1295,3,270,4,5,43,6,6
GCF_002199625.fna.gz,bcereus,90,3,41,4,5,43,46,6
GCF_002199825.fna.gz,bcereus,1295,3,270,4,5,43,6,6
GCF_001913455.fna.gz,bcereus,13,7,15,8,12,2,16,10
GCF_002552015.fna.gz,bcereus,119,7,49,8,12,2,36,47
GCF_002552315.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002550115.fna.gz,bcereus,1978,17,13,8,19,60,17,33
GCF_002200175.fna.gz,bcereus,8,7,16,8,13,2,16,7
GCF_001721145.fna.gz,bcereus,142,7,8,8,11,9,12,13
GCF_001044565.fna.gz,bcereus,2051,159,354,31,43,45,53,319
GCF_001566355.fna.gz,bcereus,996,181,42,4,4,16,6,6
GCF_001566455.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002000005.fna.gz,bcereus,177,10,9,47,11,68,12,13
GCF_002014705.fna.gz,bcereus,1968,10,9,8,28,4,12,13
GCF_000635895.fna.gz,bcereus,1001,7,14,9,12,206,14,46
GCF_002552045.fna.gz,bcereus,2088,229,305,159,308,282,228,276
GCF_002552335.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_001729295.fna.gz,bcereus,139,7,14,8,12,12,36,50
GCF_002003645.fna.gz,bcereus,104,19,33,12,37,48,31,24
GCF_002014665.fna.gz,bcereus,4,7,8,8,11,11,12,13
GCF_002200185.fna.gz,bcereus,2044,269,101,66,77,319,83,92
GCF_002201685.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001584025.fna.gz,bcereus,223,63,35,26,42,39,41,43
GCF_002550135.fna.gz,bcereus,2055,128,223,181,322,118,107,213
GCF_002550375.fna.gz,bcereus,610,115,157,85,144,143,130,146
GCF_001566365.fna.gz,bcereus,164,4,63,2,5,36,3,3
GCF_001044585.fna.gz,bcereus,1050,166,93,1,214,51,37,65
GCF_002199125.fna.gz,bcereus,2103,7,14,71,331,24,14,46
GCF_002199225.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001913465.fna.gz,bcereus,205,2,21,2,5,19,3,19
GCF_002199635.fna.gz,bcereus,1985,43,83,1,1,55,37,342
GCF_002199745.fna.gz,bcereus,1295,3,270,4,5,43,6,6
GCF_000688755.fna.gz,bcereus,78,5,33,22,37,34,38,24
GCF_001584065.fna.gz,bcereus,667,11,79,10,53,22,129,8
GCF_001619355.fna.gz,bcereus,992,174,233,36,56,53,178,201
GCF_002552115.fna.gz,bcereus,2100,7,400,8,26,292,36,314
GCF_002552485.fna.gz,bcereus,1947,7,14,9,12,24,14,11
GCF_002550155.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002201555.fna.gz,bcereus,363,81,9,8,107,9,12,13
GCF_002007005.fna.gz,bcereus,78,5,33,22,37,34,38,24
GCF_002199645.fna.gz,bcereus,2090,100,373,117,204,191,172,197
GCF_002199755.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001729445.fna.gz,bcereus,-,17,,8,19,2,17,33
GCF_001913475.fna.gz,bcereus,1951,7,18,9,18,24,21,37
GCF_001913555.fna.gz,bcereus,8,7,16,8,13,2,16,7
GCF_002199155.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002199315.fna.gz,bcereus,1295,3,270,4,5,43,6,6
GCF_001584095.fna.gz,bcereus,1032,3,123,4,118,43,6,117
GCF_002552195.fna.gz,bcereus,2064,26,353,193,344,322,250,332
GCF_002552455.fna.gz,bcereus,1955,7,14,28,12,37,25,99
GCF_000743195.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_000743815.fna.gz,bcereus,33,7,18,9,18,20,19,22
GCF_002014485.fna.gz,bcereus,1095,79,104,139,69,221,92,108
GCF_002014895.fna.gz,bcereus,1099,10,241,8,11,9,12,227
GCF_002550265.fna.gz,bcereus,25,7,16,8,13,2,16,30
GCF_002550555.fna.gz,bcereus,1954,7,166,8,44,2,25,47
GCF_002201605.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001880305.fna.gz,bcereus,463,19,33,22,37,48,31,24
GCF_002199675.fna.gz,bcereus,1988,90,132,23,116,38,37,3
GCF_002199765.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001913485.fna.gz,bcereus,1295,3,270,4,5,43,6,6
GCF_002199165.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002199265.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001044635.fna.gz,bcereus,1989,91,122,2,5,19,3,324
GCF_001566375.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_001566465.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_001584105.fna.gz,bcereus,1082,24,238,1,1,18,33,34
GCF_001619385.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002552275.fna.gz,bcereus,1960,7,15,28,44,2,36,40
GCF_002552505.fna.gz,bcereus,1964,7,15,8,26,138,50,40
GCF_000743865.fna.gz,bcereus,164,4,63,2,5,36,3,3
GCF_002550315.fna.gz,bcereus,2075,7,166,8,26,308,36,40
GCF_002550515.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002201645.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001883865.fna.gz,bcereus,34,17,13,8,19,2,17,33
GCF_001913535.fna.gz,bcereus,1943,2,31,2,5,19,3,19
