Genome,Scheme,ST,pta,tuf,ack,fdh,purA,sar,cpn60
GCF_002950775.fna.gz,spseudintermedius,2005,2,1,12,2,8,1,2
GCF_002766965.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767915.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002768095.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_002767615.fna.gz,spseudintermedius,261,1,2,5,4,11,2,7
GCF_002768455.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_002847235.fna.gz,spseudintermedius,885,4,2,3,3,19,1,7
GCF_002768205.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767355.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_001622965.fna.gz,spseudintermedius,990,20,1,1,2,11,1,3
GCF_003185385.fna.gz,spseudintermedius,501,1,2,8,2,7,1,43
GCF_003185465.fna.gz,spseudintermedius,498,1,2,1,1,11,2,13
GCF_002366365.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_002922545.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002922675.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_003185175.fna.gz,spseudintermedius,497,1,1,1,2,1,1,11
GCF_003185525.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002768475.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767365.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_002767625.fna.gz,spseudintermedius,334,1,1,5,4,11,2,7
GCF_002767805.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_002922555.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_003185535.fna.gz,spseudintermedius,-,1,1,1,2,1,1,
GCF_001623005.fna.gz,spseudintermedius,990,20,1,1,2,11,1,3
GCF_003185195.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_003185305.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_002767055.fna.gz,spseudintermedius,261,1,2,5,4,11,2,7
GCF_002767925.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002768105.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_002366375.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_003185395.fna.gz,spseudintermedius,84,1,2,2,2,5,1,10
GCF_003185485.fna.gz,spseudintermedius,316,1,2,2,1,13,2,9
GCF_002976235.fna.gz,spseudintermedius,930,1,1,2,3,1,2,81
GCF_002768215.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_002767375.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767065.fna.gz,spseudintermedius,265,1,2,5,4,3,1,13
GCF_002847165.fna.gz,spseudintermedius,888,1,2,27,2,11,24,7
GCF_002847265.fna.gz,spseudintermedius,890,2,2,27,2,11,1,2
GCF_003185215.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_003185555.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_002767695.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_002366395.fna.gz,spseudintermedius,282,1,1,3,2,2,1,2
GCF_002922565.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002922705.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_001682335.fna.gz,spseudintermedius,84,1,2,2,2,5,1,10
GCF_002767945.fna.gz,spseudintermedius,307,1,2,5,2,11,2,7
GCF_002768155.fna.gz,spseudintermedius,342,1,2,5,4,11,1,7
GCF_003185425.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_003185565.fna.gz,spseudintermedius,499,1,1,5,2,7,2,7
GCF_002976255.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_002768225.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_002767115.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002847175.fna.gz,spseudintermedius,889,1,2,27,11,54,1,8
GCF_002902125.fna.gz,spseudintermedius,494,1,1,3,1,52,2,24
GCF_001682435.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767705.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767815.fna.gz,spseudintermedius,261,1,2,5,4,11,2,7
GCF_003185225.fna.gz,spseudintermedius,316,1,2,2,1,13,2,9
GCF_003185605.fna.gz,spseudintermedius,283,4,2,1,10,1,2,24
GCF_002366435.fna.gz,spseudintermedius,121,1,1,2,3,1,2,9
GCF_002767985.fna.gz,spseudintermedius,350,1,2,5,11,11,2,13
GCF_002768355.fna.gz,spseudintermedius,312,1,2,1,4,11,2,13
GCF_002922575.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_003185615.fna.gz,spseudintermedius,316,1,2,2,1,13,2,9
GCF_002767445.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002976305.fna.gz,spseudintermedius,924,1,1,1,4,20,1,11
GCF_003185105.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002768275.fna.gz,spseudintermedius,277,1,2,5,4,11,1,13
GCF_002847205.fna.gz,spseudintermedius,887,4,1,1,4,1,3,2
GCF_003185145.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767125.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767765.fna.gz,spseudintermedius,336,1,2,5,2,11,2,18
GCF_002767885.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_003185445.fna.gz,spseudintermedius,500,1,2,8,1,7,1,43
GCF_003185635.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_001792775.fna.gz,spseudintermedius,494,1,1,3,1,52,2,24
GCF_002366445.fna.gz,spseudintermedius,282,1,1,3,2,2,1,2
GCF_002766935.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_003185255.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_003185785.fna.gz,spseudintermedius,498,1,2,1,1,11,2,13
GCF_002768035.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767475.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002922625.fna.gz,spseudintermedius,84,1,2,2,2,5,1,10
GCF_003185065.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_003185095.fna.gz,spseudintermedius,525,1,1,1,2,1,2,24
GCF_003185815.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_002768335.fna.gz,spseudintermedius,346,1,2,5,4,11,1,18
GCF_002847225.fna.gz,spseudintermedius,886,1,14,4,2,1,2,7
GCF_003185325.fna.gz,spseudintermedius,547,1,2,5,4,1,4,19
GCF_002767135.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002767795.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_002768365.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_003185455.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_003337115.fna.gz,spseudintermedius,718,2,1,3,2,1,1,13
GCF_003185295.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_001940385.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002369795.fna.gz,spseudintermedius,553,19,1,1,7,47,21,37
GCF_002766945.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002768045.fna.gz,spseudintermedius,350,1,2,5,11,11,2,13
GCF_002922635.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002922645.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_003383635.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_002767485.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_003185075.fna.gz,spseudintermedius,497,1,1,1,2,1,1,11
GCF_003185365.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_002768345.fna.gz,spseudintermedius,261,1,2,5,4,11,2,7
GCF_002768435.fna.gz,spseudintermedius,265,1,2,5,4,3,1,13
GCF_007050545.fna.gz,spseudintermedius,68,4,1,1,1,1,1,10
GCF_002767245.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_004166355.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_004166445.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166685.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004320065.fna.gz,spseudintermedius,815,1,2,2,1,6,5,2
GCF_006383175.fna.gz,spseudintermedius,1051,1,2,1,1,16,1,13
GCF_012275735.fna.gz,spseudintermedius,1602,1,1,2,3,11,2,11
GCF_002362305.fna.gz,spseudintermedius,429,1,1,1,4,13,1,7
GCF_004322625.fna.gz,spseudintermedius,878,4,2,6,1,7,1,43
GCF_008121295.fna.gz,spseudintermedius,1323,2,1,2,4,11,1,13
GCF_002767145.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382055.fna.gz,spseudintermedius,1049,4,1,2,2,1,1,10
GCF_009183675.fna.gz,spseudintermedius,1412,8,2,3,2,1,1,2
GCF_002767575.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166495.fna.gz,spseudintermedius,1173,1,1,6,2,11,2,10
GCF_004166855.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382445.fna.gz,spseudintermedius,150,1,2,1,1,1,1,10
GCF_009184825.fna.gz,spseudintermedius,585,1,1,2,2,1,2,31
GCF_002767295.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166375.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166455.fna.gz,spseudintermedius,498,1,2,1,1,11,2,13
GCF_004166775.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_004320075.fna.gz,spseudintermedius,1335,1,2,1,1,11,5,13
GCF_007050485.fna.gz,spseudintermedius,-,1,2,2,2,5,1,
GCF_012275775.fna.gz,spseudintermedius,181,24,1,3,2,20,1,11
GCF_002362325.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_006382215.fna.gz,spseudintermedius,929,1,1,1,2,6,3,29
GCF_009184785.fna.gz,spseudintermedius,585,1,1,2,2,1,2,31
GCF_002767495.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166595.fna.gz,spseudintermedius,84,1,2,2,2,5,1,10
GCF_004166865.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382455.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_009649855.fna.gz,spseudintermedius,-,4,1,1,4,3,1,21
GCF_002767605.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_003383805.fna.gz,spseudintermedius,525,1,1,1,2,1,2,24
GCF_003383845.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_003383915.fna.gz,spseudintermedius,749,1,2,1,2,13,2,2
GCF_003383975.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_003383995.fna.gz,spseudintermedius,68,4,1,1,1,1,1,10
GCF_004001305.fna.gz,spseudintermedius,2141,1,1,2,2,1,1,9
GCF_004166435.fna.gz,spseudintermedius,84,1,2,2,2,5,1,10
GCF_004166635.fna.gz,spseudintermedius,277,1,2,5,4,11,1,13
GCF_004307355.fna.gz,spseudintermedius,879,8,1,8,6,11,1,73
GCF_006382515.fna.gz,spseudintermedius,634,1,1,4,2,11,1,8
GCF_009877175.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_002366355.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_002766955.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_003383655.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_003383685.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_003383735.fna.gz,spseudintermedius,751,1,5,1,4,1,2,75
GCF_003383745.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_003383795.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_003383815.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_003383875.fna.gz,spseudintermedius,-,1,1,2,4,,2,9
GCF_003383905.fna.gz,spseudintermedius,-,1,1,2,4,,2,9
GCF_003383925.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_003383985.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_003627735.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166335.fna.gz,spseudintermedius,749,1,2,1,2,13,2,2
GCF_004166345.fna.gz,spseudintermedius,749,1,2,1,2,13,2,2
GCF_004166385.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_004166465.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_004166535.fna.gz,spseudintermedius,84,1,2,2,2,5,1,10
GCF_004166575.fna.gz,spseudintermedius,1172,4,2,2,1,5,2,10
GCF_004166695.fna.gz,spseudintermedius,1171,1,1,1,2,13,2,2
GCF_004166735.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166755.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166765.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_004166875.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_004307335.fna.gz,spseudintermedius,1045,1,20,4,2,11,5,13
GCF_004322615.fna.gz,spseudintermedius,824,1,1,2,3,10,4,9
GCF_004794815.fna.gz,spseudintermedius,1291,1,2,1,2,1,1,43
GCF_006382015.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_006382125.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382235.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382305.fna.gz,spseudintermedius,926,2,2,1,4,6,2,11
GCF_006382545.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_009877195.fna.gz,spseudintermedius,1403,1,2,3,4,1,2,9
GCF_004166785.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_006382275.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_006382495.fna.gz,spseudintermedius,927,23,2,36,2,11,5,7
GCF_006382555.fna.gz,spseudintermedius,281,2,2,4,2,1,2,31
GCF_009877245.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166545.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_004166645.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004307375.fna.gz,spseudintermedius,865,1,2,5,1,11,1,6
GCF_006382595.fna.gz,spseudintermedius,298,1,2,1,2,5,5,10
GCF_006406235.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_007050525.fna.gz,spseudintermedius,68,4,1,1,1,1,1,10
GCF_013285265.fna.gz,spseudintermedius,551,1,1,5,2,1,1,9
GCF_004794825.fna.gz,spseudintermedius,1050,1,1,3,2,5,1,10
GCF_004794845.fna.gz,spseudintermedius,283,4,2,1,10,1,2,24
GCF_006381905.fna.gz,spseudintermedius,1293,1,1,3,2,5,1,20
GCF_006382135.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382195.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382315.fna.gz,spseudintermedius,266,1,1,2,2,5,1,10
GCF_006382405.fna.gz,spseudintermedius,-,1,2,3,2,,1,2
