Genome,Scheme,ST,TP0136,TP0548,TP0705,clonal_complex
GCF_000008605.fna.gz,tpallidum,20,10,14,10,Nichols-like
GCF_000017825.fna.gz,tpallidum,19,1,1,10,SS14-like
GCF_000024485.fna.gz,tpallidum,20,10,14,10,Nichols-like
GCF_000246755.fna.gz,tpallidum,-,-,-,10,
GCF_000246775.fna.gz,tpallidum,-,-,-,10,
GCF_000246795.fna.gz,tpallidum,-,-,-,10,
GCF_000246815.fna.gz,tpallidum,22,11,14,10,Nichols-like
GCF_000304295.fna.gz,tpallidum,21,1,13,10,SS14-like
GCF_000387485.fna.gz,tpallidum,-,-,-,10,
GCF_000410535.fna.gz,tpallidum,20,10,14,10,Nichols-like
GCF_000410555.fna.gz,tpallidum,19,1,1,10,SS14-like
GCF_000813285.fna.gz,tpallidum,-,-,-,10,
GCF_001628695.fna.gz,tpallidum,24,6,1,8,SS14-like
GCF_001655235.fna.gz,tpallidum,new_alleles,~28,14,10,
GCF_001655275.fna.gz,tpallidum,new_alleles,~28,14,10,
GCF_001655315.fna.gz,tpallidum,20,10,14,10,Nichols-like
GCF_001655355.fna.gz,tpallidum,new_alleles,~28,14,10,
GCF_001655395.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001655435.fna.gz,tpallidum,26,9,7,3,Nichols-like
GCF_001655475.fna.gz,tpallidum,11,1,1,3,SS14-like
GCF_001655515.fna.gz,tpallidum,11,1,1,3,SS14-like
GCF_001655555.fna.gz,tpallidum,27,1,1,9,SS14-like
GCF_001712895.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_001712915.fna.gz,tpallidum,4,7,1,9,SS14-like
GCF_001712935.fna.gz,tpallidum,4,7,1,9,SS14-like
GCF_001712955.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001712975.fna.gz,tpallidum,4,7,1,9,SS14-like
GCF_001712995.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_001713015.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_001713035.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001713055.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_001713075.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001713095.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001713115.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_001713135.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_001713155.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_001713175.fna.gz,tpallidum,4,7,1,9,SS14-like
GCF_001713195.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001713215.fna.gz,tpallidum,4,7,1,9,SS14-like
GCF_001713235.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001713255.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001713275.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001713295.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001713315.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001713335.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001761515.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_001761565.fna.gz,tpallidum,1,1,3,1,SS14-like
