Genome,Scheme,ST,metG,pntA,glpF,toxR,gyrB,pyrC
GCF_005819805.fna.gz,pdamselae,-,11,5,14,13,15,
GCF_005819825.fna.gz,pdamselae,-,11,5,14,13,15,
GCF_006297395.fna.gz,pdamselae,-,21,5,20,,,
GCF_008806825.fna.gz,pdamselae,-,,,3,,,3
GCF_900454585.fna.gz,pdamselae,22,18,15,3,24,9,9
GCF_900454595.fna.gz,pdamselae,-,16,7,,,,4
GCF_900454675.fna.gz,pdamselae,-,,1,,24,10,
GCF_003355625.fna.gz,pdamselae,56,22,18,17,30,25,26
GCF_004135105.fna.gz,pdamselae,-,7,9,7,1,2,1
GCF_004683985.fna.gz,pdamselae,46,6,16,19,26,20,20
GCF_004794735.fna.gz,pdamselae,-,,4,,6,10,
GCF_005048985.fna.gz,pdamselae,-,6,,19,,,
GCF_005819835.fna.gz,pdamselae,-,,5,20,,,13
GCF_005819845.fna.gz,pdamselae,-,,,,,,
GCF_005819885.fna.gz,pdamselae,-,,,,,,
GCF_006124795.fna.gz,pdamselae,-,22,,17,30,25,26
GCF_006124835.fna.gz,pdamselae,56,22,18,17,30,25,26
GCF_006124915.fna.gz,pdamselae,56,22,18,17,30,25,26
GCF_008806795.fna.gz,pdamselae,-,24,,,8,9,9
GCF_009665375.fna.gz,pdamselae,-,16,,,,,
GCF_009763125.fna.gz,pdamselae,-,,23,,,,7
GCF_013371045.fna.gz,pdamselae,-,,,7,33,,
GCF_013377875.fna.gz,pdamselae,-,,,,,,
GCF_014525015.fna.gz,pdamselae,-,,,18,3,,
GCF_013371545.fna.gz,pdamselae,-,,,,,,
GCF_013377605.fna.gz,pdamselae,-,16,7,,,,4
GCF_013377775.fna.gz,pdamselae,-,,2,,,,7
GCF_014930975.fna.gz,pdamselae,1,9,3,7,1,1,5
GCF_015602445.fna.gz,pdamselae,-,,,3,,,3
GCF_014042565.fna.gz,pdamselae,-,,,,,,
GCF_014525275.fna.gz,pdamselae,45,7,3,7,1,2,1
GCF_000176795.fna.gz,pdamselae,22,18,15,3,24,9,9
GCF_000300355.fna.gz,pdamselae,-,6,,19,,,
GCF_001676145.fna.gz,pdamselae,-,16,,,,14,
GCF_001707815.fna.gz,pdamselae,-,25,,20,,,13
GCF_001708035.fna.gz,pdamselae,-,24,,,8,,4
GCF_001729115.fna.gz,pdamselae,-,16,,,,,
GCF_002142615.fna.gz,pdamselae,-,7,9,7,1,2,1
GCF_002157645.fna.gz,pdamselae,-,6,,19,26,20,20
GCF_002356235.fna.gz,pdamselae,-,6,,19,26,20,20
GCF_003004505.fna.gz,pdamselae,-,23,,,24,10,
GCF_003004585.fna.gz,pdamselae,-,,,17,,10,
GCF_003004595.fna.gz,pdamselae,-,,,17,,10,4
GCF_003004605.fna.gz,pdamselae,-,12,,,8,,
GCF_003025675.fna.gz,pdamselae,-,16,,,,14,
GCF_003026245.fna.gz,pdamselae,46,6,16,19,26,20,20
GCF_003026775.fna.gz,pdamselae,46,6,16,19,26,20,20
GCF_003026815.fna.gz,pdamselae,22,18,15,3,24,9,9
GCF_003130755.fna.gz,pdamselae,-,,7,8,8,10,4
GCF_004684005.fna.gz,pdamselae,-,6,,19,,,
