Genome,Scheme,ST,aroA,cpn60,dpr,gki,mutS,recA,thrA,clonal_complex
GCF_000018185.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000026725.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_000026745.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000091905.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000167375.fna.gz,ssuis,-,9,-,5,34,30,3,25,
GCF_000168355.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000186405.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_000204625.fna.gz,ssuis,35,31,30,5,34,31,4,25,
GCF_000231325.fna.gz,ssuis,776,137,145,204,103,137,38,98,
GCF_000231865.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000231885.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000231905.fna.gz,ssuis,619,17,11,5,7,220,162,6,
GCF_000231925.fna.gz,ssuis,13,1,12,1,1,6,21,21,
GCF_000233575.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_000294495.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000344765.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_000390245.fna.gz,ssuis,664,15,68,42,4,16,6,12,
GCF_000440075.fna.gz,ssuis,329,16,110,98,136,133,106,81,
GCF_000440095.fna.gz,ssuis,319,46,110,100,103,137,38,12,
GCF_000440115.fna.gz,ssuis,331,120,144,107,137,142,114,99,
GCF_000440135.fna.gz,ssuis,953,91,140,74,129,314,34,81,
GCF_000440155.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000440175.fna.gz,ssuis,332,121,64,74,103,141,39,98,
GCF_000440195.fna.gz,ssuis,872,91,77,99,138,133,37,100,
GCF_000440215.fna.gz,ssuis,7,1,1,1,1,1,1,3,
GCF_000440255.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000440275.fna.gz,ssuis,53,8,6,18,20,28,7,5,
GCF_000440295.fna.gz,ssuis,91,31,18,5,12,41,10,18,
GCF_000440315.fna.gz,ssuis,6,1,1,1,1,1,1,2,
GCF_000440335.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_000440355.fna.gz,ssuis,481,161,195,143,177,174,136,124,
GCF_000440375.fna.gz,ssuis,new_ST,263,58,192,167,161,38,113,
GCF_000440395.fna.gz,ssuis,82,25,34,29,5,34,19,28,
GCF_000440415.fna.gz,ssuis,55,25,37,15,41,15,23,10,
GCF_000440435.fna.gz,ssuis,56,1,2,17,36,29,21,15,
GCF_000440455.fna.gz,ssuis,73,33,37,2,19,13,5,12,
GCF_000440475.fna.gz,ssuis,78,23,11,5,7,22,20,8,
GCF_000440495.fna.gz,ssuis,35,31,30,5,34,31,4,25,
GCF_000440515.fna.gz,ssuis,54,8,6,18,20,28,7,4,
GCF_000440535.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000440555.fna.gz,ssuis,-,264,197,202,302,-,220,127,
GCF_000440575.fna.gz,ssuis,775,239,266,2,38,4,192,149,
GCF_000440595.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_000440615.fna.gz,ssuis,483,8,21,3,45,44,22,23,
GCF_000440635.fna.gz,ssuis,69,23,33,22,30,3,15,12,
GCF_000440655.fna.gz,ssuis,new_ST,265,197,202,220,344,102,127,
GCF_000440675.fna.gz,ssuis,72,12,9,33,3,19,35,19,
GCF_000440695.fna.gz,ssuis,92,16,4,34,17,42,37,13,
GCF_000440715.fna.gz,ssuis,77,39,38,7,32,11,3,8,
GCF_000440735.fna.gz,ssuis,70,38,28,30,15,32,26,7,
GCF_000440755.fna.gz,ssuis,76,8,23,36,24,21,22,12,
GCF_000440775.fna.gz,ssuis,79,8,21,36,45,21,22,12,
GCF_000440795.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000440815.fna.gz,ssuis,308,18,136,24,12,1,10,4,
GCF_000440835.fna.gz,ssuis,81,22,1,20,21,4,21,26,
GCF_000440855.fna.gz,ssuis,76,8,23,36,24,21,22,12,
GCF_000440875.fna.gz,ssuis,946,265,197,215,303,176,138,128,
GCF_000440895.fna.gz,ssuis,68,14,20,31,27,27,34,18,
GCF_000440915.fna.gz,ssuis,75,25,32,9,15,9,13,8,
GCF_000440935.fna.gz,ssuis,13,1,12,1,1,6,21,21,
GCF_000440955.fna.gz,ssuis,306,90,30,11,107,16,77,18,
GCF_000440975.fna.gz,ssuis,17,8,1,5,12,1,10,1,
GCF_000440995.fna.gz,ssuis,308,18,136,24,12,1,10,4,
GCF_000441015.fna.gz,ssuis,309,82,137,28,123,132,71,93,
GCF_000441035.fna.gz,ssuis,327,119,143,105,134,76,69,44,
GCF_000441055.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000441075.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000441095.fna.gz,ssuis,310,113,110,98,124,133,106,94,
GCF_000441115.fna.gz,ssuis,328,108,64,106,135,141,39,98,
GCF_000441135.fna.gz,ssuis,311,23,11,5,125,22,107,8,
GCF_000441155.fna.gz,ssuis,312,114,138,99,126,134,106,81,
GCF_000441175.fna.gz,ssuis,313,90,30,11,7,107,77,18,
GCF_000441195.fna.gz,ssuis,314,87,106,71,127,84,108,56,
GCF_000441215.fna.gz,ssuis,315,45,46,30,72,135,6,55,
GCF_000441235.fna.gz,ssuis,316,115,139,7,32,9,3,55,
GCF_000441255.fna.gz,ssuis,304,74,2,5,45,130,105,18,
GCF_000441275.fna.gz,ssuis,317,116,67,44,128,43,109,12,
GCF_000441295.fna.gz,ssuis,318,90,30,11,7,136,77,18,
GCF_000441315.fna.gz,ssuis,952,13,347,131,54,313,221,12,
GCF_000441335.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000441355.fna.gz,ssuis,330,16,110,98,136,133,113,81,
GCF_000441375.fna.gz,ssuis,318,90,30,11,7,136,77,18,
GCF_000441395.fna.gz,ssuis,313,90,30,11,7,107,77,18,
GCF_000441415.fna.gz,ssuis,345,118,150,101,39,148,110,95,
GCF_000441435.fna.gz,ssuis,32,8,30,5,34,30,21,4,
GCF_000441455.fna.gz,ssuis,321,31,141,101,130,132,110,95,
GCF_000441475.fna.gz,ssuis,334,122,145,108,54,143,38,101,
GCF_000441495.fna.gz,ssuis,305,16,135,96,122,131,37,92,
GCF_000471985.fna.gz,ssuis,35,31,30,5,34,31,4,25,
GCF_000494895.fna.gz,ssuis,19,1,8,24,12,1,10,4,
GCF_000732355.fna.gz,ssuis,54,8,6,18,20,28,7,4,
GCF_000876695.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876715.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876735.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876755.fna.gz,ssuis,855,31,8,24,12,1,10,4,
GCF_000876775.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876795.fna.gz,ssuis,94,8,21,5,45,44,22,4,
GCF_000876815.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876835.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876855.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876875.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876895.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876915.fna.gz,ssuis,107,1,1,43,1,1,1,1,
GCF_000876935.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876955.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876975.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000876995.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000877015.fna.gz,ssuis,792,62,45,39,49,6,42,34,
GCF_000877035.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000877055.fna.gz,ssuis,792,62,45,39,49,6,42,34,
GCF_000877075.fna.gz,ssuis,144,1,30,1,1,1,1,1,
GCF_000877095.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000877115.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000877135.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000877155.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000877175.fna.gz,ssuis,951,1,1,1,1,316,1,1,
GCF_000877195.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000877215.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000877235.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000935945.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000936025.fna.gz,ssuis,885,256,344,232,128,220,26,56,
GCF_000936045.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936145.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000936285.fna.gz,ssuis,871,25,68,9,4,7,30,12,
GCF_000936305.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936325.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000936385.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936515.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936535.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936555.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936575.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936615.fna.gz,ssuis,902,49,10,8,298,76,32,170,
GCF_000936655.fna.gz,ssuis,46,17,3,21,7,14,6,8,
GCF_000936675.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000936695.fna.gz,ssuis,949,25,39,226,25,315,215,8,
GCF_000936735.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000936795.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936815.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936835.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936855.fna.gz,ssuis,876,37,339,227,296,304,217,36,
GCF_000936875.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936895.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936915.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_000936935.fna.gz,ssuis,144,1,30,1,1,1,1,1,
GCF_000936955.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000936975.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000936995.fna.gz,ssuis,1,1,1,1,1,1,1,1,
