Genome,Scheme,ST,pepO,mcmA,hagB,pga,recA,ftsQ,gpdxJ
GCF_002753955.fna.gz,pgingivalis,-,6,3,1,3,2,4,
GCF_002754015.fna.gz,pgingivalis,-,2,1,21,7,1,19,10
GCF_002754035.fna.gz,pgingivalis,-,17,24,3,3,1,30,5
GCF_002892575.fna.gz,pgingivalis,96,1,1,1,5,5,5,9
GCF_002529155.fna.gz,pgingivalis,-,10,26,19,7,2,10,6
GCF_002529345.fna.gz,pgingivalis,30,8,16,20,3,2,3,6
GCF_002529365.fna.gz,pgingivalis,-,8,,1,7,2,14,4
GCF_002529375.fna.gz,pgingivalis,-,17,5,3,7,2,17,32
GCF_002753935.fna.gz,pgingivalis,-,10,3,1,7,1,11,22
GCF_002754075.fna.gz,pgingivalis,-,17,17,,15,1,16,9
GCF_002529285.fna.gz,pgingivalis,-,6,,1,25,1,28,
GCF_002529355.fna.gz,pgingivalis,-,8,3,1,7,8,,35
GCF_002529425.fna.gz,pgingivalis,-,8,3,,17,4,1,8
GCF_002204455.fna.gz,pgingivalis,-,14,17,,20,3,17,
GCF_002529185.fna.gz,pgingivalis,-,21,3,3,,14,21,8
GCF_002529215.fna.gz,pgingivalis,-,,3,1,3,,33,
GCF_002753975.fna.gz,pgingivalis,-,17,3,6,3,1,16,20
GCF_002754055.fna.gz,pgingivalis,-,17,17,3,15,1,16,9
GCF_002754095.fna.gz,pgingivalis,-,8,4,1,15,1,,22
GCF_002754115.fna.gz,pgingivalis,-,21,3,14,,14,15,
GCF_002754135.fna.gz,pgingivalis,-,6,3,1,12,1,36,5
GCF_002754155.fna.gz,pgingivalis,-,17,24,3,3,1,30,5
GCF_002892555.fna.gz,pgingivalis,-,10,4,22,,1,29,
GCF_002892595.fna.gz,pgingivalis,24,1,4,1,3,5,16,6
GCF_003862255.fna.gz,pgingivalis,-,6,29,9,25,1,17,34
GCF_004214945.fna.gz,pgingivalis,-,17,26,1,7,2,17,9
GCF_018141765.fna.gz,pgingivalis,-,,,1,3,1,18,5
GCF_900157215.fna.gz,pgingivalis,-,1,1,1,9,5,,10
GCF_900157235.fna.gz,pgingivalis,-,,17,,18,5,17,20
GCF_900157255.fna.gz,pgingivalis,-,17,23,1,21,5,,
GCF_900157275.fna.gz,pgingivalis,-,3,3,6,3,1,16,20
GCF_900157295.fna.gz,pgingivalis,-,8,3,1,23,2,5,32
GCF_900157345.fna.gz,pgingivalis,-,10,3,,3,5,17,6
GCF_004214925.fna.gz,pgingivalis,-,6,9,,3,,33,
GCF_018141745.fna.gz,pgingivalis,-,,,1,3,1,18,5
GCF_018141805.fna.gz,pgingivalis,-,6,8,1,,1,19,3
GCF_900157225.fna.gz,pgingivalis,-,12,12,31,3,2,3,6
GCF_900157245.fna.gz,pgingivalis,-,,4,12,3,5,19,3
GCF_900157265.fna.gz,pgingivalis,1,1,1,1,1,1,1,12
GCF_900157285.fna.gz,pgingivalis,-,6,16,,15,1,6,
GCF_900157325.fna.gz,pgingivalis,-,17,8,1,5,1,30,5
GCF_000467955.fna.gz,pgingivalis,-,6,26,,2,2,,28
GCF_000467975.fna.gz,pgingivalis,-,,16,1,,1,,23
GCF_000503975.fna.gz,pgingivalis,-,17,23,,5,6,4,
GCF_002206085.fna.gz,pgingivalis,-,,17,,3,,,12
GCF_002529125.fna.gz,pgingivalis,-,7,16,13,3,1,10,5
GCF_002529205.fna.gz,pgingivalis,30,8,16,1,3,2,3,6
GCF_001444325.fna.gz,pgingivalis,1,1,1,1,1,1,1,12
GCF_001553795.fna.gz,pgingivalis,-,8,17,1,7,2,30,5
GCF_002206065.fna.gz,pgingivalis,-,17,23,,5,6,4,
GCF_000467995.fna.gz,pgingivalis,30,8,16,1,3,2,3,6
GCF_000739415.fna.gz,pgingivalis,14,1,1,1,9,5,5,9
GCF_001263815.fna.gz,pgingivalis,25,1,4,2,3,5,16,6
GCF_001274615.fna.gz,pgingivalis,-,20,3,6,3,7,21,23
GCF_002206105.fna.gz,pgingivalis,-,23,17,1,20,1,4,32
GCF_002208045.fna.gz,pgingivalis,-,29,5,3,7,,30,26
GCF_002529145.fna.gz,pgingivalis,-,6,3,1,10,6,17,5
GCF_001297745.fna.gz,pgingivalis,-,6,29,1,22,1,17,8
GCF_001314265.fna.gz,pgingivalis,96,1,1,1,5,5,5,9
GCF_002529235.fna.gz,pgingivalis,-,32,9,3,4,2,10,5
GCF_000007585.fna.gz,pgingivalis,24,1,4,1,3,5,16,6
GCF_000010505.fna.gz,pgingivalis,96,1,1,1,5,5,5,9
GCF_000270225.fna.gz,pgingivalis,-,10,4,22,,1,29,
GCF_000271945.fna.gz,pgingivalis,24,1,4,1,3,5,16,6
GCF_000467795.fna.gz,pgingivalis,-,8,3,1,,2,,
GCF_000467815.fna.gz,pgingivalis,67,23,1,1,20,3,4,32
GCF_000467835.fna.gz,pgingivalis,-,12,3,,,3,3,6
