Genome,Scheme,ST,mraW,plsC,dppC,ugpA,atpG,DUF3196,lgT
GCF_000025365.fna.gz,mgallisepticum#1,1,1,10,3,1,1,2,26
GCF_000025385.fna.gz,mgallisepticum#1,16,2,9,28,4,2,3,6
GCF_000092585.fna.gz,mgallisepticum#1,1,1,10,3,1,1,2,26
GCF_000211545.fna.gz,mgallisepticum#1,38,2,8,27,5,3,4,2
GCF_000286675.fna.gz,mgallisepticum#1,8,5,16,23,7,5,5,4
GCF_000286695.fna.gz,mgallisepticum#1,9,5,16,15,7,5,5,4
GCF_000286715.fna.gz,mgallisepticum#1,9,5,16,15,7,5,5,4
GCF_000286735.fna.gz,mgallisepticum#1,9,5,16,15,7,5,5,4
GCF_000286755.fna.gz,mgallisepticum#1,6,5,16,19,7,5,5,4
GCF_000286775.fna.gz,mgallisepticum#1,9,5,16,15,7,5,5,4
GCF_000286795.fna.gz,mgallisepticum#1,7,5,16,16,7,5,5,4
GCF_000286815.fna.gz,mgallisepticum#1,9,5,16,15,7,5,5,4
GCF_000428645.fna.gz,mgallisepticum#1,23,1,10,25,1,2,2,26
GCF_001676495.fna.gz,mgallisepticum#1,19,3,17,24,6,4,2,1
GCF_001676505.fna.gz,mgallisepticum#1,19,3,17,24,6,4,2,1
GCF_001676515.fna.gz,mgallisepticum#1,19,3,17,24,6,4,2,1
GCF_001676525.fna.gz,mgallisepticum#1,19,3,17,24,6,4,2,1
GCF_001676575.fna.gz,mgallisepticum#1,19,3,17,24,6,4,2,1
GCF_001683635.fna.gz,mgallisepticum#1,19,3,17,24,6,4,2,1
GCF_001683675.fna.gz,mgallisepticum#1,20,4,17,24,6,4,2,1
GCF_001705745.fna.gz,mgallisepticum#1,19,3,17,24,6,4,2,1
GCF_004771095.fna.gz,mgallisepticum#1,16,2,9,28,4,2,3,6
GCF_004771115.fna.gz,mgallisepticum#1,16,2,9,28,4,2,3,6
GCF_008728895.fna.gz,mgallisepticum#1,10,12,14,6,9,8,10,19
GCF_008728915.fna.gz,mgallisepticum#1,19,3,17,24,6,4,2,1
GCF_008728935.fna.gz,mgallisepticum#1,65,11,23,35,10,5,27,40
GCF_017654545.fna.gz,mgallisepticum#1,-,21,,24,,8,,24
GCF_900476085.fna.gz,mgallisepticum#1,23,1,10,25,1,2,2,26
