Genome,Scheme,ST,dnaE,gyrB,recA,dtdS,pntA,pyrC,tnaA,clonal_complex
GCF_000182345.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000182365.fna.gz,vparahaemolyticus,-,35,4,16,50,29,-,42,
GCF_000182385.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000182465.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000195415.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000196095.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000315135.fna.gz,vparahaemolyticus,2481,44,106,252,126,28,268,193,no
GCF_000328405.fna.gz,vparahaemolyticus,88,11,48,43,48,26,48,26,345
GCF_000347495.fna.gz,vparahaemolyticus,808,69,87,119,117,46,111,12,no
GCF_000430405.fna.gz,vparahaemolyticus,23,17,16,13,36,15,31,26,no
GCF_000430425.fna.gz,vparahaemolyticus,799,28,4,82,88,63,187,1,799
GCF_000454145.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000454165.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_000454185.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000454205.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000454225.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000454245.fna.gz,vparahaemolyticus,479,186,252,181,29,4,18,132,no
GCF_000454265.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000454455.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000477475.fna.gz,vparahaemolyticus,65,39,9,27,39,3,37,30,no
GCF_000489015.fna.gz,vparahaemolyticus,1012,175,113,204,230,31,207,135,no
GCF_000489035.fna.gz,vparahaemolyticus,289,106,109,34,50,2,11,68,no
GCF_000489055.fna.gz,vparahaemolyticus,550,5,147,31,229,46,10,57,no
GCF_000489075.fna.gz,vparahaemolyticus,288,3,25,60,144,31,128,26,no
GCF_000489095.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489115.fna.gz,vparahaemolyticus,627,218,2,180,29,26,233,68,no
GCF_000489135.fna.gz,vparahaemolyticus,490,118,253,72,76,50,184,54,no
GCF_000489155.fna.gz,vparahaemolyticus,1011,217,195,31,19,23,95,94,no
GCF_000489175.fna.gz,vparahaemolyticus,1010,82,168,25,91,151,27,48,no
GCF_000489195.fna.gz,vparahaemolyticus,-,97,-,150,243,142,229,79,
GCF_000489215.fna.gz,vparahaemolyticus,994,60,104,210,126,28,226,159,no
GCF_000489235.fna.gz,vparahaemolyticus,595,80,153,25,243,114,224,55,no
GCF_000489255.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489275.fna.gz,vparahaemolyticus,329,28,137,125,78,23,105,79,961
GCF_000489295.fna.gz,vparahaemolyticus,1009,264,217,67,46,184,3,132,no
GCF_000489315.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489335.fna.gz,vparahaemolyticus,1009,264,217,67,46,184,3,132,no
GCF_000489355.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489375.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489395.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489415.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489435.fna.gz,vparahaemolyticus,547,84,268,202,227,4,203,145,no
GCF_000489455.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489475.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489495.fna.gz,vparahaemolyticus,new_alleles,5,564,~98,116,4,41,155,
GCF_000489515.fna.gz,vparahaemolyticus,new_ST,382,136,61,180,31,212,54,
GCF_000489535.fna.gz,vparahaemolyticus,12,9,21,15,13,4,10,26,no
GCF_000489555.fna.gz,vparahaemolyticus,new_ST,320,448,89,177,28,11,57,
GCF_000489575.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489595.fna.gz,vparahaemolyticus,419,26,220,168,159,11,168,122,no
GCF_000489615.fna.gz,vparahaemolyticus,1008,112,25,187,47,61,5,47,no
GCF_000489635.fna.gz,vparahaemolyticus,new_ST,24,212,307,334,18,279,54,
GCF_000489655.fna.gz,vparahaemolyticus,new_alleles,302,272,~38,263,255,52,26,
GCF_000489675.fna.gz,vparahaemolyticus,154,35,50,63,27,49,46,26,no
GCF_000489695.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000489715.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000489735.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000489755.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000489775.fna.gz,vparahaemolyticus,527,43,41,107,42,37,40,33,This sequence type has a recA island described in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_000489795.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000489815.fna.gz,vparahaemolyticus,332,14,30,141,78,4,37,13,no
GCF_000489835.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000489855.fna.gz,vparahaemolyticus,527,43,41,107,42,37,40,33,This sequence type has a recA island described in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_000489875.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_000489895.fna.gz,vparahaemolyticus,new_alleles,5,280,299,240,10,~297,158,
GCF_000489915.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000489935.fna.gz,vparahaemolyticus,131,33,104,96,103,28,11,9,no
GCF_000489955.fna.gz,vparahaemolyticus,331,147,181,127,69,26,18,23,no
GCF_000489975.fna.gz,vparahaemolyticus,217,80,88,111,109,37,95,69,no
GCF_000489995.fna.gz,vparahaemolyticus,217,80,88,111,109,37,95,69,no
GCF_000490015.fna.gz,vparahaemolyticus,934,126,368,25,333,50,297,33,no
GCF_000490035.fna.gz,vparahaemolyticus,327,102,67,4,79,43,63,23,281
GCF_000490055.fna.gz,vparahaemolyticus,224,28,83,82,117,18,69,79,no
