Genome,Scheme,ST,aroE,glgB,nifS,p20,tkt,trpD,uvrA,clonal_complex
GCF_000027185.fna.gz,sgallolyticus,41,4,4,3,5,5,4,17,
GCF_000146525.fna.gz,sgallolyticus,new_alleles,4,2,4,4,3,1,~28,
GCF_000203195.fna.gz,sgallolyticus,6,5,5,4,6,5,5,5,
GCF_000270145.fna.gz,sgallolyticus,12,4,4,3,6,5,5,4,
GCF_000723985.fna.gz,sgallolyticus,28,4,12,14,16,12,7,4,
GCF_000949245.fna.gz,sgallolyticus,91,4,4,9,5,5,4,4,
GCF_001477575.fna.gz,sgallolyticus,-,~19,-,~31,~21,-,~25,~28,
GCF_001481475.fna.gz,sgallolyticus,-,~3,-,-,~15,~13,-,~16,
GCF_001578695.fna.gz,sgallolyticus,-,~2,~8,-,~30,20,~5,18,
GCF_001579135.fna.gz,sgallolyticus,-,~2,~8,-,~30,20,~5,18,
GCF_001658075.fna.gz,sgallolyticus,109,5,4,4,32,5,26,4,
GCF_001703415.fna.gz,sgallolyticus,109,5,4,4,32,5,26,4,
GCF_002000985.fna.gz,sgallolyticus,1,1,1,1,1,1,1,1,
GCF_003337175.fna.gz,sgallolyticus,-,~26,-,~9,-,-,~9,~29,
GCF_003433685.fna.gz,sgallolyticus,-,~3,-,~27,~15,~13,-,~24,
GCF_003434265.fna.gz,sgallolyticus,-,~3,-,~27,~15,~13,-,~16,
GCF_012273095.fna.gz,sgallolyticus,-,~3,-,~27,~15,~13,-,~24,
GCF_013267695.fna.gz,sgallolyticus,new_alleles,4,2,4,4,3,1,~28,
GCF_016908075.fna.gz,sgallolyticus,-,~29,~22,~31,~21,-,~25,~28,
GCF_019021805.fna.gz,sgallolyticus,new_alleles,4,2,4,4,3,1,~28,
GCF_900101135.fna.gz,sgallolyticus,new_alleles,17,16,~21,~12,19,19,~20,
GCF_900103105.fna.gz,sgallolyticus,new_alleles,17,16,~21,~12,19,19,~20,
GCF_900107905.fna.gz,sgallolyticus,new_alleles,~17,22,~6,~18,6,~24,~12,
GCF_900109835.fna.gz,sgallolyticus,new_alleles,~17,22,~6,~18,6,~24,~12,
GCF_900111215.fna.gz,sgallolyticus,-,~17,~22,~21,~29,-,~25,~20,
GCF_900112565.fna.gz,sgallolyticus,27,12,2,13,15,9,8,14,
GCF_900116655.fna.gz,sgallolyticus,27,12,2,13,15,9,8,14,
GCF_900459545.fna.gz,sgallolyticus,-,~29,~22,~31,~21,-,~25,~28,
GCF_900475715.fna.gz,sgallolyticus,1,1,1,1,1,1,1,1,
