Genome,Scheme,ST,dnaA,rpoB,gyrB,gltX,adk,gmk,clonal_complex
GCF_000145705.fna.gz,mhyorhinis,27,6,5,6,4,2,5,
GCF_000211295.fna.gz,mhyorhinis,1,1,1,1,1,1,1,
GCF_000241125.fna.gz,mhyorhinis,1,1,1,1,1,1,1,
GCF_000313635.fna.gz,mhyorhinis,14,2,3,3,1,1,1,
GCF_000383515.fna.gz,mhyorhinis,16,1,3,1,1,1,3,
GCF_000496815.fna.gz,mhyorhinis,116,1,1,1,1,13,1,
GCF_001705605.fna.gz,mhyorhinis,1,1,1,1,1,1,1,
GCF_009831505.fna.gz,mhyorhinis,24,1,7,4,1,1,1,
GCF_009831745.fna.gz,mhyorhinis,78,15,1,4,9,1,4,
GCF_009831775.fna.gz,mhyorhinis,57,10,11,4,1,1,3,
GCF_009831795.fna.gz,mhyorhinis,81,1,11,6,1,1,3,
GCF_009831845.fna.gz,mhyorhinis,82,3,2,6,4,1,3,
GCF_009831885.fna.gz,mhyorhinis,77,3,7,4,1,1,10,
GCF_009831975.fna.gz,mhyorhinis,76,15,12,4,1,1,1,
GCF_009832005.fna.gz,mhyorhinis,80,1,1,4,1,1,3,
GCF_009832065.fna.gz,mhyorhinis,79,1,7,4,9,1,1,
GCF_018791005.fna.gz,mhyorhinis,80,1,1,4,1,1,3,
GCF_018791045.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018791065.fna.gz,mhyorhinis,80,1,1,4,1,1,3,
GCF_018791085.fna.gz,mhyorhinis,80,1,1,4,1,1,3,
GCF_018791095.fna.gz,mhyorhinis,92,1,1,2,4,1,3,
GCF_018791125.fna.gz,mhyorhinis,84,1,7,2,1,1,3,
GCF_018791135.fna.gz,mhyorhinis,135,20,21,6,1,1,3,
GCF_018791905.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018791945.fna.gz,mhyorhinis,89,1,1,2,13,1,3,
GCF_018791975.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018791985.fna.gz,mhyorhinis,139,1,20,2,4,1,12,
GCF_018792045.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792065.fna.gz,mhyorhinis,138,21,1,2,1,1,3,
GCF_018792085.fna.gz,mhyorhinis,88,10,1,2,1,1,3,
GCF_018792095.fna.gz,mhyorhinis,92,1,1,2,4,1,3,
GCF_018792125.fna.gz,mhyorhinis,92,1,1,2,4,1,3,
GCF_018792145.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792165.fna.gz,mhyorhinis,131,1,18,2,1,1,3,
GCF_018792185.fna.gz,mhyorhinis,134,1,23,2,1,14,3,
GCF_018792205.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792225.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792235.fna.gz,mhyorhinis,97,13,7,6,1,1,3,
GCF_018792265.fna.gz,mhyorhinis,98,10,1,6,1,1,3,
GCF_018792285.fna.gz,mhyorhinis,104,18,18,2,1,1,3,
GCF_018792295.fna.gz,mhyorhinis,88,10,1,2,1,1,3,
GCF_018792325.fna.gz,mhyorhinis,95,10,7,2,12,1,3,
GCF_018792335.fna.gz,mhyorhinis,130,10,19,2,1,1,3,
GCF_018792365.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792385.fna.gz,mhyorhinis,99,1,1,12,1,1,3,
