Genome,Scheme,ST,dnaA,fusA,gyrB,leuS,pryG,rplB,rpoB,clonal_complex
GCF_000215745.fna.gz,kaerogenes,134,31,3,1,4,3,1,2,CC1
GCF_000334515.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_000383335.fna.gz,kaerogenes,116,30,5,1,14,2,1,2,
GCF_000534075.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_000534095.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_000534115.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_000534135.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_000534235.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_000534255.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_000534315.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_000534335.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_000692155.fna.gz,kaerogenes,69,3,10,1,25,3,1,10,
GCF_000692175.fna.gz,kaerogenes,128,23,3,16,13,3,1,2,
GCF_000692195.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_000692215.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_000755545.fna.gz,kaerogenes,34,17,7,10,3,3,1,2,CC7
GCF_000802765.fna.gz,kaerogenes,186,17,3,10,14,2,1,2,
GCF_000956775.fna.gz,kaerogenes,142,24,3,1,42,8,1,8,
GCF_000956895.fna.gz,kaerogenes,new_alleles,29,14,3,~15,7,1,9,
GCF_000957275.fna.gz,kaerogenes,new_ST,31,1,3,18,1,1,2,
GCF_000957485.fna.gz,kaerogenes,new_alleles,10,~12,1,29,3,1,2,
GCF_000957525.fna.gz,kaerogenes,181,5,3,9,33,6,1,2,
GCF_000957705.fna.gz,kaerogenes,new_ST,6,2,4,7,4,1,11,
GCF_000957715.fna.gz,kaerogenes,new_alleles,29,14,3,~15,7,1,9,
GCF_000957725.fna.gz,kaerogenes,new_alleles,29,14,3,~15,7,1,9,
GCF_000958075.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_000958305.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001006555.fna.gz,kaerogenes,new_alleles,~25,3,10,14,3,1,2,
GCF_001011175.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001011185.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001011195.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_001011205.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001011255.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_001011265.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001011295.fna.gz,kaerogenes,103,27,3,1,14,1,1,2,
GCF_001011305.fna.gz,kaerogenes,169,30,5,1,13,3,1,2,
GCF_001011335.fna.gz,kaerogenes,new_alleles,~29,3,1,5,3,1,2,
