Genome,Scheme,ST,ileS,recA,rpoB,gyrB,glnS,nuoD,rpoD
GCF_002319065.fna.gz,pfluorescens,26,26,26,26,26,26,26,26
GCF_001878715.fna.gz,pfluorescens,-,,,,,,,
GCF_003258955.fna.gz,pfluorescens,2,2,2,2,2,2,2,2
GCF_003732755.fna.gz,pfluorescens,-,,,,,,,
GCF_001625455.fna.gz,pfluorescens,-,,,,,,,
GCF_002901425.fna.gz,pfluorescens,-,30,26,30,,96,,
GCF_003732795.fna.gz,pfluorescens,-,,,86,,,,
GCF_001307155.fna.gz,pfluorescens,-,,,,,,,
GCF_000967965.fna.gz,pfluorescens,-,,,,,,,
GCF_001468775.fna.gz,pfluorescens,-,,,,,,,
GCF_004346535.fna.gz,pfluorescens,-,,,,,,,
GCF_000730425.fna.gz,pfluorescens,-,,,,,,,
GCF_000836415.fna.gz,pfluorescens,-,,,,,,,
GCF_001020865.fna.gz,pfluorescens,-,,,,,,,
GCF_002022275.fna.gz,pfluorescens,-,,,,,,,
GCF_012273645.fna.gz,pfluorescens,-,5,,82,,,,5
GCF_000802965.fna.gz,pfluorescens,-,,,,,,,
GCF_002407625.fna.gz,pfluorescens,-,,,,,,,
GCF_004614275.fna.gz,pfluorescens,-,,,,,,,
GCF_000802985.fna.gz,pfluorescens,-,,,,,,,
GCF_002909035.fna.gz,pfluorescens,112,94,86,5,90,99,99,5
GCF_004683905.fna.gz,pfluorescens,-,,,,,,,
GCF_000800625.fna.gz,pfluorescens,-,,,,,,,
GCF_002022325.fna.gz,pfluorescens,-,,94,,,,22,
GCF_005233585.fna.gz,pfluorescens,-,5,86,,,,5,5
GCF_000876155.fna.gz,pfluorescens,-,,,,,,,
GCF_001542695.fna.gz,pfluorescens,44,43,40,30,30,41,44,38
GCF_003258965.fna.gz,pfluorescens,-,,,,,,,
GCF_003700185.fna.gz,pfluorescens,-,,,,,,,
GCF_012273665.fna.gz,pfluorescens,-,5,,82,,,,5
GCF_000817895.fna.gz,pfluorescens,-,,,,,,,
GCF_001648775.fna.gz,pfluorescens,-,,,,,,,
GCF_002943685.fna.gz,pfluorescens,-,,22,,22,22,22,22
