Genome,Scheme,ST,hexB,ddl,xpt,aroE,gdh,gki,recP
GCF_003942785.fna.gz,soralis,-,27,13,22,,,,
GCF_003942985.fna.gz,soralis,-,,,5,17,12,,
GCF_003944215.fna.gz,soralis,-,,,,15,,,
GCF_001588695.fna.gz,soralis,-,,,,,,,
GCF_001885595.fna.gz,soralis,-,,,,,,,
GCF_002093515.fna.gz,soralis,-,,,,,,,
GCF_002093545.fna.gz,soralis,-,,,,,,10,
GCF_002096205.fna.gz,soralis,-,5,,,,,19,5
GCF_001074055.fna.gz,soralis,-,7,2,14,,2,2,8
GCF_001579175.fna.gz,soralis,-,,,,,,,
GCF_001588825.fna.gz,soralis,-,,,,,,,
GCF_001075875.fna.gz,soralis,-,,,,,,,
GCF_001578935.fna.gz,soralis,-,,,,,,,
GCF_001639355.fna.gz,soralis,75,27,41,35,50,39,27,32
GCF_003942585.fna.gz,soralis,-,,,,,,,
GCF_000722845.fna.gz,soralis,-,,,16,4,,14,13
GCF_001071715.fna.gz,soralis,-,,,,,,,
GCF_002093575.fna.gz,soralis,-,,,,,,,
GCF_002860885.fna.gz,soralis,-,5,,5,2,5,5,20
GCF_002860905.fna.gz,soralis,-,,,,,,,
GCF_003942805.fna.gz,soralis,-,27,,,,,,
GCF_001639375.fna.gz,soralis,-,,,17,63,,,10
GCF_003943385.fna.gz,soralis,-,,,,,,,
GCF_013592015.fna.gz,soralis,-,5,,,,,,5
GCF_001983955.fna.gz,soralis,-,37,,,,,,
GCF_001411485.fna.gz,soralis,78,41,44,38,53,42,39,35
GCF_001074085.fna.gz,soralis,-,5,2,5,5,2,,5
GCF_001071755.fna.gz,soralis,-,7,16,10,,5,,8
GCF_000959945.fna.gz,soralis,-,,,,,,,
GCF_001579025.fna.gz,soralis,-,,,,,,14,22
GCF_002096175.fna.gz,soralis,-,5,,,,5,,5
GCF_003942635.fna.gz,soralis,-,,,,8,,9,
GCF_001579525.fna.gz,soralis,-,,,,,,,
GCF_003942875.fna.gz,soralis,-,13,,,,,,8
GCF_015548965.fna.gz,soralis,-,,,,,,,
GCF_003942565.fna.gz,soralis,-,27,5,24,31,17,11,8
GCF_002014885.fna.gz,soralis,-,,,17,63,,,10
GCF_001639395.fna.gz,soralis,-,5,,5,5,5,6,
GCF_003943395.fna.gz,soralis,-,,,,,,,
GCF_001075675.fna.gz,soralis,-,,,,,,,
GCF_001072035.fna.gz,soralis,-,7,5,,5,,2,
GCF_003942675.fna.gz,soralis,-,,22,,,,,
GCF_001588645.fna.gz,soralis,-,,,,,,,
GCF_001578705.fna.gz,soralis,-,,,,,,33,
GCF_001070335.fna.gz,soralis,-,7,,2,39,15,30,
GCF_001579095.fna.gz,soralis,-,,,,,,14,
