Genome,Scheme,ST,dnaK,efp,fumC,glyA,murG,rpoD,trpB,clonal_complex
GCF_000297215.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_000300295.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_000401515.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_000756415.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_000756435.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_000758485.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_000764075.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_001029935.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001514395.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001534725.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001746795.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001932595.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_001932735.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_001932755.fna.gz,psalmonis,new_alleles,2,2,2,3,2,1?,2,
GCF_001932775.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_001932795.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_001932815.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001932835.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001932855.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001932875.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001932895.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001932915.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_001932935.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_002556625.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_003850185.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708235.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708255.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708275.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708295.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708315.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708335.fna.gz,psalmonis,25,2,2,2,3,5,1,2,
GCF_009708355.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009708435.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009708575.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009708695.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708715.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009708735.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708755.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009708775.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708795.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708815.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009708835.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009708855.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009708875.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009708895.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708915.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708935.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708955.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009708975.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009708995.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009709015.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709035.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709055.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709075.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009709095.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709115.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709135.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709155.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709175.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709195.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709215.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709235.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709255.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709275.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709295.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709315.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009709335.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009709355.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009709375.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009709395.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009709415.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009709435.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009709455.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_009709475.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
GCF_009709495.fna.gz,psalmonis,27,7,12,8,7,8,3,8,
GCF_009709515.fna.gz,psalmonis,26,7,12,6,8,9,4,8,
GCF_009709535.fna.gz,psalmonis,26,7,12,6,8,9,4,8,
GCF_009724885.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_009724905.fna.gz,psalmonis,26,7,12,6,8,9,4,8,
GCF_010092545.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_010092565.fna.gz,psalmonis,1,1,1,1,1,1,2,1,
GCF_010092585.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_012272975.fna.gz,psalmonis,5,2,2,2,3,2,1,2,
GCF_014622645.fna.gz,psalmonis,2,2,2,2,2,2,1,2,
