Genome,Scheme,ST,gyrB,pryG,rpoB,dnaA,fusA,leuS,rplB
GCF_000802765.fna.gz,kaerogenes,186,10,2,2,17,3,14,1
GCF_001011935.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_001052095.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001525265.fna.gz,kaerogenes,188,1,3,12,30,1,18,1
GCF_002152915.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001059975.fna.gz,kaerogenes,-,1,2,2,15,,25,1
GCF_001011575.fna.gz,kaerogenes,-,,3,10,3,3,18,1
GCF_001011255.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_001631755.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001662705.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001011415.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000957725.fna.gz,kaerogenes,-,3,7,9,29,14,,1
GCF_001053235.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001057945.fna.gz,kaerogenes,-,11,,4,6,2,21,3
GCF_001631315.fna.gz,kaerogenes,-,2,3,10,3,3,18,
GCF_002152925.fna.gz,kaerogenes,-,3,1,2,,3,18,1
GCF_001473095.fna.gz,kaerogenes,208,10,8,2,17,2,3,1
GCF_001053595.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001071835.fna.gz,kaerogenes,131,14,7,9,16,6,37,1
GCF_001472935.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000958075.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001631345.fna.gz,kaerogenes,180,1,3,2,8,3,28,1
GCF_001631735.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001011595.fna.gz,kaerogenes,-,11,,4,,2,7,1
GCF_001011425.fna.gz,kaerogenes,170,21,8,12,5,3,3,1
GCF_001011265.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001631815.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_001662715.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001525505.fna.gz,kaerogenes,188,1,3,12,30,1,18,1
GCF_001518035.fna.gz,kaerogenes,-,25,2,2,3,2,5,1
GCF_000956775.fna.gz,kaerogenes,142,1,8,8,24,3,42,1
GCF_000956895.fna.gz,kaerogenes,-,3,7,9,29,14,,1
GCF_001021995.fna.gz,kaerogenes,133,29,3,2,5,3,29,1
GCF_001052565.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001054275.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001472155.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_001472755.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_001631565.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_001631645.fna.gz,kaerogenes,207,6,1,2,8,1,24,1
GCF_001011615.fna.gz,kaerogenes,15,1,3,8,13,3,11,1
GCF_000958305.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001631845.fna.gz,kaerogenes,-,15,7,9,,14,15,1
GCF_001662765.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001011295.fna.gz,kaerogenes,103,1,1,2,27,3,14,1
GCF_001011455.fna.gz,kaerogenes,-,2,3,10,3,3,,1
GCF_001011535.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_001559215.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_002182075.fna.gz,kaerogenes,-,3,1,2,31,1,18,1
GCF_001518055.fna.gz,kaerogenes,202,40,7,9,16,6,22,1
GCF_000957275.fna.gz,kaerogenes,-,3,1,2,31,1,18,1
GCF_001030055.fna.gz,kaerogenes,190,16,3,2,23,1,14,1
GCF_001058645.fna.gz,kaerogenes,132,28,4,11,6,2,21,3
GCF_001631605.fna.gz,kaerogenes,-,,7,9,11,6,15,1
GCF_002184575.fna.gz,kaerogenes,92,6,3,2,8,1,18,1
