Genome,Scheme,ST,atpA,dnaK,fumC,gyrB,murG,trpB,tuf,clonal_complex
GCF_000064305.fna.gz,fpsychrophilum,20,2,2,2,8,2,8,2,
GCF_000739395.fna.gz,fpsychrophilum,10,2,2,2,8,2,2,2,
GCF_000754365.fna.gz,fpsychrophilum,78,2,2,2,8,2,2,41,
GCF_000754405.fna.gz,fpsychrophilum,13,4,6,5,7,6,4,8,
GCF_000767095.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_000801615.fna.gz,fpsychrophilum,9,4,6,5,7,6,4,5,
GCF_000801695.fna.gz,fpsychrophilum,9,4,6,5,7,6,4,5,
GCF_000801715.fna.gz,fpsychrophilum,9,4,6,5,7,6,4,5,
GCF_000831185.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_000831205.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_000831225.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_000971575.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_000971605.fna.gz,fpsychrophilum,21,10,2,2,2,2,2,7,
GCF_000971645.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_000971685.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_000971735.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_000971785.fna.gz,fpsychrophilum,new_alleles,2,33,3,~9,17,1,61,
GCF_001485515.fna.gz,fpsychrophilum,52,4,4,4,24,2,5,4,
GCF_001510795.fna.gz,fpsychrophilum,new_alleles,2,2,2,8,~51,11,2,
GCF_001510855.fna.gz,fpsychrophilum,10,2,2,2,8,2,2,2,
GCF_001510875.fna.gz,fpsychrophilum,10,2,2,2,8,2,2,2,
GCF_001887135.fna.gz,fpsychrophilum,new_alleles,11,15,3,29,~34,2,41,
GCF_001887145.fna.gz,fpsychrophilum,78,2,2,2,8,2,2,41,
GCF_002150145.fna.gz,fpsychrophilum,10,2,2,2,8,2,2,2,
GCF_002150215.fna.gz,fpsychrophilum,new_alleles,11,7,2,~78,7,1,2,
GCF_002150245.fna.gz,fpsychrophilum,10,2,2,2,8,2,2,2,
GCF_002150255.fna.gz,fpsychrophilum,78,2,2,2,8,2,2,41,
GCF_002150295.fna.gz,fpsychrophilum,-,2,-,2,8,2,2,41,
GCF_002217405.fna.gz,fpsychrophilum,13,4,6,5,7,6,4,8,
GCF_003433315.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_003433335.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_003433355.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_003732575.fna.gz,fpsychrophilum,78,2,2,2,8,2,2,41,
GCF_003788665.fna.gz,fpsychrophilum,10,2,2,2,8,2,2,2,
GCF_006777745.fna.gz,fpsychrophilum,52,4,4,4,24,2,5,4,
GCF_006777825.fna.gz,fpsychrophilum,52,4,4,4,24,2,5,4,
GCF_006777945.fna.gz,fpsychrophilum,45,8,19,5,24,8,19,1,
GCF_006778065.fna.gz,fpsychrophilum,52,4,4,4,24,2,5,4,
GCF_006778185.fna.gz,fpsychrophilum,52,4,4,4,24,2,5,4,
GCF_006778265.fna.gz,fpsychrophilum,52,4,4,4,24,2,5,4,
GCF_006778345.fna.gz,fpsychrophilum,new_ST,4,19,5,24,8,19,1,
GCF_006778465.fna.gz,fpsychrophilum,52,4,4,4,24,2,5,4,
GCF_006778585.fna.gz,fpsychrophilum,52,4,4,4,24,2,5,4,
GCF_009730675.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_013343175.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_013343195.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_013457195.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_015272545.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_015272565.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_015272595.fna.gz,fpsychrophilum,329,1,1,1,1,2,1,1,
GCF_015272605.fna.gz,fpsychrophilum,13,4,6,5,7,6,4,8,
GCF_015272635.fna.gz,fpsychrophilum,138,31,8,3,29,32,11,41,
GCF_016803475.fna.gz,fpsychrophilum,328,69,12,3,87,17,8,59,
GCF_016803495.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016803515.fna.gz,fpsychrophilum,89,2,2,2,2,2,2,47,
GCF_016803535.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_016803555.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016803575.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_016803595.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016803615.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_016803635.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016803655.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016803675.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016803695.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016803715.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_016803735.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016803755.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_016803775.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_016803795.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_016803815.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016804065.fna.gz,fpsychrophilum,91,2,2,2,2,2,2,41,
