Genome,Scheme,ST,rpoB,oppB,recA,hsp,aroE,mdh,aceK
GCF_001264505.fna.gz,cbotulinum,-,,,,,,,
GCF_000828305.fna.gz,cbotulinum,-,,,,,,,
GCF_001574195.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001889365.fna.gz,cbotulinum,25,8,10,7,8,10,8,6
GCF_001573385.fna.gz,cbotulinum,19,9,10,8,7,13,10,12
GCF_001266995.fna.gz,cbotulinum,-,,,,,,,
GCF_001266875.fna.gz,cbotulinum,-,,,,,,,
GCF_001573235.fna.gz,cbotulinum,59,8,8,7,8,13,5,14
GCF_001573465.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_001573515.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_001573725.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_001573795.fna.gz,cbotulinum,-,,,,,,,
GCF_001574205.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_001921905.fna.gz,cbotulinum,114,9,10,8,9,13,8,13
GCF_000730965.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_001273225.fna.gz,cbotulinum,-,,,,,,,
GCF_001573295.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_001267015.fna.gz,cbotulinum,-,,,,,,,
GCF_001574225.fna.gz,cbotulinum,25,8,10,7,8,10,8,6
GCF_001921925.fna.gz,cbotulinum,25,8,10,7,8,10,8,6
GCF_001266885.fna.gz,cbotulinum,-,,,,,,,
GCF_001573375.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_001921945.fna.gz,cbotulinum,84,8,9,6,8,11,5,11
GCF_000829015.fna.gz,cbotulinum,19,9,10,8,7,13,10,12
GCF_001573485.fna.gz,cbotulinum,30,9,10,9,9,13,6,16
GCF_001921965.fna.gz,cbotulinum,-,9,10,8,7,13,45,
GCF_001573395.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_001573615.fna.gz,cbotulinum,-,,,,,,,
GCF_001573805.fna.gz,cbotulinum,-,,,,,,,
GCF_001574285.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_002024365.fna.gz,cbotulinum,22,8,9,7,8,10,8,6
GCF_001264515.fna.gz,cbotulinum,-,,,,,,,
GCF_000750055.fna.gz,cbotulinum,-,,,,,,,
GCF_001273255.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_001573435.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_001266895.fna.gz,cbotulinum,-,,,,,,,
GCF_001573255.fna.gz,cbotulinum,14,2,4,5,5,5,2,2
GCF_001573635.fna.gz,cbotulinum,-,,,,,,,
GCF_001573965.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001574115.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001574355.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_002024395.fna.gz,cbotulinum,61,8,9,6,6,12,8,42
GCF_001573535.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_001574255.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001921985.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_001573455.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_000830755.fna.gz,cbotulinum,55,15,21,5,17,23,19,30
GCF_001267035.fna.gz,cbotulinum,-,,,,,,,
GCF_002018055.fna.gz,cbotulinum,-,,,,,,,
GCF_000750065.fna.gz,cbotulinum,-,,,,,,,
GCF_001273275.fna.gz,cbotulinum,59,8,8,7,8,13,5,14
GCF_001573555.fna.gz,cbotulinum,98,8,8,7,8,11,8,32
GCF_001266905.fna.gz,cbotulinum,-,,,,,,,
GCF_001573655.fna.gz,cbotulinum,-,,,,,,,
GCF_001573665.fna.gz,cbotulinum,88,10,8,10,9,34,11,20
GCF_001573985.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_001574125.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001574365.fna.gz,cbotulinum,-,2,4,5,5,,2,2
GCF_002024445.fna.gz,cbotulinum,47,10,13,15,12,20,8,25
GCF_001573825.fna.gz,cbotulinum,28,10,12,7,8,14,11,14
GCF_001573905.fna.gz,cbotulinum,22,8,9,7,8,10,8,6
GCF_001573955.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001574315.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_002024375.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_000876495.fna.gz,cbotulinum,70,19,26,18,14,26,22,34
GCF_001267045.fna.gz,cbotulinum,-,,,,,,,
GCF_002018095.fna.gz,cbotulinum,-,,,,,,,
GCF_000768595.fna.gz,cbotulinum,-,,,,,,,
GCF_001276965.fna.gz,cbotulinum,-,,,,,,,
GCF_001879625.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_001264545.fna.gz,cbotulinum,-,,,,,,,
GCF_001266955.fna.gz,cbotulinum,-,,,,,,,
GCF_001573315.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_001573335.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_001574015.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001574065.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001574175.fna.gz,cbotulinum,25,8,10,7,8,10,8,6
GCF_001889345.fna.gz,cbotulinum,28,10,12,7,8,14,11,14
GCF_001573885.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_001573935.fna.gz,cbotulinum,-,9,10,,9,13,10,7
GCF_001574095.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001574335.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_002024385.fna.gz,cbotulinum,16,9,8,7,8,13,7,4
GCF_001273165.fna.gz,cbotulinum,59,8,8,7,8,13,5,14
GCF_001058115.fna.gz,cbotulinum,-,,,,,,,
GCF_001264475.fna.gz,cbotulinum,-,,,,,,,
GCF_000789355.fna.gz,cbotulinum,-,,,,,,,
GCF_000816965.fna.gz,cbotulinum,54,4,20,17,16,22,4,29
GCF_001276985.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_002024465.fna.gz,cbotulinum,46,9,5,7,8,13,8,4
GCF_001264555.fna.gz,cbotulinum,-,,,,,,,
GCF_001266965.fna.gz,cbotulinum,-,,,,,,,
GCF_001574035.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_001574055.fna.gz,cbotulinum,22,8,9,7,8,10,8,6
GCF_001574135.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001879605.fna.gz,cbotulinum,6,6,9,7,7,9,10,6
GCF_002103795.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_001573565.fna.gz,cbotulinum,-,,,,,,,
GCF_001573585.fna.gz,cbotulinum,-,,,,,,,
GCF_002018115.fna.gz,cbotulinum,-,,,,,,,
GCF_001273195.fna.gz,cbotulinum,-,,,,,,,
GCF_001573325.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_001573695.fna.gz,cbotulinum,-,,,,,,,
GCF_001574265.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_002018175.fna.gz,cbotulinum,-,,,,,,,
GCF_000827955.fna.gz,cbotulinum,-,,,,,,,
GCF_001264575.fna.gz,cbotulinum,-,,,,,,,
GCF_001264605.fna.gz,cbotulinum,-,,,,,,,
GCF_001573175.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
