Genome,Scheme,ST,atpD,gapA,guaA,mutM,nuoD,ppsA,recA,clonal_complex
GCF_000020665.fna.gz,smaltophilia,45,35,36,44,37,37,39,32,
GCF_000072485.fna.gz,smaltophilia,1,1,1,1,1,1,1,1,
GCF_000223885.fna.gz,smaltophilia,new_alleles,13,~112,~14,~159,~162,~173,~129,
GCF_000237025.fna.gz,smaltophilia,new_alleles,116,167,~313,165,4,163,148,
GCF_000284595.fna.gz,smaltophilia,new_alleles,2,122,~489,~45,~63,~168,128,
GCF_000287935.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_000295735.fna.gz,smaltophilia,new_alleles,110,130,~199,~121,~116,~151,~126,
GCF_000308335.fna.gz,smaltophilia,-,53,~6,~201,-,~10,~58,~48,
GCF_000344215.fna.gz,smaltophilia,131,5,83,104,51,79,80,73,
GCF_000346445.fna.gz,smaltophilia,new_ST,67,120,205,110,112,29,22,
GCF_000355725.fna.gz,smaltophilia,new_alleles,40,81,~140,37,~102,39,36,
GCF_000382065.fna.gz,smaltophilia,new_alleles,~103,180,~228,~70,~72,~86,79,
GCF_000455625.fna.gz,smaltophilia,28,4,3,2,5,9,6,9,
GCF_000455685.fna.gz,smaltophilia,new_alleles,~175,136,164,73,~72,131,79,
GCF_000499565.fna.gz,smaltophilia,28,4,3,2,5,9,6,9,
GCF_000543365.fna.gz,smaltophilia,new_alleles,~134,~159,~166,~152,~144,~190,~152,
GCF_000597745.fna.gz,smaltophilia,14,17,23,23,16,26,5,6,
GCF_000611735.fna.gz,smaltophilia,76,2,65,75,45,62,68,5,
GCF_000742995.fna.gz,smaltophilia,14,17,23,23,16,26,5,6,
GCF_000758465.fna.gz,smaltophilia,new_alleles,~80,~212,~351,~87,141,~173,~209,
GCF_000788095.fna.gz,smaltophilia,new_alleles,156,167,~490,126,4,107,137,
GCF_000834105.fna.gz,smaltophilia,-,~64,~64,~74,-,~61,-,~56,
GCF_000877275.fna.gz,smaltophilia,new_alleles,1,104,212,46,6,~234,~207,
GCF_000972335.fna.gz,smaltophilia,-,53,~6,~201,-,10,~58,~48,
GCF_000978875.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_001051925.fna.gz,smaltophilia,-,~105,111,~386,104,-,122,147,
GCF_001068535.fna.gz,smaltophilia,162,1,1,4,3,6,4,1,
GCF_001068765.fna.gz,smaltophilia,new_alleles,13,~124,~363,112,~140,144,~198,
GCF_001068915.fna.gz,smaltophilia,193,5,4,136,4,25,20,19,
GCF_001068965.fna.gz,smaltophilia,new_alleles,133,158,~412,~154,~145,~189,~153,
GCF_001069005.fna.gz,smaltophilia,212,4,22,159,5,70,6,9,
GCF_001069105.fna.gz,smaltophilia,162,1,1,4,3,6,4,1,
GCF_001069235.fna.gz,smaltophilia,219,2,2,163,2,2,3,5,
GCF_001069295.fna.gz,smaltophilia,172,5,94,122,79,70,105,85,
GCF_001069345.fna.gz,smaltophilia,new_alleles,13,~124,~363,112,~140,144,~198,
GCF_001069405.fna.gz,smaltophilia,new_alleles,13,~124,~363,112,~140,144,~198,
GCF_001069435.fna.gz,smaltophilia,new_alleles,13,223,~469,83,92,144,89,
GCF_001069555.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_001069565.fna.gz,smaltophilia,29,2,2,5,2,2,3,5,
GCF_001069595.fna.gz,smaltophilia,29,2,2,5,2,2,3,5,
GCF_001069605.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_001069615.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_001069645.fna.gz,smaltophilia,new_alleles,16,~72,~324,~164,20,~219,72,
GCF_001069685.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_001069715.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_001069755.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_001070185.fna.gz,smaltophilia,new_alleles,13,~124,~363,112,~140,144,~198,
GCF_001070325.fna.gz,smaltophilia,23,8,20,14,25,14,17,3,
GCF_001070785.fna.gz,smaltophilia,130,19,82,103,66,5,92,4,
