Genome,Scheme,ST,argS,gyrB,ileS,nuoC,ppsA,recA,rpoB,rpoD,clonal_complex
GCF_000007565.fna.gz,pputida,69,37,44,3,45,1,1,1,1,
GCF_000016865.fna.gz,pputida,43,31,14,8,4,4,12,1,6,
GCF_000019125.fna.gz,pputida,new_ST,39,48,15,46,11,14,4,14,
GCF_000019445.fna.gz,pputida,64,41,50,42,49,48,29,18,48,
GCF_000183645.fna.gz,pputida,new_ST,70,46,7,60,8,5,1,2,
GCF_000219705.fna.gz,pputida,new_ST,42,51,21,50,22,34,7,31,
GCF_000226035.fna.gz,pputida,new_ST,13,13,9,57,3,11,1,9,
GCF_000226475.fna.gz,pputida,new_alleles,37,~63,5,~45,7,3,1,4,
GCF_000264665.fna.gz,pputida,new_ST,38,14,8,4,5,12,1,6,
GCF_000271965.fna.gz,pputida,new_ST,38,14,8,4,5,12,1,6,
GCF_000281215.fna.gz,pputida,new_ST,49,47,10,4,4,7,1,8,
GCF_000285395.fna.gz,pputida,new_ST,22,19,17,13,28,41,5,16,
GCF_000287915.fna.gz,pputida,new_ST,12,45,6,3,8,4,1,2,
GCF_000294445.fna.gz,pputida,new_alleles,~49,60,12,57,2,8,1,6,
GCF_000319305.fna.gz,pputida,-,-,-,-,-,64,-,-,-,
GCF_000325725.fna.gz,pputida,15,11,24,20,15,20,33,7,28,
GCF_000367825.fna.gz,pputida,new_ST,49,60,13,57,2,9,1,7,
GCF_000390005.fna.gz,pputida,new_alleles,~51,88,14,59,10,13,3,12,
GCF_000410575.fna.gz,pputida,new_ST,14,10,33,9,15,17,12,23,
GCF_000411615.fna.gz,pputida,-,-,-,62,-,54,60,24,66,
GCF_000412675.fna.gz,pputida,2,3,15,29,5,17,20,10,21,
GCF_000495455.fna.gz,pputida,new_ST,12,45,6,3,8,4,1,2,
GCF_000497385.fna.gz,pputida,-,~36,-,76,~38,55,62,14,56,
GCF_000498395.fna.gz,pputida,63,40,49,28,47,12,15,12,25,
GCF_000507325.fna.gz,pputida,new_ST,14,10,33,9,15,17,12,23,
GCF_000691565.fna.gz,pputida,65,42,51,21,50,23,34,7,31,
GCF_000708715.fna.gz,pputida,new_alleles,~40,~71,27,~62,19,22,11,19,
GCF_000710785.fna.gz,pputida,4,5,2,48,24,34,59,13,34,
GCF_000729805.fna.gz,pputida,-,-,-,77,-,68,-,31,73,
GCF_000787655.fna.gz,pputida,43,31,14,8,4,4,12,1,6,
GCF_000799625.fna.gz,pputida,new_alleles,47,~47,11,~4,6,10,1,10,
GCF_000800615.fna.gz,pputida,-,-,-,64,~33,65,-,27,71,
GCF_000802565.fna.gz,pputida,-,~30,~76,43,~71,-,-,18,47,
GCF_000875995.fna.gz,pputida,new_ST,3,16,30,6,18,21,10,20,
GCF_000878325.fna.gz,pputida,-,-,-,65,~12,66,-,28,69,
GCF_000987155.fna.gz,pputida,new_alleles,35,23,25,~17,26,39,7,26,
GCF_001005285.fna.gz,pputida,119,30,76,40,71,49,30,16,45,
GCF_001006135.fna.gz,pputida,-,-,-,78,-,67,-,30,72,
GCF_001027965.fna.gz,pputida,new_ST,42,51,21,50,22,35,7,31,
GCF_001066335.fna.gz,pputida,new_ST,3,16,31,62,18,105,10,20,
GCF_001077495.fna.gz,pputida,69,37,44,3,45,1,1,1,1,
GCF_001183585.fna.gz,pputida,69,37,44,3,45,1,1,1,1,
GCF_001282125.fna.gz,pputida,136,70,89,6,3,8,4,1,2,
GCF_001293025.fna.gz,pputida,new_ST,51,88,14,59,10,13,3,11,
GCF_001306495.fna.gz,pputida,17,11,24,20,15,20,33,7,29,
GCF_001306515.fna.gz,pputida,94,55,66,19,64,29,42,5,15,
GCF_001467305.fna.gz,pputida,-,-,-,65,~12,66,-,28,70,
GCF_001515585.fna.gz,pputida,67,43,52,60,51,44,45,23,61,
GCF_001542955.fna.gz,pputida,new_alleles,~3,16,~102,65,~17,21,10,~21,
GCF_001630725.fna.gz,pputida,new_alleles,~3,~57,32,54,16,19,10,22,
GCF_001636055.fna.gz,pputida,68,44,53,68,52,53,54,26,67,
GCF_001644955.fna.gz,pputida,-,-,-,66,-,63,-,29,-,
GCF_001645635.fna.gz,pputida,new_ST,5,2,48,24,35,59,13,34,
GCF_001653615.fna.gz,pputida,new_alleles,~37,~63,4,~61,~83,2,2,5,
GCF_001700655.fna.gz,pputida,-,-,~53,69,~52,52,53,25,68,
GCF_001700665.fna.gz,pputida,-,-,~53,69,~52,52,53,25,68,
GCF_001700695.fna.gz,pputida,-,-,~53,69,~52,52,53,25,68,
GCF_001700705.fna.gz,pputida,-,-,~53,70,~52,52,53,25,68,
GCF_001750465.fna.gz,pputida,new_ST,39,48,15,75,11,14,4,13,
GCF_001767335.fna.gz,pputida,new_ST,12,46,7,60,8,6,1,3,
GCF_001886975.fna.gz,pputida,70,39,48,15,48,11,14,4,14,
GCF_001908395.fna.gz,pputida,new_alleles,~11,~74,~24,~80,~20,~99,7,~26,
GCF_001941965.fna.gz,pputida,-,-,-,-,-,-,-,~29,-,
GCF_001976065.fna.gz,pputida,-,-,-,~78,-,~67,-,~30,~72,
GCF_002025705.fna.gz,pputida,new_alleles,~19,~31,~44,~19,~42,~26,21,~40,
GCF_002094775.fna.gz,pputida,new_ST,51,88,14,59,10,75,3,11,
GCF_002094785.fna.gz,pputida,new_alleles,60,~57,30,65,~17,21,10,92,
GCF_002094795.fna.gz,pputida,new_alleles,69,~87,~120,83,~104,~103,45,105,
GCF_002157515.fna.gz,pputida,-,~32,~71,~32,~62,~17,-,~20,~96,
GCF_002165665.fna.gz,pputida,new_alleles,49,60,91,57,2,74,1,~1,
GCF_002165695.fna.gz,pputida,new_alleles,49,60,91,57,2,74,1,~1,
GCF_002356095.fna.gz,pputida,-,16,10,102,7,13,-,12,24,
GCF_002554535.fna.gz,pputida,new_alleles,50,60,88,4,2,73,1,~82,
GCF_002588485.fna.gz,pputida,-,-,~40,-,~43,-,-,~32,-,
GCF_002736045.fna.gz,pputida,new_alleles,~28,~17,~38,~29,~31,~28,7,55,
GCF_002736125.fna.gz,pputida,new_alleles,~28,~17,~39,~29,~31,~28,7,~55,
GCF_002741075.fna.gz,pputida,137,71,90,122,84,105,104,46,106,
GCF_002810225.fna.gz,pputida,new_alleles,~49,60,~88,57,2,8,1,~83,
GCF_002891885.fna.gz,pputida,new_ST,50,60,88,57,2,79,1,87,
GCF_002906715.fna.gz,pputida,-,-,-,-,-,~36,-,-,-,
GCF_002906755.fna.gz,pputida,-,51,88,~14,59,~10,-,3,~85,
GCF_002906795.fna.gz,pputida,new_alleles,51,88,14,59,~10,75,3,~85,
GCF_002906815.fna.gz,pputida,new_alleles,51,62,14,59,~10,~75,3,~85,
GCF_002906835.fna.gz,pputida,new_alleles,33,39,82,19,39,23,21,~39,
GCF_002906855.fna.gz,pputida,new_alleles,33,39,82,19,39,23,21,~39,
GCF_003053335.fna.gz,pputida,new_alleles,49,47,~11,57,~3,9,1,83,
GCF_003053385.fna.gz,pputida,new_alleles,~47,~63,88,~57,~5,~11,1,~83,
GCF_003228315.fna.gz,pputida,-,-,-,-,-,-,-,~30,-,
GCF_003263425.fna.gz,pputida,new_alleles,10,22,24,~18,~27,32,8,~33,
GCF_003290365.fna.gz,pputida,new_alleles,~44,~53,~84,~52,~53,54,35,~67,
GCF_003350225.fna.gz,pputida,new_alleles,60,71,102,62,18,21,~10,92,
GCF_003550095.fna.gz,pputida,new_alleles,30,~32,~41,~30,~50,31,17,46,
GCF_003586135.fna.gz,pputida,new_ST,70,12,7,3,8,4,1,2,
GCF_003671955.fna.gz,pputida,new_alleles,49,~14,~8,~4,4,~12,1,7,
GCF_003721325.fna.gz,pputida,70,39,48,15,48,11,14,4,14,
GCF_003721355.fna.gz,pputida,new_alleles,62,74,105,70,~21,76,7,31,
GCF_003752325.fna.gz,pputida,-,-,-,~65,~12,66,-,28,~69,
GCF_003938945.fna.gz,pputida,-,~44,~53,84,~52,-,~53,35,~67,
GCF_004345845.fna.gz,pputida,new_alleles,~40,~49,~32,~47,~12,~15,12,25,
GCF_004357765.fna.gz,pputida,-,-,-,-,~10,~85,-,~22,-,
GCF_004519745.fna.gz,pputida,new_alleles,12,12|12,6,3,8,4,1,~3,
GCF_004614155.fna.gz,pputida,new_alleles,~70,12,6,3,8,~6,1,~3,
GCF_004614175.fna.gz,pputida,new_alleles,~51,62,~14,59,~10,75,3,~85,
GCF_005080685.fna.gz,pputida,-,-,-,-,~10,~36,~87,~4,-,
GCF_005930545.fna.gz,pputida,new_alleles,~40,~49,~32,~47,~12,~15,12,~25,
GCF_005930605.fna.gz,pputida,new_alleles,~40,~49,~32,~47,~12,~15,12,~25,
GCF_007049805.fna.gz,pputida,new_alleles,~13,60,~9,57,3,82,1,7,
